Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-23,2048,0,0,0,2048,0
-21,8448,10240,0,0,8448,10240
-20,0,1,0,0,0,1
-19,35840,35327,0,0,35840,35327
-18,0,48,0,0,0,48
-17,49152,48609,0,0,49152,48609
-16,0,579,0,0,0,579
-15,615936,42376,0,0,615936,42376
-14,0,74666,0,0,0,74666
-13,339712,669524,0,0,339712,669524
-12,0,132378,0,0,0,132378
-11,522752,157977,0,0,522752,157977
-10,0,114435,0,0,0,114435
-9,1643776,1232361,0,0,1643776,1232361
-8,0,247217,0,0,0,247217
-7,2490368,1940963,0,0,2490368,1940963
-6,0,216284,0,0,0,216284
-5,3286528,3117431,0,0,3286528,3117431
-4,0,355435,0,0,0,355435
-3,2390528,2486879,0,0,2546688,2486879
-2,0,2001615,0,0,0,2271221
-1,54021888,51607805,0,0,74704128,71396277
0,0,913594,0,0,0,2772377
1,0,1232,160,160,46860128,45081902
2,0,0,0,0,0,1483516
3,0,0,0,0,2380800,2100406
4,0,0,0,0,0,292977
5,0,0,0,0,2987264,2845894
6,0,0,0,0,0,200761
7,0,0,0,0,2657536,2150541
8,0,0,0,0,0,315751
9,0,0,0,0,2441984,2159772
10,0,0,0,15,0,428252
11,0,0,30,15,1841378,1337935
12,0,0,0,0,0,327991
13,0,0,0,0,1060608,1424029
14,0,0,0,15,0,314536
15,0,0,30,15,1737186,1356510
16,0,0,0,0,0,224042
17,0,0,0,0,1224704,94756
18,0,0,0,0,0,192
19,0,0,0,0,70656,70035
20,0,0,0,0,0,49
21,0,0,0,0,33024,20478
22,0,0,0,0,0,8675
23,0,0,0,2,12288,122397
25,0,0,2,0,131070,0
