Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-17,0,15,0,0,0,15
-16,0,1622,0,0,0,1622
-15,112928,24952,0,0,112928,24952
-14,0,53813,0,0,0,53813
-13,97248,84085,0,0,97248,84085
-12,0,54787,0,0,0,54787
-11,380064,179577,0,0,380064,179577
-10,0,266710,0,0,0,266710
-9,776480,493059,0,0,799008,508965
-8,0,298778,0,0,0,307210
-7,1175904,547969,0,0,1229088,592865
-6,0,596761,0,0,0,612660
-5,1933696,1325417,0,0,2044768,1366561
-4,0,532548,0,0,0,589647
-3,2239616,1668604,0,0,2304096,1736178
-2,0,1944231,0,0,0,2318181
-1,26313696,23870860,0,0,36195424,32015152
0,0,1082126,0,0,0,3716077
1,0,2662,146,146,23451598,20914060
2,0,972,0,0,0,1752452
3,0,84,0,0,1957600,1491211
4,0,0,0,0,0,573415
5,0,0,0,0,2022912,1321339
6,0,0,0,12,0,462486
7,0,0,12,0,1264436,765009
8,0,0,0,6,0,509376
9,0,0,12,6,1655764,1093853
10,0,0,0,15,0,820868
11,0,0,32,17,1625536,825893
12,0,0,0,0,0,498593
13,0,0,0,0,520224,266620
14,0,0,0,0,0,152527
15,0,0,4,13,322972,193144
16,0,0,0,3,0,182718
17,0,0,12,0,365556,93159
18,0,0,0,0,0,3363
19,0,0,0,0,0,79
