Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,36,0,0,0,46,0
-9,115,1,0,0,164,1
-8,0,6,0,0,0,14
-7,547,57,0,0,813,122
-6,0,115,0,0,0,206
-5,2657,350,0,0,3840,915
-4,0,883,0,0,0,1435
-3,5806,2592,0,0,9293,5166
-2,0,4778,0,0,0,7847
-1,24172,20145,0,0,43786,35670
0,0,3781,0,0,0,12420
1,0,518,29,29,33410,26785
2,0,92,0,0,0,5522
3,0,13,1,1,7664,4489
4,0,2,0,1,0,1804
5,0,0,5,11,3844,2208
6,0,0,0,4,0,996
7,0,0,12,1,2256,698
8,0,0,0,0,0,254
9,0,0,0,0,1141,117
10,0,0,0,0,0,33
11,0,0,0,0,376,3
13,0,0,0,0,72,0
