Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-21,589824,556488,0,0,589824,556488
-20,0,33336,0,0,0,33336
-19,5120,5120,0,0,3094,3094
-18,0,9,0,0,0,9
-17,43776,43767,0,0,27633,27624
-16,0,36,0,0,0,36
-15,181208,181172,0,0,110419,110383
-13,440936,440936,0,0,258340,258340
-11,689195,689195,0,0,387303,387303
-9,718493,718493,0,0,387061,387061
-7,498579,483627,0,0,257728,249906
-6,0,14952,0,0,0,7822
-5,222225,199437,0,0,110925,98447
-4,0,22788,0,0,0,12478
-3,57745,45100,0,0,27569,20928
-2,0,362898,0,0,0,275415
-1,31857120,31434165,0,0,30082367,29749424
0,0,72702,0,0,0,100469
1,0,0,80,80,17241103,17004129
2,0,0,0,0,0,206696
3,0,0,0,0,30136,24114
4,0,0,0,0,0,10191
5,0,0,0,0,116551,106360
6,0,0,0,0,0,7119
7,0,0,0,0,267068,259949
9,0,0,0,0,403884,403884
11,0,0,0,0,419137,419137
13,0,0,0,0,306638,306638
15,0,0,0,0,156817,156817
17,0,0,0,0,54458,54458
19,0,0,0,0,11454,11454
20,0,0,0,0,0,16794
21,0,0,0,0,590235,573441
22,0,0,0,4,0,10166
23,0,0,10,6,588966,578800
