Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,144,0,0,0,128,0
-10,0,16,0,0,0,16
-9,208,53,0,0,189,53
-8,0,106,0,0,0,91
-7,876,157,0,0,690,130
-6,0,141,0,0,0,115
-5,3114,561,0,0,3047,581
-4,0,1253,0,0,0,1151
-3,4142,3209,0,0,4403,3127
-2,0,3946,0,0,0,4331
-1,37610,33529,0,0,50844,42454
0,0,3103,0,0,0,11498
1,0,20,29,29,32883,29220
2,0,0,0,0,0,2898
3,0,0,0,0,4496,2262
4,0,0,0,0,0,1433
5,0,0,0,0,2641,2019
6,0,0,0,10,0,1027
7,0,0,16,6,2860,1614
8,0,0,0,0,0,334
9,0,0,0,0,2024,234
10,0,0,0,0,0,121
11,0,0,0,0,432,180
12,0,0,0,2,0,34
13,0,0,2,0,286,0
