Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-23,0,0,0,0
0,-22,0,0,0,0
0,-21,0,0,4096,4096
0,-20,0,0,0,0
0,-19,0,0,16640,16640
0,-18,0,0,0,0
0,-17,0,0,26624,26624
0,-16,0,0,0,0
0,-15,0,0,23552,22976
0,-14,0,0,0,576
0,-13,0,0,18432,18382
0,-12,0,0,0,50
0,-11,0,0,49408,17840
0,-10,0,0,0,19274
0,-9,0,0,314624,168994
0,-8,0,0,0,80514
0,-7,0,0,1055232,792062
0,-6,0,0,0,175636
0,-5,0,0,1659392,1440020
0,-4,0,0,0,241164
0,-3,0,0,1214464,1106904
0,-2,0,0,0,281648
0,-1,0,0,6496512,6283888
0,0,0,0,0,211459
0,1,17,17,4223471,4158422
0,2,0,0,0,251850
0,3,0,0,1030912,940064
0,4,0,0,0,200570
0,5,0,0,1373184,1185962
0,6,0,0,0,149168
0,7,0,0,849920,623264
0,8,0,0,0,73368
0,9,0,0,252416,125620
0,10,0,0,0,45220
0,11,0,0,544768,693732
0,12,0,16,0,186918
0,13,16,0,808944,599386
0,14,0,0,0,107452
0,15,0,0,326656,39504
0,16,0,0,0,0
0,17,0,0,51200,51200
0,18,0,0,0,0
0,19,0,0,33024,33024
0,20,0,0,0,0
0,21,0,0,4096,8179
0,22,0,0,0,6863
0,23,0,1,4096,58684
0,24,0,0,0,1
0,25,1,0,65535,0
1,-23,0,0,0,0
1,-22,0,0,0,0
1,-21,0,0,0,0
1,-20,0,0,0,0
1,-19,0,0,0,0
1,-18,0,0,0,0
1,-17,0,0,0,0
1,-16,0,0,0,0
1,-15,0,0,0,0
1,-14,0,0,0,0
1,-13,0,0,71680,12
1,-12,0,0,0,16694
1,-11,0,0,131712,148017
1,-10,0,0,0,35154
1,-9,0,0,38144,21307
1,-8,0,0,0,7911
1,-7,0,0,73728,65817
1,-6,0,0,0,6309
1,-5,0,0,60160,67419
1,-4,0,0,0,1684
1,-3,0,0,17792,22892
1,-2,0,0,0,233260
1,-1,0,0,7995392,7535755
1,0,0,0,0,360454
1,1,17,17,4980719,4711579
1,2,0,0,0,135063
1,3,0,0,17792,22892
1,4,0,0,0,1684
1,5,0,0,77952,90330
1,6,0,0,0,7974
1,7,0,0,133888,132042
1,8,0,0,0,15414
1,9,0,0,111872,85054
1,10,0,0,0,45135
1,11,0,0,169856,168362
1,12,0,0,0,43285
1,13,4,4,203388,147818
1,14,0,0,0,26332
1,15,0,0,71680,106
1,16,0,0,0,0
1,17,0,0,0,0
1,18,0,0,0,0
1,19,0,0,0,0
1,20,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
1,23,0,0,0,0
1,24,0,0,0,0
1,25,0,0,0,0
2,-23,0,0,0,0
2,-22,0,0,0,0
2,-21,0,0,0,0
2,-20,0,0,0,0
2,-19,0,0,0,0
2,-18,0,0,0,0
2,-17,0,0,0,0
