Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
0,-7,0,0,0,0
0,-6,0,0,0,0
0,-5,0,0,12,6
0,-4,0,0,0,3
0,-3,0,0,38,11
0,-2,0,0,0,14
0,-1,0,0,178,171
0,0,0,0,0,33
0,1,4,4,108,107
0,2,0,0,0,9
0,3,0,0,26,8
0,4,0,0,0,2
0,5,0,0,8,10
0,6,0,0,0,7
0,7,0,2,10,9
0,8,0,0,0,0
0,9,2,0,10,0
1,-7,0,0,4,0
1,-6,0,0,0,2
1,-5,0,0,18,2
1,-4,0,0,0,10
1,-3,0,0,14,17
1,-2,0,0,0,7
1,-1,0,0,182,145
1,0,0,0,0,57
1,1,4,4,126,102
1,2,0,0,0,7
1,3,0,0,14,13
1,4,0,0,0,3
1,5,0,0,8,5
1,6,0,0,0,10
1,7,0,0,14,6
1,8,0,2,0,4
1,9,2,0,10,0
2,-7,0,0,12,0
2,-6,0,0,0,4
2,-5,0,0,10,8
2,-4,0,0,0,5
2,-3,0,0,10,8
2,-2,0,0,0,17
2,-1,0,0,176,131
2,0,0,0,0,60
2,1,4,4,120,93
2,2,0,0,0,17
2,3,0,0,18,8
2,4,0,0,0,6
2,5,0,0,12,9
2,6,0,0,0,14
2,7,0,0,22,2
2,8,0,2,0,8
2,9,2,0,10,0
