Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-19,0,0,1,0
A,-18,0,0,0,0
A,-17,0,0,872,7
A,-16,0,0,0,0
A,-15,0,0,8738,90
A,-14,0,0,0,23
A,-13,0,0,61741,3049
A,-12,0,0,0,686
A,-11,0,0,190280,14250
A,-10,0,0,0,4826
A,-9,0,0,280093,27315
A,-8,0,0,0,14102
A,-7,0,0,432397,78373
A,-6,0,0,0,57010
A,-5,0,0,632209,245626
A,-4,0,0,0,231191
A,-3,0,0,914933,729193
A,-2,0,0,0,582525
A,-1,0,0,2917824,2919128
A,0,0,0,0,761404
A,1,9,9,2872009,2979210
A,2,0,0,0,652148
A,3,0,0,1058967,908867
A,4,0,0,0,302495
A,5,0,0,795305,467597
A,6,0,0,0,193026
A,7,0,0,547786,327897
A,8,0,0,0,172088
A,9,1,1,408259,181843
A,10,0,0,0,50281
A,11,2,2,275882,70602
A,12,0,0,0,8264
A,13,1,1,311183,49061
A,14,0,0,0,1299
A,15,5,5,301203,24692
A,16,0,0,0,60
A,17,0,0,43578,350
A,18,0,0,0,0
A,19,0,0,5340,28
A,20,0,0,0,0
A,21,0,0,6,0
B,-19,0,0,13,0
B,-18,0,0,0,0
B,-17,0,0,847,1
B,-16,0,0,0,0
B,-15,0,0,6716,48
B,-14,0,0,0,14
B,-13,0,0,56429,2252
B,-12,0,0,0,472
B,-11,0,0,110650,6630
B,-10,0,0,0,2271
B,-9,0,0,143133,13295
B,-8,0,0,0,7805
B,-7,0,0,211446,32720
B,-6,0,0,0,27276
B,-5,0,0,316529,97141
B,-4,0,0,0,125694
B,-3,0,0,489282,344930
B,-2,0,0,0,436044
B,-1,0,0,3324929,3324553
B,0,0,0,0,558877
B,1,9,9,1996009,1974040
B,2,0,0,0,301070
B,3,0,0,429231,280749
B,4,0,0,0,105335
B,5,1,1,291711,106065
B,6,0,0,0,41531
B,7,0,0,193781,40093
B,8,0,0,0,9382
B,9,0,0,136741,14995
B,10,0,0,0,2205
B,11,0,0,94405,6381
B,12,0,0,0,313
B,13,0,0,42728,1749
B,14,0,0,0,8
B,15,0,0,13095,303
B,16,0,0,0,6
B,17,0,0,6233,62
B,18,0,0,0,0
B,19,0,0,402,0
B,20,0,0,0,0
B,21,0,0,0,0
C,-19,0,0,16,0
C,-18,0,0,0,0
C,-17,0,0,817,0
C,-16,0,0,0,0
C,-15,0,0,5614,32
C,-14,0,0,0,5
C,-13,0,0,53466,1684
C,-12,0,0,0,323
C,-11,0,0,106482,6052
C,-10,0,0,0,1970
C,-9,0,0,143861,13020
C,-8,0,0,0,7329
C,-7,0,0,208715,31495
C,-6,0,0,0,26190
C,-5,0,0,313963,95103
C,-4,0,0,0,123890
C,-3,0,0,479887,338263
C,-2,0,0,0,429451
C,-1,0,0,3336721,3325415
C,0,0,0,0,572604
C,1,9,9,2001185,1981508
C,2,0,0,0,301932
C,3,0,0,428852,277995
C,4,0,0,0,104776
