,rank,count
0,0,33
1,1,430
2,2,2515
3,3,8872
4,4,21616
5,5,40439
6,6,65401
7,7,103012
8,8,165693
9,9,260080
10,10,374875
11,11,487671
12,12,592624
13,13,714461
14,14,883588
15,15,1104188
16,16,1351159
17,17,1584766
18,18,1765491
19,19,1867199
20,20,1885135
21,21,1839786
22,22,1775760
23,23,1740678
24,24,1747639
25,25,1764968
26,26,1757517
27,27,1727885
28,28,1699430
29,29,1671591
30,30,1614731
31,31,1503536
32,32,1337951
33,33,1130621
34,34,888286
35,35,620851
36,36,363786
37,37,167232
38,38,55658
39,39,11814
40,40,1192
