Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-1,0,0,0,0
A,0,0,0,0,14
A,1,1,1,181,170
A,2,0,0,0,9
A,3,0,0,12,0
A,4,0,0,0,0
A,5,0,0,0,0
B,-1,0,0,0,0
B,0,0,0,0,6
B,1,0,0,32,26
B,2,0,0,0,4
B,3,0,0,4,0
B,4,0,0,0,0
B,5,0,0,0,0
C,-1,0,0,0,0
C,0,0,0,0,0
C,1,0,0,8,6
C,2,0,0,0,2
C,3,0,0,0,0
C,4,0,0,0,0
C,5,0,0,0,0
D,-1,0,0,0,0
D,0,0,0,0,0
D,1,0,0,0,0
D,2,0,0,0,0
D,3,0,0,0,0
D,4,0,0,0,0
D,5,0,0,0,0
E,-1,0,0,0,0
E,0,0,0,0,4
E,1,0,0,32,24
E,2,0,0,0,4
E,3,0,0,0,0
E,4,0,0,0,0
E,5,0,0,0,0
F,-1,0,0,0,0
F,0,0,0,0,4
F,1,0,0,64,58
F,2,0,0,0,2
F,3,0,0,0,0
F,4,0,0,0,0
F,5,0,0,0,0
G,-1,0,0,0,0
G,0,0,0,0,18
G,1,0,0,63,46
G,2,0,0,0,0
G,3,0,0,1,0
G,4,0,0,0,0
G,5,0,0,0,0
H,-1,0,0,0,0
H,0,0,0,0,21
H,1,1,1,207,180
H,2,0,0,0,47
H,3,0,0,32,7
H,4,0,0,0,0
H,5,0,0,16,0
I,-1,0,0,32,31
I,0,0,0,0,1
I,1,3,3,349,332
I,2,0,0,0,17
I,3,0,0,0,0
I,4,0,0,0,0
I,5,0,0,0,0
