config,L,C,M
0,2376,504,5
1,312,84,4
2,312,84,4
3,312,84,4
4,312,84,4
5,520,136,4
6,50,18,3
7,50,18,3
8,312,84,4
9,50,18,3
10,520,136,4
11,50,18,3
12,312,84,4
13,50,18,3
14,50,18,3
15,520,136,4
16,312,84,4
17,584,152,4
18,56,20,3
19,56,20,3
20,36,14,3
21,460,122,4
22,9,5,2
23,9,5,2
24,36,14,3
25,80,28,3
26,80,28,3
27,9,5,2
28,36,14,3
29,80,28,3
30,9,5,2
31,80,28,3
32,312,84,4
33,56,20,3
34,584,152,4
35,56,20,3
36,36,14,3
37,80,28,3
38,80,28,3
39,9,5,2
40,36,14,3
41,9,5,2
42,460,122,4
43,9,5,2
44,36,14,3
45,9,5,2
46,80,28,3
47,80,28,3
48,312,84,4
49,56,20,3
50,56,20,3
51,584,152,4
52,36,14,3
53,80,28,3
54,9,5,2
55,80,28,3
56,36,14,3
57,9,5,2
58,80,28,3
59,80,28,3
60,36,14,3
61,9,5,2
62,9,5,2
63,460,122,4
64,312,84,4
65,520,136,4
66,50,18,3
67,50,18,3
68,520,136,4
69,864,216,4
70,108,36,3
71,108,36,3
72,50,18,3
73,108,36,3
74,108,36,3
75,12,6,2
76,50,18,3
77,108,36,3
78,12,6,2
79,108,36,3
80,36,14,3
81,460,122,4
82,9,5,2
83,9,5,2
84,16,8,2
85,520,136,4
86,16,8,2
87,16,8,2
88,2,2,1
89,80,28,3
90,16,8,2
91,2,2,1
92,2,2,1
93,80,28,3
94,2,2,1
95,16,8,2
96,36,14,3
97,80,28,3
98,80,28,3
99,9,5,2
100,16,8,2
101,108,36,3
102,144,48,3
103,16,8,2
104,2,2,1
105,16,8,2
106,80,28,3
107,2,2,1
108,2,2,1
109,16,8,2
110,16,8,2
111,16,8,2
112,36,14,3
113,80,28,3
114,9,5,2
115,80,28,3
116,16,8,2
117,108,36,3
118,16,8,2
119,144,48,3
120,2,2,1
121,16,8,2
122,16,8,2
123,16,8,2
124,2,2,1
125,16,8,2
126,2,2,1
127,80,28,3
128,312,84,4
129,50,18,3
130,520,136,4
131,50,18,3
132,50,18,3
133,108,36,3
134,108,36,3
135,12,6,2
136,520,136,4
137,108,36,3
138,864,216,4
139,108,36,3
140,50,18,3
141,12,6,2
142,108,36,3
143,108,36,3
144,36,14,3
145,80,28,3
146,80,28,3
147,9,5,2
148,2,2,1
149,80,28,3
150,16,8,2
151,2,2,1
152,16,8,2
153,144,48,3
154,108,36,3
155,16,8,2
156,2,2,1
157,16,8,2
158,16,8,2
159,16,8,2
160,36,14,3
161,9,5,2
162,460,122,4
163,9,5,2
164,2,2,1
165,16,8,2
166,80,28,3
167,2,2,1
168,16,8,2
169,16,8,2
170,520,136,4
171,16,8,2
172,2,2,1
173,2,2,1
174,80,28,3
175,16,8,2
176,36,14,3
177,9,5,2
178,80,28,3
179,80,28,3
180,2,2,1
181,16,8,2
182,16,8,2
183,16,8,2
184,16,8,2
185,16,8,2
186,108,36,3
187,144,48,3
188,2,2,1
189,2,2,1
190,16,8,2
191,80,28,3
192,312,84,4
193,50,18,3
194,50,18,3
195,520,136,4
196,50,18,3
197,108,36,3
198,12,6,2
199,108,36,3
200,50,18,3
201,12,6,2
202,108,36,3
203,108,36,3
204,520,136,4
205,108,36,3
206,108,36,3
207,864,216,4
208,36,14,3
209,80,28,3
210,9,5,2
211,80,28,3
212,2,2,1
213,80,28,3
214,2,2,1
215,16,8,2
216,2,2,1
217,16,8,2
218,16,8,2
219,16,8,2
220,16,8,2
221,144,48,3
222,16,8,2
223,108,36,3
224,36,14,3
225,9,5,2
226,80,28,3
227,80,28,3
228,2,2,1
229,16,8,2
230,16,8,2
231,16,8,2
232,2,2,1
233,2,2,1
234,80,28,3
235,16,8,2
236,16,8,2
237,16,8,2
238,144,48,3
239,108,36,3
240,36,14,3
241,9,5,2
242,9,5,2
243,460,122,4
244,2,2,1
245,16,8,2
246,2,2,1
247,80,28,3
248,2,2,1
249,2,2,1
250,16,8,2
251,80,28,3
252,16,8,2
253,16,8,2
254,16,8,2
255,520,136,4
256,312,84,4
257,36,14,3
258,36,14,3
259,36,14,3
260,36,14,3
261,16,8,2
262,2,2,1
263,2,2,1
264,36,14,3
265,2,2,1
266,16,8,2
267,2,2,1
268,36,14,3
269,2,2,1
270,2,2,1
271,16,8,2
272,520,136,4
273,460,122,4
274,80,28,3
275,80,28,3
276,16,8,2
277,36,14,3
278,2,2,1
279,2,2,1
280,16,8,2
281,9,5,2
282,16,8,2
283,2,2,1
284,16,8,2
285,9,5,2
286,2,2,1
287,16,8,2
288,50,18,3
289,9,5,2
290,80,28,3
291,9,5,2
292,2,2,1
293,2,2,1
294,2,2,1
295,0,1,0
296,2,2,1
297,0,1,0
298,9,5,2
299,0,1,0
300,2,2,1
301,0,1,0
302,2,2,1
303,2,2,1
304,50,18,3
305,9,5,2
306,9,5,2
307,80,28,3
308,2,2,1
309,2,2,1
310,0,1,0
311,2,2,1
312,2,2,1
313,0,1,0
314,2,2,1
315,2,2,1
316,2,2,1
317,0,1,0
318,0,1,0
319,9,5,2
320,584,152,4
321,460,122,4
322,80,28,3
323,80,28,3
324,460,122,4
325,520,136,4
326,80,28,3
327,80,28,3
328,80,28,3
329,80,28,3
330,144,48,3
331,16,8,2
332,80,28,3
333,80,28,3
334,16,8,2
335,144,48,3
336,460,122,4
337,584,152,4
338,80,28,3
339,80,28,3
340,36,14,3
341,312,84,4
342,36,14,3
343,36,14,3
344,9,5,2
345,56,20,3
346,80,28,3
347,9,5,2
348,9,5,2
349,56,20,3
350,9,5,2
351,80,28,3
352,80,28,3
353,80,28,3
354,144,48,3
355,16,8,2
356,9,5,2
357,50,18,3
358,80,28,3
359,9,5,2
360,2,2,1
361,9,5,2
362,80,28,3
363,2,2,1
364,2,2,1
365,9,5,2
366,16,8,2
367,16,8,2
368,80,28,3
369,80,28,3
370,16,8,2
371,144,48,3
372,9,5,2
373,50,18,3
374,9,5,2
375,80,28,3
376,2,2,1
377,9,5,2
378,16,8,2
379,16,8,2
380,2,2,1
381,9,5,2
382,2,2,1
383,80,28,3
384,56,20,3
385,9,5,2
386,80,28,3
387,9,5,2
388,9,5,2
389,16,8,2
390,16,8,2
391,2,2,1
392,80,28,3
393,16,8,2
394,108,36,3
395,16,8,2
396,9,5,2
397,2,2,1
398,16,8,2
399,16,8,2
400,80,28,3
401,80,28,3
402,144,48,3
403,16,8,2
404,2,2,1
405,36,14,3
406,16,8,2
407,2,2,1
408,16,8,2
409,80,28,3
410,108,36,3
411,16,8,2
412,2,2,1
413,9,5,2
414,16,8,2
415,16,8,2
416,9,5,2
417,2,2,1
418,80,28,3
419,2,2,1
420,0,1,0
421,2,2,1
422,9,5,2
423,0,1,0
424,2,2,1
425,2,2,1
426,50,18,3
427,2,2,1
428,0,1,0
429,0,1,0
430,9,5,2
431,2,2,1
432,9,5,2
433,2,2,1
434,16,8,2
435,16,8,2
436,0,1,0
437,2,2,1
438,2,2,1
439,2,2,1
440,2,2,1
441,2,2,1
442,12,6,2
443,16,8,2
444,0,1,0
445,0,1,0
446,2,2,1
447,9,5,2
448,56,20,3
449,9,5,2
450,9,5,2
451,80,28,3
452,9,5,2
453,16,8,2
454,2,2,1
455,16,8,2
456,9,5,2
457,2,2,1
458,16,8,2
459,16,8,2
460,80,28,3
