config,rank,succ
"[(None, False), (None, False), (None, False)]",6,"[[(2, False), (None, False), (None, False)], [(None, False), (2, False), (None, False)]]"
"[(None, False), (None, False), (None, True)]",6,"[[(1, False), (None, False), (None, True)], [(None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (0, False)]",6,"[[(2, False), (None, False), (0, False)], [(None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (0, True)]",7,"[[(2, False), (None, False), (0, True)], [(None, False), (None, False), (0, False)]]"
"[(None, False), (None, False), (1, False)]",6,"[[(1, False), (None, False), (1, False)], [(None, False), (2, False), (1, False)], [(None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (1, True)]",7,"[[(1, False), (None, False), (1, True)], [(None, False), (2, False), (1, True)], [(None, False), (None, False), (1, False)]]"
"[(None, False), (None, True), (None, False)]",6,"[[(2, False), (None, True), (None, False)], [(None, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True)]",7,"[[(None, False), (None, False), (None, True)], [(None, False), (None, True), (None, False)]]"
"[(None, False), (None, True), (0, False)]",7,"[[(2, False), (None, True), (0, False)], [(None, False), (None, False), (0, False)], [(None, False), (None, True), (None, False)]]"
"[(None, False), (None, True), (0, True)]",8,"[[(2, False), (None, True), (0, True)], [(None, False), (None, False), (0, True)], [(None, False), (None, True), (0, False)]]"
"[(None, False), (None, True), (1, False)]",7,"[[(None, False), (None, False), (1, False)], [(None, False), (None, True), (None, False)]]"
"[(None, False), (None, True), (1, True)]",8,"[[(None, False), (None, False), (1, True)], [(None, False), (None, True), (1, False)]]"
"[(None, False), (0, False), (None, False)]",6,"[[(1, False), (0, False), (None, False)], [(None, False), (None, False), (None, False)]]"
"[(None, False), (0, False), (None, True)]",7,"[[(1, False), (0, False), (None, True)], [(None, False), (None, False), (None, True)], [(None, False), (0, False), (None, False)]]"
"[(None, False), (0, False), (0, False)]",7,"[[(1, False), (0, False), (0, False)], [(None, False), (None, False), (0, False)], [(None, False), (0, False), (None, False)]]"
"[(None, False), (0, False), (0, True)]",7,"[[(1, False), (0, False), (0, True)], [(None, False), (None, False), (0, True)], [(None, False), (0, False), (0, False)]]"
"[(None, False), (0, False), (1, False)]",7,"[[(1, False), (0, False), (1, False)], [(None, False), (None, False), (1, False)], [(None, False), (0, False), (None, False)]]"
"[(None, False), (0, False), (1, True)]",7,"[[(1, False), (0, False), (1, True)], [(None, False), (None, False), (1, True)], [(None, False), (0, False), (1, False)]]"
"[(None, False), (0, True), (None, False)]",7,"[[(1, False), (0, True), (None, False)], [(None, False), (0, False), (None, False)]]"
"[(None, False), (0, True), (None, True)]",8,"[[(1, False), (0, True), (None, True)], [(None, False), (0, False), (None, True)], [(None, False), (0, True), (None, False)]]"
"[(None, False), (0, True), (0, False)]",7,"[[(1, False), (0, True), (0, False)], [(None, False), (0, False), (0, False)], [(None, False), (0, True), (None, False)]]"
"[(None, False), (0, True), (0, True)]",8,"[[(1, False), (0, True), (0, True)], [(None, False), (0, False), (0, True)], [(None, False), (0, True), (0, False)]]"
"[(None, False), (0, True), (1, False)]",7,"[[(1, False), (0, True), (1, False)], [(None, False), (0, False), (1, False)], [(None, False), (0, True), (None, False)]]"
"[(None, False), (0, True), (1, True)]",8,"[[(1, False), (0, True), (1, True)], [(None, False), (0, False), (1, True)], [(None, False), (0, True), (1, False)]]"
"[(None, False), (2, False), (None, False)]",5,"[[(2, False), (2, False), (None, False)], [(None, False), (2, False), (1, False)]]"
"[(None, False), (2, False), (None, True)]",7,"[[(None, False), (None, False), (None, True)], [(None, False), (2, False), (None, False)]]"
"[(None, False), (2, False), (0, False)]",5,"[[(2, False), (2, False), (0, False)], [(None, False), (2, False), (None, False)]]"
"[(None, False), (2, False), (0, True)]",7,"[[(2, False), (2, False), (0, True)], [(None, False), (None, False), (0, True)], [(None, False), (2, False), (0, False)]]"
"[(None, False), (2, False), (1, False)]",2,"[[(None, False), (2, True), (1, False)], [(None, False), (2, False), (1, True)]]"
"[(None, False), (2, False), (1, True)]",1,"[[(None, False), (2, True), (1, True)]]"
"[(None, False), (2, True), (None, False)]",6,"[[(2, False), (2, True), (None, False)], [(None, False), (2, False), (None, False)], [(None, False), (2, True), (1, False)]]"
"[(None, False), (2, True), (None, True)]",7,"[[(None, False), (2, False), (None, True)], [(None, False), (2, True), (None, False)]]"
"[(None, False), (2, True), (0, False)]",6,"[[(2, False), (2, True), (0, False)], [(None, False), (2, False), (0, False)], [(None, False), (2, True), (None, False)]]"
"[(None, False), (2, True), (0, True)]",7,"[[(2, False), (2, True), (0, True)], [(None, False), (2, False), (0, True)], [(None, False), (2, True), (0, False)]]"
"[(None, False), (2, True), (1, False)]",1,"[[(None, False), (2, True), (1, True)]]"
"[(None, False), (2, True), (1, True)]",0,[]
"[(None, True), (None, False), (None, False)]",6,"[[(None, False), (None, False), (None, False)], [(None, True), (2, False), (None, False)]]"
