config,rank,succ
"[(None, False), (None, False), (None, False), (None, False), (None, False)]",4,"[[(1, False), (None, False), (None, False), (None, False), (None, False)], [(None, False), (4, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (None, True)]",5,"[[(1, False), (None, False), (None, False), (None, False), (None, True)], [(None, False), (3, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (1, False)]",5,"[[(1, False), (None, False), (None, False), (None, False), (1, False)], [(None, False), (4, False), (None, False), (None, False), (1, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, False), (1, True)]",6,"[[(1, False), (None, False), (None, False), (None, False), (1, True)], [(None, False), (4, False), (None, False), (None, False), (1, True)], [(None, False), (None, False), (None, False), (None, False), (1, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (None, False)]",5,"[[(1, False), (None, False), (None, False), (None, True), (None, False)], [(None, False), (4, False), (None, False), (None, True), (None, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (None, True)]",6,"[[(1, False), (None, False), (None, False), (None, True), (None, True)], [(None, False), (2, False), (None, False), (None, True), (None, True)], [(None, False), (None, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (1, False)]",6,"[[(1, False), (None, False), (None, False), (None, True), (1, False)], [(None, False), (4, False), (None, False), (None, True), (1, False)], [(None, False), (None, False), (None, False), (None, False), (1, False)], [(None, False), (None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True), (1, True)]",7,"[[(1, False), (None, False), (None, False), (None, True), (1, True)], [(None, False), (4, False), (None, False), (None, True), (1, True)], [(None, False), (None, False), (None, False), (None, False), (1, True)], [(None, False), (None, False), (None, False), (None, True), (1, False)]]"
"[(None, False), (None, False), (None, False), (1, False), (None, False)]",5,"[[(1, False), (None, False), (None, False), (1, False), (None, False)], [(None, False), (3, False), (None, False), (1, False), (None, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, False), (None, True)]",6,"[[(1, False), (None, False), (None, False), (1, False), (None, True)], [(None, False), (3, False), (None, False), (1, False), (None, True)], [(None, False), (None, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, False), (1, False)]",6,"[[(1, False), (None, False), (None, False), (1, False), (1, False)], [(None, False), (3, False), (None, False), (1, False), (1, False)], [(None, False), (None, False), (None, False), (None, False), (1, False)], [(None, False), (None, False), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, False), (1, True)]",7,"[[(1, False), (None, False), (None, False), (1, False), (1, True)], [(None, False), (3, False), (None, False), (1, False), (1, True)], [(None, False), (None, False), (None, False), (None, False), (1, True)], [(None, False), (None, False), (None, False), (1, False), (1, False)]]"
"[(None, False), (None, False), (None, False), (1, True), (None, False)]",6,"[[(1, False), (None, False), (None, False), (1, True), (None, False)], [(None, False), (3, False), (None, False), (1, True), (None, False)], [(None, False), (None, False), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, True), (None, True)]",7,"[[(1, False), (None, False), (None, False), (1, True), (None, True)], [(None, False), (3, False), (None, False), (1, True), (None, True)], [(None, False), (None, False), (None, False), (1, False), (None, True)], [(None, False), (None, False), (None, False), (1, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, True), (1, False)]",7,"[[(1, False), (None, False), (None, False), (1, True), (1, False)], [(None, False), (3, False), (None, False), (1, True), (1, False)], [(None, False), (None, False), (None, False), (1, False), (1, False)], [(None, False), (None, False), (None, False), (1, True), (None, False)]]"
"[(None, False), (None, False), (None, False), (1, True), (1, True)]",8,"[[(1, False), (None, False), (None, False), (1, True), (1, True)], [(None, False), (3, False), (None, False), (1, True), (1, True)], [(None, False), (None, False), (None, False), (1, False), (1, True)], [(None, False), (None, False), (None, False), (1, True), (1, False)]]"
"[(None, False), (None, False), (None, True), (None, False), (None, False)]",5,"[[(1, False), (None, False), (None, True), (None, False), (None, False)], [(None, False), (4, False), (None, True), (None, False), (None, False)], [(None, False), (None, False), (None, False), (None, False), (None, False)]]"
