node,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,7480,55368,149088,221216,310272,724992,310272,221216,149088,55368,7480
1,0,0,0,0,73672,295024,73672,0,0,0,0
2,0,0,0,0,73672,295024,73672,0,0,0,0
3,0,0,0,0,73672,295024,73672,0,0,0,0
4,0,0,0,0,73672,295024,73672,0,0,0,0
5,2560,26624,102696,221346,427008,651372,427008,221346,102696,26624,2560
6,0,0,0,36,73692,294912,73692,36,0,0,0
7,0,0,0,36,73692,294912,73692,36,0,0,0
8,0,0,0,36,73692,294912,73692,36,0,0,0
9,7480,55368,149088,221216,310272,724992,310272,221216,149088,55368,7480
10,0,0,0,0,73672,295024,73672,0,0,0,0
11,0,0,0,0,73672,295024,73672,0,0,0,0
12,0,0,0,0,73672,295024,73672,0,0,0,0
13,0,0,0,0,73672,295024,73672,0,0,0,0
