,rank effect,count
0,-40,3
1,-39,15
2,-38,6
3,-37,12
4,-36,6
5,-35,21
6,-34,3
7,-33,27
8,-32,30
9,-31,36
10,-30,51
11,-29,30
12,-28,60
13,-27,63
14,-26,93
15,-25,108
16,-24,123
17,-23,126
18,-22,150
19,-21,132
20,-20,207
21,-19,273
22,-18,339
23,-17,486
24,-16,453
25,-15,369
26,-14,420
27,-13,510
28,-12,423
29,-11,369
30,-10,438
31,-9,405
32,-8,507
33,-7,459
34,-6,459
35,-5,489
36,-4,672
37,-3,819
38,-2,1521
39,-1,3015
40,0,3162
41,1,3015
42,2,1521
43,3,819
44,4,672
45,5,489
46,6,459
47,7,459
48,8,507
49,9,405
50,10,438
51,11,369
52,12,423
53,13,510
54,14,420
55,15,369
56,16,453
57,17,486
58,18,339
59,19,273
60,20,207
61,21,132
62,22,150
63,23,126
64,24,123
65,25,108
66,26,93
67,27,63
68,28,60
69,29,30
70,30,51
71,31,36
72,32,30
73,33,27
74,34,3
75,35,21
76,36,6
77,37,12
78,38,6
79,39,15
80,40,3
