node,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,6,18,27,6,15,21,33,39,24,66,78,84,123,117,141,165,192,324,345,456,591,618,621,633,675,687,666,828,987,870,1071,1176,1134,1005,1251,1080,1140,1113,1041,1014,915,888,789,732,813,828,855,867,1113,1251,1380,1425,1431,1719,1755,1884,1734,1581,1500,1779,4032,7554,3456,7554,4032,1779,1500,1581,1734,1884,1755,1719,1431,1425,1380,1251,1113,867,855,828,813,732,789,888,915,1014,1041,1113,1140,1080,1251,1005,1134,1176,1071,870,987,828,666,687,675,633,621,618,591,456,345,324,192,165,141,117,123,84,78,66,24,39,33,21,15,6,27,18,6,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6,9,6,3,15,9,15,15,36,27,45,18,84,24,39,60,48,33,33,84,81,36,63,78,132,123,132,216,183,171,120,192,258,285,270,237,234,261,276,279,258,291,261,279,357,327,351,456,447,318,315,267,372,441,495,426,441,453,474,480,540,615,1110,417,432,450,546,408,534,591,570,654,891,1203,1350,1749,2292,3363,4806,6879,13338,9132,13338,6879,4806,3363,2292,1749,1350,1203,891,654,570,591,534,408,546,450,432,417,1110,615,540,480,474,453,441,426,495,441,372,267,315,318,447,456,351,327,357,279,261,291,258,279,276,261,234,237,270,285,258,192,120,171,183,216,132,123,132,78,63,36,81,84,33,33,48,60,39,24,84,18,45,27,36,15,15,9,15,3,6,9,6,0,0
2,0,3,12,12,0,12,15,18,15,9,39,48,21,27,30,30,30,69,90,54,75,48,69,69,57,108,90,162,141,141,159,117,114,159,183,261,225,216,264,219,219,195,207,174,291,375,399,336,234,270,243,387,519,600,495,492,450,486,555,543,708,678,588,594,624,480,585,660,558,303,306,462,600,579,627,876,1023,1458,1992,2829,3693,5595,14235,16230,14235,5595,3693,2829,1992,1458,1023,876,627,579,600,462,306,303,558,660,585,480,624,594,588,678,708,543,555,486,450,492,495,600,519,387,243,270,234,336,399,375,291,174,207,195,219,219,264,216,225,261,183,159,114,117,159,141,141,162,90,108,57,69,69,48,75,54,90,69,30,30,30,27,21,48,39,9,15,18,15,12,0,12,12,3,0
3,9,0,12,9,0,9,30,9,18,12,51,18,9,66,9,45,42,51,66,39,33,69,54,78,69,75,54,105,120,150,132,114,141,111,186,240,234,222,174,99,177,99,132,162,204,231,288,324,240,303,258,270,315,378,573,675,651,822,750,804,795,846,915,879,636,690,573,606,498,363,426,570,417,588,846,939,1038,1356,1869,2682,4137,6483,12825,14904,12825,6483,4137,2682,1869,1356,1038,939,846,588,417,570,426,363,498,606,573,690,636,879,915,846,795,804,750,822,651,675,573,378,315,270,258,303,240,324,288,231,204,162,132,99,177,99,174,222,234,240,186,111,141,114,132,150,120,105,54,75,69,78,54,69,33,39,66,51,42,45,9,66,9,18,51,12,18,9,30,9,0,9,12,0,9
4,9,3,18,0,21,3,9,12,3,12,24,21,3,36,18,24,36,48,36,54,45,48,30,48,60,45,45,66,78,54,72,105,111,156,117,144,168,150,141,159,111,102,90,117,135,156,195,216,234,327,258,381,456,462,573,837,750,831,1005,1056,1050,1332,1239,1194,867,723,636,555,417,405,327,384,489,576,825,1203,1242,1542,2034,2976,4716,5994,11307,12984,11307,5994,4716,2976,2034,1542,1242,1203,825,576,489,384,327,405,417,555,636,723,867,1194,1239,1332,1050,1056,1005,831,750,837,573,462,456,381,258,327,234,216,195,156,135,117,90,102,111,159,141,150,168,144,117,156,111,105,72,54,78,66,45,45,60,48,30,48,45,54,36,48,36,24,18,36,3,21,24,12,3,12,9,3,21,0,18,3,9
5,0,0,3,6,6,0,0,0,9,0,3,12,9,0,3,18,6,3,9,12,24,9,15,15,36,21,15,42,39,45,63,57,57,66,54,63,93,72,78,69,96,84,93,162,207,195,255,276,333,387,465,489,477,621,783,1113,1071,1224,1167,1152,1251,1059,939,831,858,777,510,531,708,597,549,720,810,1101,1053,1194,1431,1755,2514,3183,4464,5217,10482,9666,10482,5217,4464,3183,2514,1755,1431,1194,1053,1101,810,720,549,597,708,531,510,777,858,831,939,1059,1251,1152,1167,1224,1071,1113,783,621,477,489,465,387,333,276,255,195,207,162,93,84,96,69,78,72,93,63,54,66,57,57,63,45,39,42,15,21,36,15,15,9,24,12,9,3,6,18,3,0,9,12,3,0,9,0,0,0,6,6,3,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,3,30,18,39,30,30,66,30,39,78,81,99,99,132,96,138,144,174,168,171,366,396,405,462,414,552,492,612,801,867,882,831,981,969,909,894,1023,792,834,675,756,939,897,921,912,1110,1578,1380,1632,2016,1920,2283,2640,2682,3915,5388,8961,6564,8961,5388,3915,2682,2640,2283,1920,2016,1632,1380,1578,1110,912,921,897,939,756,675,834,792,1023,894,909,969,981,831,882,867,801,612,492,552,414,462,405,396,366,171,168,174,144,138,96,132,99,99,81,78,39,30,66,30,30,39,18,30,3,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,15,12,30,30,33,24,33,30,48,27,66,63,48,93,69,90,93,144,159,366,501,267,243,231,294,705,585,555,603,735,513,522,618,516,597,888,1041,1407,1263,1293,1305,1299,1647,1593,1488,1269,1290,1065,1137,1044,1302,1590,2493,3228,3285,3264,5316,8343,4416,8343,5316,3264,3285,3228,2493,1590,1302,1044,1137,1065,1290,1269,1488,1593,1647,1299,1305,1293,1263,1407,1041,888,597,516,618,522,513,735,603,555,585,705,294,231,243,267,501,366,159,144,93,90,69,93,48,63,66,27,48,30,33,24,33,30,30,12,15,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,15,9,15,27,36,42,54,21,21,9,9,18,30,36,57,66,120,108,84,78,75,105,117,228,156,159,234,315,417,612,1278,1200,1149,1347,885,933,1173,1080,1197,1254,1293,1083,1077,993,1047,1230,1200,1491,1626,1596,1707,1803,1836,1812,1596,2265,3231,6522,8910,3888,8910,6522,3231,2265,1596,1812,1836,1803,1707,1596,1626,1491,1200,1230,1047,993,1077,1083,1293,1254,1197,1080,1173,933,885,1347,1149,1200,1278,612,417,315,234,159,156,228,117,105,75,78,84,108,120,66,57,36,30,18,9,9,21,21,54,42,36,27,15,9,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,15,75,183,234,366,1476,2502,1458,1146,603,846,951,1026,1488,900,807,885,1092,1245,1623,1233,1035,1329,1587,1236,1062,1089,1035,1011,903,789,1305,2406,2865,5148,7449,17274,7449,5148,2865,2406,1305,789,903,1011,1035,1089,1062,1236,1587,1329,1035,1233,1623,1245,1092,885,807,900,1488,1026,951,846,603,1146,1458,2502,1476,366,234,183,75,15,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
