node,-135,-134,-133,-132,-131,-130,-129,-128,-127,-126,-125,-124,-123,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,9,6,3,3,6,6,12,15,21,15,18,21,30,48,27,48,39,90,81,72,81,126,159,129,171,207,303,267,291,420,567,720,1071,1260,1413,1683,1851,2151,2676,3123,4062,4533,4704,4854,4725,4746,5007,5877,6519,7617,9429,10230,12009,13848,14403,15756,17793,19311,19800,21792,21690,21609,23484,24495,21606,22542,22827,24324,25338,23391,21177,19824,18081,17244,16092,15180,14487,14187,13452,13590,14685,15531,16878,17910,19779,21369,23679,24861,26313,28332,29460,30270,31341,30621,32610,34173,35622,37896,38031,38601,43023,53004,109638,181533,76560,181533,109638,53004,43023,38601,38031,37896,35622,34173,32610,30621,31341,30270,29460,28332,26313,24861,23679,21369,19779,17910,16878,15531,14685,13590,13452,14187,14487,15180,16092,17244,18081,19824,21177,23391,25338,24324,22827,22542,21606,24495,23484,21609,21690,21792,19800,19311,17793,15756,14403,13848,12009,10230,9429,7617,6519,5877,5007,4746,4725,4854,4704,4533,4062,3123,2676,2151,1851,1683,1413,1260,1071,720,567,420,291,267,303,207,171,129,159,126,81,72,81,90,39,48,27,48,30,21,18,15,21,15,12,6,6,3,3,6,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,3,0,0,9,0,6,0,6,9,0,12,9,33,3,18,9,18,30,48,48,45,63,54,45,90,81,129,105,141,99,168,264,171,147,360,378,357,222,219,285,294,288,279,339,414,378,402,483,540,657,522,756,753,1482,1284,1359,1854,2049,1752,1797,2049,2460,2394,2775,3465,3657,3486,3894,4473,4794,4527,4767,4947,5091,5946,6666,6249,6339,6831,7656,9339,9009,8823,9492,9762,9888,8988,9963,11226,10584,9405,8709,7692,7191,6870,6486,6090,5904,5982,5946,5598,5292,5976,7284,9927,6906,5937,6351,6210,7758,10119,8262,9474,9882,9264,10227,12306,13302,15306,16803,17667,20994,23889,26694,28917,34908,42090,49170,66141,94500,115617,164736,320919,249432,320919,164736,115617,94500,66141,49170,42090,34908,28917,26694,23889,20994,17667,16803,15306,13302,12306,10227,9264,9882,9474,8262,10119,7758,6210,6351,5937,6906,9927,7284,5976,5292,5598,5946,5982,5904,6090,6486,6870,7191,7692,8709,9405,10584,11226,9963,8988,9888,9762,9492,8823,9009,9339,7656,6831,6339,6249,6666,5946,5091,4947,4767,4527,4794,4473,3894,3486,3657,3465,2775,2394,2460,2049,1797,1752,2049,1854,1359,1284,1482,753,756,522,657,540,483,402,378,414,339,279,288,294,285,219,222,357,378,360,147,171,264,168,99,141,105,129,81,90,45,54,63,45,48,48,30,18,9,18,3,33,9,12,0,9,6,0,6,0,9,0,0,3,0,0
2,0,3,0,6,3,3,3,9,6,3,3,21,6,18,21,24,21,57,63,51,48,105,60,96,75,108,117,120,183,207,225,180,249,288,255,327,282,270,351,255,378,273,462,345,393,513,453,483,678,792,732,729,765,846,969,1425,1326,1428,1935,1839,2193,2760,2844,2835,2931,2787,3255,3294,3495,4059,4341,4584,4839,5118,5115,6216,6711,6459,6777,6663,6924,7038,7086,7461,9171,9378,8847,8361,8874,9687,9651,10299,10371,8634,8103,8094,7839,7656,6498,6183,6405,5832,5532,6045,6135,6042,6288,6261,7230,8961,7455,7125,7905,8397,9186,8844,8367,8271,8316,8394,9960,11316,13410,16020,18669,20919,24753,29202,34905,41997,56664,80967,103167,160341,366402,368646,366402,160341,103167,80967,56664,41997,34905,29202,24753,20919,18669,16020,13410,11316,9960,8394,8316,8271,8367,8844,9186,8397,7905,7125,7455,8961,7230,6261,6288,6042,6135,6045,5532,5832,6405,6183,6498,7656,7839,8094,8103,8634,10371,10299,9651,9687,8874,8361,8847,9378,9171,7461,7086,7038,6924,6663,6777,6459,6711,6216,5115,5118,4839,4584,4341,4059,3495,3294,3255,2787,2931,2835,2844,2760,2193,1839,1935,1428,1326,1425,969,846,765,729,732,792,678,483,453,513,393,345,462,273,378,255,351,270,282,327,255,288,249,180,225,207,183,120,117,108,75,96,60,105,48,51,63,57,21,24,21,18,6,21,3,3,6,9,3,3,3,6,0,3,0
3,0,3,6,6,0,3,6,3,12,6,9,12,6,30,21,36,39,42,57,72,75,117,84,81,99,123,165,135,156,249,234,204,255,186,279,264,309,312,423,396,390,345,435,438,465,393,621,606,669,576,678,981,1044,969,1146,1260,1383,1617,1662,1755,2058,2253,2715,3000,3210,3300,3228,3519,3849,3810,4152,4428,4854,5097,4941,5304,5964,6141,6429,6798,6576,6417,6402,6837,7086,6990,7275,7626,8016,8325,8502,8337,7425,7389,8214,8154,7605,7572,7995,7680,6870,7371,7086,7074,7395,7437,7410,7974,8352,9471,9324,9891,11349,10080,9552,9621,9963,9063,9213,9759,10491,11055,13158,14916,17430,21519,24813,30231,39405,49539,61191,79650,108627,152655,339249,377436,339249,152655,108627,79650,61191,49539,39405,30231,24813,21519,17430,14916,13158,11055,10491,9759,9213,9063,9963,9621,9552,10080,11349,9891,9324,9471,8352,7974,7410,7437,7395,7074,7086,7371,6870,7680,7995,7572,7605,8154,8214,7389,7425,8337,8502,8325,8016,7626,7275,6990,7086,6837,6402,6417,6576,6798,6429,6141,5964,5304,4941,5097,4854,4428,4152,3810,3849,3519,3228,3300,3210,3000,2715,2253,2058,1755,1662,1617,1383,1260,1146,969,1044,981,678,576,669,606,621,393,465,438,435,345,390,396,423,312,309,264,279,186,255,204,234,249,156,135,165,123,99,81,84,117,75,72,57,42,39,36,21,30,6,12,9,6,12,3,6,3,0,6,6,3,0
4,0,3,9,3,0,9,3,3,9,15,3,12,9,18,27,39,39,51,27,102,105,93,108,111,123,150,93,111,159,267,246,207,198,282,270,249,291,426,318,306,366,390,399,423,453,522,498,501,573,678,684,867,909,960,1077,1143,1500,1527,1797,1959,2232,2589,2754,2838,2952,3060,3621,3522,3741,4278,4374,4368,4173,4659,4974,5160,4914,5151,5178,5208,5184,5016,5004,5064,5055,5058,5796,5724,6144,6267,7074,8619,7941,8712,8451,8040,8730,8166,9063,9093,8829,9225,8775,9903,9591,10830,11526,10563,12186,12825,13149,13326,13128,11604,10620,10848,10521,8529,8025,8997,10827,11340,12819,15003,17817,22173,28086,33714,38652,49086,59754,87231,119826,146706,309531,358182,309531,146706,119826,87231,59754,49086,38652,33714,28086,22173,17817,15003,12819,11340,10827,8997,8025,8529,10521,10848,10620,11604,13128,13326,13149,12825,12186,10563,11526,10830,9591,9903,8775,9225,8829,9093,9063,8166,8730,8040,8451,8712,7941,8619,7074,6267,6144,5724,5796,5058,5055,5064,5004,5016,5184,5208,5178,5151,4914,5160,4974,4659,4173,4368,4374,4278,3741,3522,3621,3060,2952,2838,2754,2589,2232,1959,1797,1527,1500,1143,1077,960,909,867,684,678,573,501,498,522,453,423,399,390,366,306,318,426,291,249,270,282,198,207,246,267,159,111,93,150,123,111,108,93,105,102,27,51,39,39,27,18,9,12,3,15,9,3,3,9,0,3,9,3,0
5,3,0,9,3,0,9,3,3,9,6,3,6,6,24,24,57,24,63,60,117,60,126,147,75,78,93,117,162,105,198,180,213,156,237,228,279,339,288,309,390,381,351,381,360,423,501,483,534,588,483,678,753,810,1071,981,1236,1218,1308,1590,1833,2148,2328,2472,2943,3105,3360,3525,3555,3156,3321,3657,3654,3588,3576,3453,3309,3282,3330,3498,3558,3807,3894,3450,3966,3978,3876,3660,4320,4464,4284,5199,6474,6831,8772,9663,9486,11124,12510,12753,12816,15291,14118,13590,14385,14619,15960,16437,17802,17214,16851,16236,13518,11430,9690,8196,7677,7386,8628,10695,11913,11931,12933,15096,19101,23007,24870,29685,34152,45996,56580,69309,90624,110151,136338,277287,310620,277287,136338,110151,90624,69309,56580,45996,34152,29685,24870,23007,19101,15096,12933,11931,11913,10695,8628,7386,7677,8196,9690,11430,13518,16236,16851,17214,17802,16437,15960,14619,14385,13590,14118,15291,12816,12753,12510,11124,9486,9663,8772,6831,6474,5199,4284,4464,4320,3660,3876,3978,3966,3450,3894,3807,3558,3498,3330,3282,3309,3453,3576,3588,3654,3657,3321,3156,3555,3525,3360,3105,2943,2472,2328,2148,1833,1590,1308,1218,1236,981,1071,810,753,678,483,588,534,483,501,423,360,381,351,381,390,309,288,339,279,228,237,156,213,180,198,105,162,117,93,78,75,147,126,60,117,60,63,24,57,24,24,6,6,3,6,9,3,3,9,0,3,9,0,3
6,3,0,9,3,0,0,3,3,15,3,3,18,18,36,24,27,51,48,57,75,54,69,42,39,63,81,66,114,138,153,186,171,267,267,225,264,282,306,255,282,270,318,201,321,303,363,351,360,441,432,486,576,819,876,921,1131,945,1071,1500,1329,1503,1767,1725,1740,1911,2322,2742,2571,2340,2181,2352,2253,2169,2124,2121,2250,2235,2151,2091,2049,2178,2052,2754,2901,3255,3399,3522,3897,4371,4950,6009,7332,8367,8862,10242,11520,12087,14253,15738,16761,18186,18669,22452,26010,24351,23316,21492,19269,16128,14817,12612,11289,10926,10080,9972,11649,11766,11430,11880,13818,15084,17118,19641,19851,23838,28089,35082,42630,48225,56328,68736,79806,100068,130716,258753,252930,258753,130716,100068,79806,68736,56328,48225,42630,35082,28089,23838,19851,19641,17118,15084,13818,11880,11430,11766,11649,9972,10080,10926,11289,12612,14817,16128,19269,21492,23316,24351,26010,22452,18669,18186,16761,15738,14253,12087,11520,10242,8862,8367,7332,6009,4950,4371,3897,3522,3399,3255,2901,2754,2052,2178,2049,2091,2151,2235,2250,2121,2124,2169,2253,2352,2181,2340,2571,2742,2322,1911,1740,1725,1767,1503,1329,1500,1071,945,1131,921,876,819,576,486,432,441,360,351,363,303,321,201,318,270,282,255,306,282,264,225,267,267,171,186,153,138,114,66,81,63,39,42,69,54,75,57,48,51,27,24,36,18,18,3,3,15,3,3,0,0,3,9,0,3
7,3,0,9,3,0,3,6,3,3,9,6,6,12,15,15,12,30,30,42,51,45,63,60,42,63,78,48,108,63,78,105,117,153,99,138,138,186,168,207,159,159,99,177,141,204,201,222,192,291,336,249,333,513,516,645,951,1035,957,762,666,648,627,681,741,711,879,987,1122,906,1110,1128,1179,1107,1062,1035,1308,1368,1230,1365,1551,1914,2892,3252,3084,2595,3186,4080,5964,8157,9018,7839,7449,9609,11607,13014,14016,15507,18195,21252,23049,23604,24732,22452,19641,17973,18465,17886,17268,17325,15291,12777,12663,13266,14601,14400,14730,16005,17664,18399,19458,18405,19572,24192,27201,30975,34101,35409,38760,42996,51132,62421,73020,93363,134544,240360,203646,240360,134544,93363,73020,62421,51132,42996,38760,35409,34101,30975,27201,24192,19572,18405,19458,18399,17664,16005,14730,14400,14601,13266,12663,12777,15291,17325,17268,17886,18465,17973,19641,22452,24732,23604,23049,21252,18195,15507,14016,13014,11607,9609,7449,7839,9018,8157,5964,4080,3186,2595,3084,3252,2892,1914,1551,1365,1230,1368,1308,1035,1062,1107,1179,1128,1110,906,1122,987,879,711,741,681,627,648,666,762,957,1035,951,645,516,513,333,249,336,291,192,222,201,204,141,177,99,159,159,207,168,186,138,138,99,153,117,105,78,63,108,48,78,63,42,60,63,45,51,42,30,30,12,15,15,12,6,6,9,3,3,6,3,0,3,9,0,3
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,3,6,3,9,9,3,3,9,3,12,12,6,18,18,6,18,15,30,3,18,30,24,21,30,69,39,39,90,69,96,87,108,81,123,135,168,177,183,228,234,243,159,243,282,261,309,357,366,477,348,429,489,540,621,645,708,687,849,858,906,987,1707,3141,3312,3204,4269,4977,6051,7062,6606,7215,7752,9312,10800,13071,14454,16653,18330,19854,20973,20364,19638,18828,18291,17088,15387,14268,13998,14136,15096,16380,17961,18660,20505,21150,20595,21747,23478,21996,21393,21966,22938,27330,27735,29745,28977,29307,31884,34479,39987,47106,54834,62025,68118,81744,125547,221484,152802,221484,125547,81744,68118,62025,54834,47106,39987,34479,31884,29307,28977,29745,27735,27330,22938,21966,21393,21996,23478,21747,20595,21150,20505,18660,17961,16380,15096,14136,13998,14268,15387,17088,18291,18828,19638,20364,20973,19854,18330,16653,14454,13071,10800,9312,7752,7215,6606,7062,6051,4977,4269,3204,3312,3141,1707,987,906,858,849,687,708,645,621,540,489,429,348,477,366,357,309,261,282,243,159,243,234,228,183,177,168,135,123,81,108,87,96,69,90,39,39,69,30,21,24,30,18,3,30,15,18,6,18,18,6,12,12,3,9,3,3,9,9,3,6,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
