node,-165,-164,-163,-162,-161,-160,-159,-158,-157,-156,-155,-154,-153,-152,-151,-150,-149,-148,-147,-146,-145,-144,-143,-142,-141,-140,-139,-138,-137,-136,-135,-134,-133,-132,-131,-130,-129,-128,-127,-126,-125,-124,-123,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,6,9,6,3,9,18,9,9,15,18,24,18,33,24,42,57,42,54,75,126,69,114,114,162,174,183,249,285,309,318,468,531,603,723,819,1101,1350,1599,1854,2142,2352,2595,3444,4473,6438,7515,7923,9981,11016,11676,13407,14775,16749,18951,19401,20094,20772,22254,23784,26409,28362,31707,36153,42510,50955,60540,67479,73188,84462,91707,98814,108951,118284,124989,130920,133332,136587,141441,149076,155127,168750,171909,172683,172920,183024,192993,198024,189429,181200,170658,172503,161052,148299,139416,127239,118206,110124,105012,105828,107400,110958,117429,120048,124485,129759,138231,145668,151725,161403,176286,184401,192348,197004,201624,214353,222060,225735,241446,249072,258330,272925,281001,289842,314904,320718,329580,375963,465684,965199,1624002,615360,1624002,965199,465684,375963,329580,320718,314904,289842,281001,272925,258330,249072,241446,225735,222060,214353,201624,197004,192348,184401,176286,161403,151725,145668,138231,129759,124485,120048,117429,110958,107400,105828,105012,110124,118206,127239,139416,148299,161052,172503,170658,181200,189429,198024,192993,183024,172920,172683,171909,168750,155127,149076,141441,136587,133332,130920,124989,118284,108951,98814,91707,84462,73188,67479,60540,50955,42510,36153,31707,28362,26409,23784,22254,20772,20094,19401,18951,16749,14775,13407,11676,11016,9981,7923,7515,6438,4473,3444,2595,2352,2142,1854,1599,1350,1101,819,723,603,531,468,318,309,285,249,183,174,162,114,114,69,126,75,54,42,57,42,24,33,18,24,18,15,9,9,18,9,3,6,9,6,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,9,3,0,3,9,9,3,9,9,18,15,21,21,12,12,36,39,63,36,45,45,99,54,66,90,105,114,138,153,147,117,174,177,252,246,309,315,297,375,471,414,519,807,582,612,1011,1281,918,795,774,831,966,960,1101,1455,1329,1383,1521,1614,1830,2094,2367,2838,3438,3744,4314,6051,6084,5973,6414,7215,8199,9183,9933,11646,12258,12738,13395,15762,18603,22002,23955,23880,24579,25305,26379,28152,29226,30636,33243,37869,37821,38259,41604,44058,49086,52089,53403,55773,60267,65787,70326,71253,73083,76701,81138,82098,85779,83043,77163,75489,74955,72780,70746,66789,68445,61599,54306,51840,50112,46173,41481,42759,42372,38697,39960,42609,54516,50517,42924,42693,43572,45972,51774,55185,52749,61779,62061,63072,69183,78351,85323,95406,104613,104517,113433,130845,139335,154689,180891,196197,218148,237963,262155,297696,323823,388683,443883,547419,840888,975579,1403139,2761848,1871892,2761848,1403139,975579,840888,547419,443883,388683,323823,297696,262155,237963,218148,196197,180891,154689,139335,130845,113433,104517,104613,95406,85323,78351,69183,63072,62061,61779,52749,55185,51774,45972,43572,42693,42924,50517,54516,42609,39960,38697,42372,42759,41481,46173,50112,51840,54306,61599,68445,66789,70746,72780,74955,75489,77163,83043,85779,82098,81138,76701,73083,71253,70326,65787,60267,55773,53403,52089,49086,44058,41604,38259,37821,37869,33243,30636,29226,28152,26379,25305,24579,23880,23955,22002,18603,15762,13395,12738,12258,11646,9933,9183,8199,7215,6414,5973,6084,6051,4314,3744,3438,2838,2367,2094,1830,1614,1521,1383,1329,1455,1101,960,966,831,774,795,918,1281,1011,612,582,807,519,414,471,375,297,315,309,246,252,177,174,117,147,153,138,114,105,90,66,54,99,45,45,36,63,39,36,12,12,21,21,15,18,9,9,3,9,9,3,0,3,9,3,0
2,3,9,3,3,3,6,12,6,15,6,15,30,15,24,39,78,69,69,84,123,72,99,135,114,153,177,171,207,225,216,285,330,327,333,474,495,396,573,510,537,642,858,669,876,1137,858,996,942,954,978,1206,1233,1188,1302,1401,1554,1587,1896,1716,1890,2139,2241,2649,2649,3240,4113,4848,5619,6726,6897,8004,9831,10989,11847,12576,12837,13494,15297,16293,18135,19146,20721,21828,22431,23310,25602,28356,30327,31050,33078,35133,39087,41532,41760,43647,48498,52377,51648,50607,52404,57738,61410,63609,68538,72951,74760,76770,74301,73641,79770,81741,78825,76059,71919,67518,66672,64596,59352,55644,52797,50463,45756,43728,43125,42546,40704,39942,40677,41247,39087,40788,41373,46986,47142,43341,45360,47586,55197,55488,60060,59748,64074,65457,61416,63882,67260,69477,76017,88209,98331,109287,121512,139014,158793,183687,212145,248046,279666,344268,401982,542124,784560,970605,1443336,3202824,2581380,3202824,1443336,970605,784560,542124,401982,344268,279666,248046,212145,183687,158793,139014,121512,109287,98331,88209,76017,69477,67260,63882,61416,65457,64074,59748,60060,55488,55197,47586,45360,43341,47142,46986,41373,40788,39087,41247,40677,39942,40704,42546,43125,43728,45756,50463,52797,55644,59352,64596,66672,67518,71919,76059,78825,81741,79770,73641,74301,76770,74760,72951,68538,63609,61410,57738,52404,50607,51648,52377,48498,43647,41760,41532,39087,35133,33078,31050,30327,28356,25602,23310,22431,21828,20721,19146,18135,16293,15297,13494,12837,12576,11847,10989,9831,8004,6897,6726,5619,4848,4113,3240,2649,2649,2241,2139,1890,1716,1896,1587,1554,1401,1302,1188,1233,1206,978,954,942,996,858,1137,876,669,858,642,537,510,573,396,495,474,333,327,330,285,216,225,207,171,177,153,114,135,99,72,123,84,69,69,78,39,24,15,30,15,6,15,6,12,6,3,3,3,9,3
3,12,0,6,0,9,6,18,3,12,9,21,36,9,33,60,69,57,87,120,111,135,150,135,132,189,231,174,279,291,303,363,348,333,414,507,567,537,747,567,669,774,921,708,969,825,1002,1107,1023,1023,1380,1173,1122,1347,1644,1716,1731,2013,2301,2376,2595,2373,2616,3342,3660,4071,4593,4896,6324,7158,7521,8025,9471,9975,11061,12702,13230,13674,15288,16236,17835,20235,21273,22752,24234,26235,27240,29193,31026,32175,34746,36858,39291,40926,42726,45864,48501,48732,49560,50688,51192,51534,54591,59574,65061,66336,68994,69516,68502,68883,68355,66618,67920,66867,65166,62151,62547,60249,55140,52749,53046,51690,48408,47568,46356,44919,43725,42489,43203,42393,44367,43782,44985,45990,47940,50997,59436,62922,60558,59397,65274,73035,72834,72339,69561,68958,70167,72264,79341,87615,96006,107244,121641,142482,161886,187218,220128,259695,312771,407766,491847,578988,776379,973035,1331283,2956284,2749890,2956284,1331283,973035,776379,578988,491847,407766,312771,259695,220128,187218,161886,142482,121641,107244,96006,87615,79341,72264,70167,68958,69561,72339,72834,73035,65274,59397,60558,62922,59436,50997,47940,45990,44985,43782,44367,42393,43203,42489,43725,44919,46356,47568,48408,51690,53046,52749,55140,60249,62547,62151,65166,66867,67920,66618,68355,68883,68502,69516,68994,66336,65061,59574,54591,51534,51192,50688,49560,48732,48501,45864,42726,40926,39291,36858,34746,32175,31026,29193,27240,26235,24234,22752,21273,20235,17835,16236,15288,13674,13230,12702,11061,9975,9471,8025,7521,7158,6324,4896,4593,4071,3660,3342,2616,2373,2595,2376,2301,2013,1731,1716,1644,1347,1122,1173,1380,1023,1023,1107,1002,825,969,708,921,774,669,567,747,537,567,507,414,333,348,363,303,291,279,174,231,189,132,135,150,135,111,120,87,57,69,60,33,9,36,21,9,12,3,18,6,9,0,6,0,12
4,12,3,3,0,12,9,12,15,3,9,27,27,12,57,54,75,66,84,114,132,117,168,141,144,225,282,195,273,312,315,348,384,372,486,513,558,627,747,597,828,900,768,747,975,900,897,1086,1179,1260,1116,1362,1335,1572,1599,1707,1821,2025,2076,2259,2535,2775,3129,3504,3855,4395,4506,5067,5493,6474,7446,8583,8844,10293,10752,12810,14412,15330,17277,19053,19146,21927,22752,23991,26265,28608,30036,31062,31557,33090,35949,37959,40419,41739,41970,43386,47007,47094,46335,49551,52395,53577,56196,56298,56715,57672,57162,62337,58899,58041,63870,59877,58641,55341,55659,57585,55122,52899,50352,53364,50547,47802,47406,47169,45486,46602,46686,48741,49695,52299,53250,55350,61320,60963,62220,63981,68424,76845,78897,89610,91602,80235,76488,73554,78144,74463,73107,74100,80190,83463,97896,113064,124719,141129,162120,189684,234270,296709,328641,381642,467445,577746,811146,1046421,1282302,2728068,2789892,2728068,1282302,1046421,811146,577746,467445,381642,328641,296709,234270,189684,162120,141129,124719,113064,97896,83463,80190,74100,73107,74463,78144,73554,76488,80235,91602,89610,78897,76845,68424,63981,62220,60963,61320,55350,53250,52299,49695,48741,46686,46602,45486,47169,47406,47802,50547,53364,50352,52899,55122,57585,55659,55341,58641,59877,63870,58041,58899,62337,57162,57672,56715,56298,56196,53577,52395,49551,46335,47094,47007,43386,41970,41739,40419,37959,35949,33090,31557,31062,30036,28608,26265,23991,22752,21927,19146,19053,17277,15330,14412,12810,10752,10293,8844,8583,7446,6474,5493,5067,4506,4395,3855,3504,3129,2775,2535,2259,2076,2025,1821,1707,1599,1572,1335,1362,1116,1260,1179,1086,897,900,975,747,768,900,828,597,747,627,558,513,486,372,384,348,315,312,273,195,282,225,144,141,168,117,132,114,84,66,75,54,57,12,27,27,9,3,15,12,9,12,0,3,3,12
5,12,3,3,0,18,3,12,18,0,15,24,21,6,72,48,87,72,108,90,153,135,141,198,111,246,285,141,270,330,264,399,414,405,531,546,555,678,840,699,795,825,732,960,810,891,1017,1137,1155,1068,1188,1431,1404,1614,1647,1515,1632,2223,2214,2244,2409,2664,2865,3192,3585,3807,4371,4926,5373,6072,7323,9006,9831,10656,12417,13872,15618,16005,17328,19797,21687,22248,23349,24993,26403,29145,32496,32865,33603,36318,38841,40332,42000,39189,38601,38544,38160,38685,38994,40878,42948,44829,44217,41751,42393,45051,47340,48384,49221,50874,47607,48153,49968,51804,48606,50481,50049,50877,50556,52854,54309,57267,57459,58749,58950,60579,63141,64350,68619,70149,68556,70275,81201,87657,94335,104520,111672,108996,105024,94839,88344,82647,79008,77220,66918,67539,72684,82824,90606,98250,102168,112401,127767,155535,200199,223068,241269,289755,348789,438930,534009,616794,791871,979335,1178631,2512359,2616948,2512359,1178631,979335,791871,616794,534009,438930,348789,289755,241269,223068,200199,155535,127767,112401,102168,98250,90606,82824,72684,67539,66918,77220,79008,82647,88344,94839,105024,108996,111672,104520,94335,87657,81201,70275,68556,70149,68619,64350,63141,60579,58950,58749,57459,57267,54309,52854,50556,50877,50049,50481,48606,51804,49968,48153,47607,50874,49221,48384,47340,45051,42393,41751,44217,44829,42948,40878,38994,38685,38160,38544,38601,39189,42000,40332,38841,36318,33603,32865,32496,29145,26403,24993,23349,22248,21687,19797,17328,16005,15618,13872,12417,10656,9831,9006,7323,6072,5373,4926,4371,3807,3585,3192,2865,2664,2409,2244,2214,2223,1632,1515,1647,1614,1404,1431,1188,1068,1155,1137,1017,891,810,960,732,825,795,699,840,678,555,546,531,405,414,399,264,330,270,141,285,246,111,198,141,135,153,90,108,72,87,48,72,6,21,24,15,0,18,12,3,18,0,3,3,12
6,12,3,3,3,15,0,12,21,0,9,24,18,9,54,63,81,75,105,129,117,129,156,210,156,183,216,249,294,306,363,351,351,357,477,477,693,705,618,582,693,669,768,885,885,840,987,1020,1059,1023,1080,1263,1374,1605,1668,1551,1680,1953,1914,2031,2127,2445,2910,3339,3393,3741,4206,4800,5706,6714,7728,7887,9510,10578,12171,13626,14904,17271,18459,19812,22032,25449,27975,28272,29379,29868,30225,30678,29835,32043,33270,30717,28233,28593,29775,29709,27855,30888,32376,31371,33024,33405,31101,30078,29664,28107,29046,30888,32439,36993,38157,37923,40284,42252,46188,54084,58218,60327,67518,64428,65073,74241,81063,88005,85512,82089,85302,90315,90594,100749,109395,121599,137268,136740,126324,124548,111279,99402,93159,86646,78999,77757,75993,74340,74622,79608,89850,90762,99078,109440,131529,156600,175797,183780,200058,235302,307704,350460,396540,446691,519765,596379,708240,881889,1120332,2312967,2337108,2312967,1120332,881889,708240,596379,519765,446691,396540,350460,307704,235302,200058,183780,175797,156600,131529,109440,99078,90762,89850,79608,74622,74340,75993,77757,78999,86646,93159,99402,111279,124548,126324,136740,137268,121599,109395,100749,90594,90315,85302,82089,85512,88005,81063,74241,65073,64428,67518,60327,58218,54084,46188,42252,40284,37923,38157,36993,32439,30888,29046,28107,29664,30078,31101,33405,33024,31371,32376,30888,27855,29709,29775,28593,28233,30717,33270,32043,29835,30678,30225,29868,29379,28272,27975,25449,22032,19812,18459,17271,14904,13626,12171,10578,9510,7887,7728,6714,5706,4800,4206,3741,3393,3339,2910,2445,2127,2031,1914,1953,1680,1551,1668,1605,1374,1263,1080,1023,1059,1020,987,840,885,885,768,669,693,582,618,705,693,477,477,357,351,351,363,306,294,249,216,183,156,210,156,129,117,129,105,75,81,63,54,9,18,24,9,0,21,12,0,15,3,3,3,12
7,12,3,3,3,15,3,9,6,0,6,12,9,27,51,45,78,93,129,135,150,177,132,141,99,138,195,168,216,195,204,222,225,285,423,474,615,666,600,603,738,666,783,813,765,864,885,954,819,975,981,1047,1248,1320,1425,1545,1548,1638,1656,1977,1995,2142,2538,3153,3612,3384,3630,4254,5739,6654,8130,8637,8967,11421,13875,14235,13683,15258,16926,16638,17595,18789,19890,21444,21531,22164,21588,20847,20889,19542,17556,17586,17580,16539,15915,16785,17118,17940,19413,20556,21042,21984,21510,20010,21264,23364,25329,25980,27795,32139,35853,39657,41502,41970,43956,48642,69795,80916,79707,78939,89559,101070,113979,117288,111123,114486,130761,143952,153696,175155,147426,132627,131766,131379,117792,103920,98067,94779,93105,93084,85437,86004,89979,96060,104124,103701,106884,116100,134760,152394,156306,157590,182283,217266,246246,282255,311697,356877,394278,427179,496917,566289,654309,812250,1106691,2158767,1949088,2158767,1106691,812250,654309,566289,496917,427179,394278,356877,311697,282255,246246,217266,182283,157590,156306,152394,134760,116100,106884,103701,104124,96060,89979,86004,85437,93084,93105,94779,98067,103920,117792,131379,131766,132627,147426,175155,153696,143952,130761,114486,111123,117288,113979,101070,89559,78939,79707,80916,69795,48642,43956,41970,41502,39657,35853,32139,27795,25980,25329,23364,21264,20010,21510,21984,21042,20556,19413,17940,17118,16785,15915,16539,17580,17586,17556,19542,20889,20847,21588,22164,21531,21444,19890,18789,17595,16638,16926,15258,13683,14235,13875,11421,8967,8637,8130,6654,5739,4254,3630,3384,3612,3153,2538,2142,1995,1977,1656,1638,1548,1545,1425,1320,1248,1047,981,975,819,954,885,864,765,813,783,666,738,603,600,666,615,474,423,285,225,222,204,195,216,168,195,138,99,141,132,177,150,135,129,93,78,45,51,27,9,12,6,0,6,9,3,15,3,3,3,12
8,9,3,3,0,0,0,21,3,0,0,33,12,15,48,18,48,72,57,96,84,60,78,45,57,93,111,108,204,231,225,255,273,363,462,444,450,636,489,522,552,510,558,594,558,555,636,660,639,711,747,942,900,1122,1314,1239,1146,1224,1476,1614,1539,1755,1950,2277,2685,3273,2847,3645,4638,5532,5175,5793,6249,7293,6804,6489,5133,5592,5835,6375,6405,7092,8055,8214,9054,9666,9897,10320,11535,12156,11820,10461,10119,9054,8424,8454,8613,9900,11724,14607,16902,17088,17745,17997,18372,20538,23337,25365,30963,37350,44007,62874,67221,65097,72717,82851,80136,80526,90030,97284,116175,126276,133026,137856,145458,159462,171399,163290,151935,146322,140973,131937,124119,113232,109926,108684,106659,106335,109305,114513,119013,126684,125049,124248,127980,131004,146898,145017,144264,165714,187278,210864,228390,240759,260925,289845,308166,336402,365331,397869,438099,526104,614898,734985,1075638,2082795,1599264,2082795,1075638,734985,614898,526104,438099,397869,365331,336402,308166,289845,260925,240759,228390,210864,187278,165714,144264,145017,146898,131004,127980,124248,125049,126684,119013,114513,109305,106335,106659,108684,109926,113232,124119,131937,140973,146322,151935,163290,171399,159462,145458,137856,133026,126276,116175,97284,90030,80526,80136,82851,72717,65097,67221,62874,44007,37350,30963,25365,23337,20538,18372,17997,17745,17088,16902,14607,11724,9900,8613,8454,8424,9054,10119,10461,11820,12156,11535,10320,9897,9666,9054,8214,8055,7092,6405,6375,5835,5592,5133,6489,6804,7293,6249,5793,5175,5532,4638,3645,2847,3273,2685,2277,1950,1755,1539,1614,1476,1224,1146,1239,1314,1122,900,942,747,711,639,660,636,555,558,594,558,510,552,522,489,636,450,444,462,363,273,255,225,231,204,108,111,93,57,45,78,60,84,96,57,72,48,18,48,15,12,33,0,0,3,21,0,0,0,3,3,9
