,rank,count
0,0,165
1,1,6
2,2,12
3,3,18
4,4,33
5,5,36
6,6,48
7,7,63
8,8,33
9,9,51
10,10,99
11,11,84
12,12,45
13,13,78
14,14,102
15,15,135
16,16,126
17,17,147
18,18,141
19,19,156
20,20,171
21,21,210
22,22,231
23,23,282
24,24,297
25,25,363
26,26,336
27,27,318
28,28,435
29,29,486
30,30,492
31,31,543
32,32,630
33,33,678
34,34,711
35,35,789
36,36,891
37,37,939
38,38,990
39,39,1101
40,40,1245
41,41,1317
42,42,1347
43,43,1446
44,44,1539
45,45,1587
46,46,1662
47,47,1770
48,48,1887
49,49,1965
50,50,2082
51,51,2268
52,52,2343
53,53,2592
54,54,2730
55,55,2934
56,56,3147
57,57,3417
58,58,3636
59,59,3801
60,60,4017
61,61,4230
62,62,4557
63,63,4857
64,64,5145
65,65,5280
66,66,5502
67,67,5649
68,68,5904
69,69,6093
70,70,6210
71,71,6741
72,72,6804
73,73,7140
74,74,7407
75,75,7791
76,76,7992
77,77,8124
78,78,8532
79,79,8760
80,80,8847
81,81,9234
82,82,10056
83,83,10353
84,84,10566
85,85,10902
86,86,11367
87,87,11940
88,88,12090
89,89,12786
90,90,13152
91,91,13968
92,92,14376
93,93,15372
94,94,15852
95,95,17028
96,96,17829
97,97,18654
98,98,19809
99,99,21378
100,100,21993
101,101,23403
102,102,24873
103,103,26778
104,104,28218
105,105,30567
106,106,32745
107,107,34398
108,108,37404
109,109,39357
110,110,42393
111,111,44832
112,112,47703
113,113,49440
114,114,52203
115,115,53634
116,116,57618
117,117,58077
118,118,59235
119,119,60873
120,120,61677
121,121,62691
122,122,61416
123,123,64080
124,124,63975
125,125,62871
126,126,64728
127,127,64629
128,128,65064
129,129,66150
130,130,67665
131,131,67461
132,132,68601
133,133,69411
134,134,68832
135,135,68649
136,136,69777
137,137,69384
138,138,70170
139,139,71754
140,140,73062
141,141,74853
142,142,76773
143,143,78906
144,144,81417
145,145,82686
146,146,83205
147,147,85470
148,148,86880
149,149,90084
150,150,93474
151,151,97356
152,152,100986
153,153,104676
154,154,110400
155,155,115173
156,156,121374
157,157,124464
158,158,128061
159,159,133746
160,160,138831
161,161,143052
162,162,148131
163,163,151170
164,164,153162
165,165,158370
166,166,160659
167,167,161469
168,168,165801
169,169,165312
170,170,164427
171,171,165663
172,172,165924
173,173,164403
174,174,167019
175,175,166743
176,176,164622
177,177,164580
178,178,165603
179,179,164490
180,180,161370
181,181,159126
182,182,156219
183,183,153120
184,184,150780
185,185,148152
186,186,145632
187,187,144843
188,188,144489
189,189,142812
190,190,143310
191,191,142140
192,192,143412
193,193,146016
194,194,144585
195,195,146301
196,196,147087
197,197,147669
198,198,146943
199,199,146562
200,200,144267
201,201,142242
202,202,141444
203,203,139272
204,204,137217
205,205,136857
206,206,134724
207,207,133497
208,208,132840
209,209,129417
210,210,125199
211,211,120918
212,212,114741
213,213,112008
214,214,104196
215,215,99960
216,216,93636
217,217,87408
218,218,83283
219,219,77541
220,220,73491
221,221,69876
222,222,65718
223,223,64431
224,224,61083
225,225,57417
226,226,54390
227,227,51642
228,228,49842
229,229,46281
230,230,44145
231,231,42828
232,232,42075
233,233,40164
234,234,38157
235,235,36051
236,236,35376
237,237,35658
238,238,35883
239,239,34110
240,240,29865
241,241,26538
242,242,23043
243,243,20523
244,244,18141
245,245,16161
246,246,14676
247,247,13809
248,248,12915
249,249,12210
250,250,11355
251,251,10155
252,252,8952
253,253,7755
254,254,7116
255,255,6108
256,256,4758
257,257,3756
258,258,2904
259,259,2280
260,260,1743
261,261,1416
262,262,1185
263,263,963
264,264,816
265,265,618
266,266,600
267,267,483
268,268,444
269,269,387
270,270,303
271,271,153
272,272,108
273,273,63
274,274,39
275,275,21
276,276,6
