,rank,count
0,0,93
1,1,6
2,2,6
3,3,12
4,4,12
5,5,15
6,6,24
7,7,24
8,8,18
9,9,24
10,10,36
11,11,33
12,12,30
13,13,39
14,14,51
15,15,51
16,16,51
17,17,57
18,18,75
19,19,87
20,20,81
21,21,87
22,22,117
23,23,138
24,24,117
25,25,117
26,26,123
27,27,123
28,28,102
29,29,114
30,30,126
31,31,129
32,32,138
33,33,165
34,34,162
35,35,165
36,36,132
37,37,147
38,38,174
39,39,225
40,40,180
41,41,171
42,42,183
43,43,216
44,44,177
45,45,174
46,46,192
47,47,213
48,48,183
49,49,207
50,50,222
51,51,252
52,52,258
53,53,300
54,54,327
55,55,303
56,56,288
57,57,300
58,58,351
59,59,366
60,60,387
61,61,390
62,62,402
63,63,408
64,64,447
65,65,450
66,66,411
67,67,387
68,68,378
69,69,396
70,70,399
71,71,354
72,72,318
73,73,294
74,74,309
75,75,273
76,76,255
77,77,255
78,78,279
79,79,240
80,80,216
81,81,207
82,82,213
83,83,234
84,84,270
85,85,288
86,86,318
87,87,342
88,88,327
89,89,291
90,90,279
91,91,285
92,92,258
93,93,198
94,94,177
95,95,150
96,96,105
97,97,63
98,98,30
99,99,18
100,100,21
101,101,18
102,102,15
103,103,6
104,104,6
105,105,3
106,106,6
107,107,6
108,108,6
109,109,6
