,rank effect,count
0,-135,9
1,-134,9
2,-133,45
3,-132,24
4,-131,3
5,-130,36
6,-129,24
7,-128,30
8,-127,54
9,-126,48
10,-125,36
11,-124,75
12,-123,69
13,-122,150
14,-121,174
15,-120,201
16,-119,225
17,-118,300
18,-117,327
19,-116,504
20,-115,438
21,-114,630
22,-113,555
23,-112,510
24,-111,558
25,-110,687
26,-109,705
27,-108,843
28,-107,945
29,-106,1263
30,-105,1338
31,-104,1218
32,-103,1458
33,-102,1644
34,-101,1584
35,-100,1704
36,-99,2058
37,-98,2178
38,-97,2265
39,-96,2055
40,-95,2202
41,-94,2112
42,-93,2454
43,-92,2403
44,-91,2622
45,-90,2970
46,-89,3189
47,-88,3249
48,-87,3945
49,-86,4203
50,-85,4560
51,-84,5397
52,-83,6087
53,-82,6924
54,-81,7251
55,-80,9600
56,-79,9987
57,-78,10719
58,-77,12327
59,-76,12540
60,-75,13746
61,-74,15594
62,-73,16767
63,-72,18492
64,-71,19545
65,-70,20946
66,-69,23799
67,-68,24465
68,-67,24687
69,-66,26922
70,-65,29742
71,-64,31773
72,-63,32295
73,-62,34461
74,-61,36390
75,-60,39033
76,-59,41736
77,-58,46170
78,-57,47790
79,-56,48288
80,-55,52824
81,-54,59826
82,-53,62553
83,-52,68292
84,-51,74454
85,-50,78612
86,-49,85008
87,-48,92673
88,-47,101088
89,-46,107802
90,-45,120960
91,-44,136269
92,-43,140361
93,-42,145269
94,-41,151119
95,-40,161925
96,-39,163494
97,-38,168960
98,-37,176883
99,-36,183894
100,-35,201348
101,-34,225120
102,-33,225375
103,-32,216939
104,-31,226401
105,-30,228096
106,-29,220215
107,-28,210273
108,-27,205878
109,-26,207198
110,-25,194124
111,-24,197166
112,-23,199017
113,-22,193458
114,-21,199602
115,-20,209589
116,-19,207384
117,-18,212685
118,-17,224820
119,-16,237006
120,-15,249810
121,-14,260655
122,-13,280260
123,-12,299451
124,-11,325014
125,-10,359406
126,-9,401751
127,-8,453816
128,-7,533898
129,-6,626130
130,-5,751236
131,-4,931818
132,-3,1189920
133,-2,1858791
134,-1,3365892
135,0,3060060
136,1,3365892
137,2,1858791
138,3,1189920
139,4,931818
140,5,751236
141,6,626130
142,7,533898
143,8,453816
144,9,401751
145,10,359406
146,11,325014
147,12,299451
148,13,280260
149,14,260655
150,15,249810
151,16,237006
152,17,224820
153,18,212685
154,19,207384
155,20,209589
156,21,199602
157,22,193458
158,23,199017
159,24,197166
160,25,194124
161,26,207198
162,27,205878
163,28,210273
164,29,220215
165,30,228096
166,31,226401
167,32,216939
168,33,225375
169,34,225120
170,35,201348
171,36,183894
172,37,176883
173,38,168960
174,39,163494
175,40,161925
176,41,151119
177,42,145269
178,43,140361
179,44,136269
180,45,120960
181,46,107802
182,47,101088
183,48,92673
184,49,85008
185,50,78612
186,51,74454
187,52,68292
188,53,62553
189,54,59826
190,55,52824
191,56,48288
192,57,47790
193,58,46170
194,59,41736
195,60,39033
196,61,36390
197,62,34461
198,63,32295
199,64,31773
200,65,29742
201,66,26922
202,67,24687
203,68,24465
204,69,23799
205,70,20946
206,71,19545
207,72,18492
208,73,16767
209,74,15594
210,75,13746
211,76,12540
212,77,12327
213,78,10719
214,79,9987
215,80,9600
216,81,7251
217,82,6924
218,83,6087
219,84,5397
220,85,4560
221,86,4203
222,87,3945
223,88,3249
224,89,3189
225,90,2970
226,91,2622
227,92,2403
228,93,2454
229,94,2112
230,95,2202
231,96,2055
232,97,2265
233,98,2178
234,99,2058
235,100,1704
236,101,1584
237,102,1644
238,103,1458
239,104,1218
240,105,1338
241,106,1263
242,107,945
243,108,843
244,109,705
245,110,687
246,111,558
247,112,510
248,113,555
249,114,630
250,115,438
251,116,504
252,117,327
253,118,300
254,119,225
255,120,201
256,121,174
257,122,150
258,123,69
259,124,75
260,125,36
261,126,48
262,127,54
263,128,30
264,129,24
265,130,36
266,131,3
267,132,24
268,133,45
269,134,9
270,135,9
