node,-167,-166,-165,-164,-163,-162,-161,-160,-159,-158,-157,-156,-155,-154,-153,-152,-151,-150,-149,-148,-147,-146,-145,-144,-143,-142,-141,-140,-139,-138,-137,-136,-135,-134,-133,-132,-131,-130,-129,-128,-127,-126,-125,-124,-123,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,9,0,3,6,9,6,12,12,12,9,12,18,27,21,24,45,30,51,45,63,66,99,90,111,105,171,189,165,204,279,309,303,369,507,585,669,681,885,1155,1395,1668,2028,2208,2415,2913,3915,5049,7380,7515,8670,10515,11349,12246,13491,14988,16929,18729,19635,20115,21090,22233,24429,26574,28788,32193,37047,44019,52356,61482,68325,73554,84780,91761,99789,109695,117978,125745,131964,133404,136566,141621,150558,156879,168726,172179,171759,174297,184170,192456,195873,188775,179112,169461,171438,158685,147390,137418,125613,116976,111834,106185,104919,107496,111603,117603,120417,125157,129684,138270,145539,151395,161742,176736,185403,192222,196695,202197,215724,222909,226719,241545,249093,257004,272211,280497,289062,313209,321123,330354,379347,475347,982206,1578054,623460,1578054,982206,475347,379347,330354,321123,313209,289062,280497,272211,257004,249093,241545,226719,222909,215724,202197,196695,192222,185403,176736,161742,151395,145539,138270,129684,125157,120417,117603,111603,107496,104919,106185,111834,116976,125613,137418,147390,158685,171438,169461,179112,188775,195873,192456,184170,174297,171759,172179,168726,156879,150558,141621,136566,133404,131964,125745,117978,109695,99789,91761,84780,73554,68325,61482,52356,44019,37047,32193,28788,26574,24429,22233,21090,20115,19635,18729,16929,14988,13491,12246,11349,10515,8670,7515,7380,5049,3915,2913,2415,2208,2028,1668,1395,1155,885,681,669,585,507,369,303,309,279,204,165,189,171,105,111,90,99,66,63,45,51,30,45,24,21,27,18,12,9,12,12,12,6,9,6,3,0,9,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,12,0,0,6,9,9,0,12,12,12,33,9,15,6,30,42,30,51,36,48,60,75,45,81,96,114,96,114,141,186,120,132,210,243,243,279,294,348,270,507,447,453,525,900,531,630,1206,1182,900,819,903,879,951,1080,1350,1374,1239,1440,1662,1623,1911,2118,2604,3243,3378,3885,4638,6396,5919,6201,6639,7488,8727,9546,10668,11805,12360,12669,14460,15672,19302,22059,24342,24198,24924,25485,26082,28416,29289,30765,33402,38106,37686,37998,41865,44607,49080,52161,53784,56400,60945,66657,70002,71562,72975,76671,80337,82518,86712,83658,76281,75540,76050,72195,70050,67422,66255,60066,53394,51708,49458,45813,41229,42360,42210,38985,39441,42036,54174,51687,43359,42402,43422,44199,51621,56172,52902,61206,62034,61305,68601,79401,85995,93378,101868,104559,111147,127815,139908,154317,176850,195219,215895,236760,261162,294990,323274,386820,443634,564591,839259,953040,1395864,2736714,1992864,2736714,1395864,953040,839259,564591,443634,386820,323274,294990,261162,236760,215895,195219,176850,154317,139908,127815,111147,104559,101868,93378,85995,79401,68601,61305,62034,61206,52902,56172,51621,44199,43422,42402,43359,51687,54174,42036,39441,38985,42210,42360,41229,45813,49458,51708,53394,60066,66255,67422,70050,72195,76050,75540,76281,83658,86712,82518,80337,76671,72975,71562,70002,66657,60945,56400,53784,52161,49080,44607,41865,37998,37686,38106,33402,30765,29289,28416,26082,25485,24924,24198,24342,22059,19302,15672,14460,12669,12360,11805,10668,9546,8727,7488,6639,6201,5919,6396,4638,3885,3378,3243,2604,2118,1911,1623,1662,1440,1239,1374,1350,1080,951,879,903,819,900,1182,1206,630,531,900,525,453,447,507,270,348,294,279,243,243,210,132,120,186,141,114,96,114,96,81,45,75,60,48,36,51,30,42,30,6,15,9,33,12,12,12,0,9,9,6,0,0,12,0,3,0
2,3,3,6,6,0,3,9,12,12,6,9,21,15,39,24,18,105,54,72,69,117,105,87,105,111,153,219,141,198,252,207,276,306,312,363,468,492,417,507,540,492,606,855,735,789,930,1146,891,1077,1008,888,1044,1236,1389,1173,1344,1515,1680,1665,1761,1620,2136,2283,2442,2481,3021,3774,4491,5049,5790,6954,7113,8493,10194,11310,12360,12561,12975,14214,15360,16641,18873,19620,20637,22047,22353,23634,25167,28242,30261,31416,33234,35634,39618,41073,41361,43557,48543,52569,51600,50730,52398,57999,61434,64239,68619,72870,75333,76749,73785,73842,80367,81174,78888,76194,70809,67008,66876,63516,58539,55191,52110,50190,45552,43593,43605,42177,40299,40020,40824,41166,38865,40842,41427,46785,47052,43311,44838,46839,53322,56907,60720,59733,62460,65100,60183,61956,65856,69621,75018,85791,96207,107889,120615,136446,158106,181338,209577,243522,278583,339204,397395,540897,766887,944376,1437795,3176247,2804628,3176247,1437795,944376,766887,540897,397395,339204,278583,243522,209577,181338,158106,136446,120615,107889,96207,85791,75018,69621,65856,61956,60183,65100,62460,59733,60720,56907,53322,46839,44838,43311,47052,46785,41427,40842,38865,41166,40824,40020,40299,42177,43605,43593,45552,50190,52110,55191,58539,63516,66876,67008,70809,76194,78888,81174,80367,73842,73785,76749,75333,72870,68619,64239,61434,57999,52398,50730,51600,52569,48543,43557,41361,41073,39618,35634,33234,31416,30261,28242,25167,23634,22353,22047,20637,19620,18873,16641,15360,14214,12975,12561,12360,11310,10194,8493,7113,6954,5790,5049,4491,3774,3021,2481,2442,2283,2136,1620,1761,1665,1680,1515,1344,1173,1389,1236,1044,888,1008,1077,891,1146,930,789,735,855,606,492,540,507,417,492,468,363,312,306,276,207,252,198,141,219,153,111,105,87,105,117,69,72,54,105,18,24,39,15,21,9,6,12,12,9,3,0,6,6,3,3
3,6,6,3,3,0,15,9,9,6,9,15,24,27,27,30,48,90,39,90,105,141,132,120,147,147,189,219,195,255,333,228,363,357,354,411,543,543,537,621,699,609,768,852,810,945,885,999,1074,1077,1089,1119,1329,1203,1263,1521,1650,1782,2028,2100,2343,2400,2532,2454,2982,3618,3756,4317,4638,5571,6585,7305,7728,8481,9309,10119,11856,12819,13401,14373,15411,16638,18117,20511,21306,23229,24639,26076,27177,29130,30918,32373,34479,36654,39162,40734,43005,45555,48198,48822,49290,51282,51060,51327,54918,59679,64092,66819,69330,68835,68535,68919,67995,66534,68442,66597,65310,61773,62166,59547,54780,52857,53076,51657,48123,47994,46560,44643,43491,43365,42567,42465,43698,43602,44964,45432,48297,51072,58785,63801,59829,59592,63942,69648,72372,73959,68748,67167,68811,71823,77628,85767,95079,107313,119379,140055,161028,185427,217380,256602,309240,399291,478488,575283,762282,950727,1319730,2963358,2932722,2963358,1319730,950727,762282,575283,478488,399291,309240,256602,217380,185427,161028,140055,119379,107313,95079,85767,77628,71823,68811,67167,68748,73959,72372,69648,63942,59592,59829,63801,58785,51072,48297,45432,44964,43602,43698,42465,42567,43365,43491,44643,46560,47994,48123,51657,53076,52857,54780,59547,62166,61773,65310,66597,68442,66534,67995,68919,68535,68835,69330,66819,64092,59679,54918,51327,51060,51282,49290,48822,48198,45555,43005,40734,39162,36654,34479,32373,30918,29130,27177,26076,24639,23229,21306,20511,18117,16638,15411,14373,13401,12819,11856,10119,9309,8481,7728,7305,6585,5571,4638,4317,3756,3618,2982,2454,2532,2400,2343,2100,2028,1782,1650,1521,1263,1203,1329,1119,1089,1077,1074,999,885,945,810,852,768,609,699,621,537,543,543,411,354,357,363,228,333,255,195,219,189,147,147,120,132,141,105,90,39,90,48,30,27,27,24,15,9,6,9,9,15,0,3,3,6,6
4,6,6,3,3,6,9,12,9,12,6,21,15,33,33,36,78,63,63,75,120,129,129,129,189,150,207,288,201,270,312,297,330,414,408,384,636,561,636,639,708,825,870,750,795,918,924,990,969,1137,1290,1212,1305,1287,1581,1584,1749,1809,1818,2163,2052,2457,2742,2913,3327,3663,4071,4344,4860,5256,5832,6846,7569,8367,9435,10518,11379,13092,14979,15858,17589,19014,19932,21708,22632,24513,25695,28401,29679,30645,31572,33237,35715,37572,40506,41487,41703,43194,46230,46917,46803,49758,51552,53964,56445,56007,56682,57375,58137,61737,59580,59109,63036,59769,58248,55110,56352,57273,54870,52809,50520,53700,50025,47847,47511,46962,45285,46674,46848,49056,49863,52005,52932,54954,60876,60678,61527,63525,67830,76467,78411,88479,92271,80787,76011,72564,74976,73881,73542,74139,78933,82083,95595,113388,123588,138855,160146,188313,230661,288762,322275,375009,459732,571998,799125,1034409,1282305,2731779,2936172,2731779,1282305,1034409,799125,571998,459732,375009,322275,288762,230661,188313,160146,138855,123588,113388,95595,82083,78933,74139,73542,73881,74976,72564,76011,80787,92271,88479,78411,76467,67830,63525,61527,60678,60876,54954,52932,52005,49863,49056,46848,46674,45285,46962,47511,47847,50025,53700,50520,52809,54870,57273,56352,55110,58248,59769,63036,59109,59580,61737,58137,57375,56682,56007,56445,53964,51552,49758,46803,46917,46230,43194,41703,41487,40506,37572,35715,33237,31572,30645,29679,28401,25695,24513,22632,21708,19932,19014,17589,15858,14979,13092,11379,10518,9435,8367,7569,6846,5832,5256,4860,4344,4071,3663,3327,2913,2742,2457,2052,2163,1818,1809,1749,1584,1581,1287,1305,1212,1290,1137,969,990,924,918,795,750,870,825,708,639,636,561,636,384,408,414,330,297,312,270,201,288,207,150,189,129,129,129,120,75,63,63,78,36,33,33,15,21,6,12,9,12,9,6,3,3,6,6
5,6,9,0,9,0,9,12,9,12,15,9,18,27,39,51,69,84,60,99,105,174,108,129,213,132,198,270,207,294,294,309,357,432,459,486,606,606,657,735,741,810,783,810,894,849,807,1095,1086,1140,1176,1173,1269,1455,1599,1542,1647,1746,1887,2094,2205,2460,2553,2691,3048,3216,3789,3957,4773,5091,5403,6564,7698,9093,10182,11280,12726,14502,15342,16317,17709,19728,21660,22344,23307,24852,26058,28734,32013,33060,33354,36300,38202,39831,41130,39771,38259,38388,38349,39339,38868,41061,42756,44394,44133,42045,42969,44262,47658,48168,49659,51249,48039,48465,49761,51951,48645,50301,49848,51309,50466,52854,54873,56994,57897,59115,58884,59916,62727,64365,67518,69723,68445,70464,80034,87822,94617,103896,109815,108294,105240,94686,87486,82824,77400,78279,67887,66906,70860,81456,88839,97527,101346,113220,125514,153822,194523,219342,237441,285183,344646,434745,528984,613908,792237,971748,1175700,2509491,2732436,2509491,1175700,971748,792237,613908,528984,434745,344646,285183,237441,219342,194523,153822,125514,113220,101346,97527,88839,81456,70860,66906,67887,78279,77400,82824,87486,94686,105240,108294,109815,103896,94617,87822,80034,70464,68445,69723,67518,64365,62727,59916,58884,59115,57897,56994,54873,52854,50466,51309,49848,50301,48645,51951,49761,48465,48039,51249,49659,48168,47658,44262,42969,42045,44133,44394,42756,41061,38868,39339,38349,38388,38259,39771,41130,39831,38202,36300,33354,33060,32013,28734,26058,24852,23307,22344,21660,19728,17709,16317,15342,14502,12726,11280,10182,9093,7698,6564,5403,5091,4773,3957,3789,3216,3048,2691,2553,2460,2205,2094,1887,1746,1647,1542,1599,1455,1269,1173,1176,1140,1086,1095,807,849,894,810,783,810,741,735,657,606,606,486,459,432,357,309,294,294,207,270,198,132,213,129,108,174,105,99,60,84,69,51,39,27,18,9,15,12,9,12,9,0,9,0,9,6
6,6,9,0,9,3,6,6,15,12,9,15,12,30,33,48,69,84,69,99,129,123,153,132,192,192,189,192,267,285,318,372,324,390,405,456,543,660,747,594,561,759,525,756,861,855,837,1002,999,1008,1146,1017,1266,1302,1608,1518,1650,1689,1989,1794,1899,2145,2295,2640,3084,3429,3333,3948,4617,5094,5685,6981,7845,8550,9450,10875,12534,13677,15402,16896,17931,19794,21948,25527,28380,28005,28800,29556,30333,30360,30492,32193,32904,30876,27561,28113,30300,29496,28185,29865,32016,31857,33375,33411,30891,30438,29493,28236,29601,31215,32286,37446,38217,38916,40176,43059,46479,53874,58104,60885,66066,64614,64905,73878,80382,87531,85404,82086,85404,89601,91236,101544,108279,119871,134670,137046,126573,123909,111840,100887,92913,86382,79419,76977,76311,73305,74790,77976,86085,93693,98796,108096,126939,155709,171183,179811,201021,237993,301839,344277,393033,444645,519045,598221,708171,876372,1117608,2312748,2417022,2312748,1117608,876372,708171,598221,519045,444645,393033,344277,301839,237993,201021,179811,171183,155709,126939,108096,98796,93693,86085,77976,74790,73305,76311,76977,79419,86382,92913,100887,111840,123909,126573,137046,134670,119871,108279,101544,91236,89601,85404,82086,85404,87531,80382,73878,64905,64614,66066,60885,58104,53874,46479,43059,40176,38916,38217,37446,32286,31215,29601,28236,29493,30438,30891,33411,33375,31857,32016,29865,28185,29496,30300,28113,27561,30876,32904,32193,30492,30360,30333,29556,28800,28005,28380,25527,21948,19794,17931,16896,15402,13677,12534,10875,9450,8550,7845,6981,5685,5094,4617,3948,3333,3429,3084,2640,2295,2145,1899,1794,1989,1689,1650,1518,1608,1302,1266,1017,1146,1008,999,1002,837,855,861,756,525,759,561,594,747,660,543,456,405,390,324,372,318,285,267,192,189,192,192,132,153,123,129,99,69,84,69,48,33,30,12,15,9,12,15,6,6,3,9,0,9,6
7,6,9,0,9,3,6,9,9,3,6,9,6,9,39,66,54,66,111,114,141,150,171,138,117,132,135,165,174,231,183,195,300,201,306,417,543,519,594,657,594,660,696,720,768,828,843,867,885,1044,840,1116,966,1161,1353,1509,1392,1548,1512,1515,1722,1977,2028,2397,2691,3267,3366,3675,4122,4581,5799,6378,8178,8733,9243,11169,13779,14253,14580,15798,16977,16695,17361,19068,20181,21156,21684,22137,21705,20358,20235,19485,17214,17064,17778,16641,15951,16458,17301,18225,19620,20595,22158,22170,21114,20643,21201,23664,24963,26034,28338,32475,36126,39834,41292,42021,44751,48906,67692,80460,80298,79740,88749,100113,113607,117024,110814,113937,128292,143940,153231,172623,148722,134016,132108,130035,117984,104508,98421,95448,93582,92517,85182,84840,89433,96057,103419,103581,106815,116040,132573,143199,157887,163578,180282,209967,241425,283713,308874,354600,395493,429117,497601,566277,652398,807156,1105710,2156829,2009730,2156829,1105710,807156,652398,566277,497601,429117,395493,354600,308874,283713,241425,209967,180282,163578,157887,143199,132573,116040,106815,103581,103419,96057,89433,84840,85182,92517,93582,95448,98421,104508,117984,130035,132108,134016,148722,172623,153231,143940,128292,113937,110814,117024,113607,100113,88749,79740,80298,80460,67692,48906,44751,42021,41292,39834,36126,32475,28338,26034,24963,23664,21201,20643,21114,22170,22158,20595,19620,18225,17301,16458,15951,16641,17778,17064,17214,19485,20235,20358,21705,22137,21684,21156,20181,19068,17361,16695,16977,15798,14580,14253,13779,11169,9243,8733,8178,6378,5799,4581,4122,3675,3366,3267,2691,2397,2028,1977,1722,1515,1512,1548,1392,1509,1353,1161,966,1116,840,1044,885,867,843,828,768,720,696,660,594,657,594,519,543,417,306,201,300,195,183,231,174,165,135,132,117,138,171,150,141,114,111,66,54,66,39,9,6,9,6,3,9,9,6,3,9,0,9,6
8,3,9,0,3,0,0,3,18,3,0,9,24,21,24,27,45,30,66,69,87,96,48,48,87,51,78,144,123,195,219,195,282,294,327,396,408,576,477,573,441,573,555,510,615,552,606,654,588,771,777,729,840,903,954,1170,1209,1173,1269,1218,1494,1461,1671,1878,1953,2370,2634,3267,3216,3795,5016,5112,5679,5868,6672,7212,6705,6003,5481,5574,6063,6282,6672,7308,7968,8643,9642,9594,9954,10266,11322,12012,11346,10863,9918,8967,8547,8478,8733,10128,12147,14493,17100,17916,18165,17835,18039,21066,23721,25986,30375,37179,44094,61476,67227,65028,71475,82884,81579,80100,90198,96849,113559,125034,130506,137118,146925,159618,170610,165795,152727,145488,140802,132459,123969,113484,110352,108495,106287,105684,108528,113934,118977,126996,123969,124329,128094,130458,141495,149568,144672,163674,184464,207027,226419,237384,261777,293862,306381,334836,365700,398406,437799,528999,609255,729618,1082208,2077143,1644318,2077143,1082208,729618,609255,528999,437799,398406,365700,334836,306381,293862,261777,237384,226419,207027,184464,163674,144672,149568,141495,130458,128094,124329,123969,126996,118977,113934,108528,105684,106287,108495,110352,113484,123969,132459,140802,145488,152727,165795,170610,159618,146925,137118,130506,125034,113559,96849,90198,80100,81579,82884,71475,65028,67227,61476,44094,37179,30375,25986,23721,21066,18039,17835,18165,17916,17100,14493,12147,10128,8733,8478,8547,8967,9918,10863,11346,12012,11322,10266,9954,9594,9642,8643,7968,7308,6672,6282,6063,5574,5481,6003,6705,7212,6672,5868,5679,5112,5016,3795,3216,3267,2634,2370,1953,1878,1671,1461,1494,1218,1269,1173,1209,1170,954,903,840,729,777,771,588,654,606,552,615,510,555,573,441,573,477,576,408,396,327,294,282,195,219,195,123,144,78,51,87,48,48,96,87,69,66,30,45,27,24,21,24,9,0,3,18,3,0,0,3,0,9,3
