,rank,count
0,0,177
1,1,6
2,2,12
3,3,18
4,4,33
5,5,36
6,6,48
7,7,63
8,8,36
9,9,51
10,10,99
11,11,87
12,12,45
13,13,81
14,14,105
15,15,135
16,16,129
17,17,150
18,18,144
19,19,159
20,20,174
21,21,213
22,22,234
23,23,285
24,24,300
25,25,369
26,26,339
27,27,327
28,28,447
29,29,495
30,30,507
31,31,558
32,32,648
33,33,693
34,34,732
35,35,810
36,36,906
37,37,942
38,38,984
39,39,1116
40,40,1296
41,41,1395
42,42,1431
43,43,1560
44,44,1740
45,45,1785
46,46,1890
47,47,2073
48,48,2178
49,49,2271
50,50,2313
51,51,2604
52,52,2610
53,53,2853
54,54,3033
55,55,3219
56,56,3522
57,57,3636
58,58,3855
59,59,4206
60,60,4473
61,61,4695
62,62,5115
63,63,5319
64,64,5676
65,65,6177
66,66,6303
67,67,6687
68,68,6996
69,69,7680
70,70,7977
71,71,8577
72,72,8799
73,73,8907
74,74,9336
75,75,9747
76,76,10185
77,77,10311
78,78,11061
79,79,11292
80,80,11832
81,81,12612
82,82,12777
83,83,13290
84,84,13998
85,85,14394
86,86,15093
87,87,15300
88,88,15867
89,89,16266
90,90,17241
91,91,17574
92,92,18738
93,93,19083
94,94,20166
95,95,20565
96,96,21324
97,97,22413
98,98,23667
99,99,24123
100,100,25053
101,101,26361
102,102,27423
103,103,29019
104,104,29790
105,105,31788
106,106,33375
107,107,34815
108,108,36762
109,109,39756
110,110,40947
111,111,44073
112,112,46293
113,113,49392
114,114,52449
115,115,55752
116,116,58806
117,117,62676
118,118,66498
119,119,72105
120,120,76275
121,121,81045
122,122,86217
123,123,90432
124,124,95424
125,125,100650
126,126,103803
127,127,108195
128,128,110355
129,129,114054
130,130,118671
131,131,119007
132,132,123909
133,133,124581
134,134,127959
135,135,130281
136,136,131358
137,137,133455
138,138,133464
139,139,137745
140,140,136659
141,141,138927
142,142,142872
143,143,143349
144,144,144282
145,145,144816
146,146,146859
147,147,150096
148,148,149031
149,149,149715
150,150,150798
151,151,150492
152,152,152433
153,153,156969
154,154,159504
155,155,160251
156,156,164496
157,157,169377
158,158,172650
159,159,176925
160,160,183648
161,161,187686
162,162,191952
163,163,196872
164,164,203259
165,165,209388
166,166,217539
167,167,225693
168,168,232422
169,169,242916
170,170,248193
171,171,259575
172,172,269820
173,173,277191
174,174,288636
175,175,295851
176,176,304965
177,177,315933
178,178,326847
179,179,338469
180,180,345051
181,181,352773
182,182,361578
183,183,368571
184,184,376506
185,185,381312
186,186,392496
187,187,397131
188,188,400401
189,189,405324
190,190,404922
191,191,408855
192,192,411342
193,193,417054
194,194,420183
195,195,424500
196,196,423651
197,197,429576
198,198,431451
199,199,429675
200,200,426918
201,201,425568
202,202,419856
203,203,417174
204,204,415728
205,205,409530
206,206,409734
207,207,406500
208,208,404529
209,209,403386
210,210,401607
211,211,404037
212,212,405915
213,213,403209
214,214,404265
215,215,409668
216,216,411186
217,217,413064
218,218,419943
219,219,420936
220,220,422541
221,221,423390
222,222,424101
223,223,425028
224,224,425262
225,225,424308
226,226,422694
227,227,420558
228,228,421221
229,229,420156
230,230,416766
231,231,407655
232,232,404364
233,233,397815
234,234,387414
235,235,376494
236,236,368034
237,237,353067
238,238,342510
239,239,328737
240,240,314577
241,241,303261
242,242,289620
243,243,274383
244,244,261813
245,245,250149
246,246,243939
247,247,232272
248,248,218025
249,249,209712
250,250,202290
251,251,194787
252,252,188322
253,253,181080
254,254,175788
255,255,169074
256,256,165132
257,257,161205
258,258,159651
259,259,156966
260,260,154779
261,261,152586
262,262,147084
263,263,142956
264,264,138915
265,265,136974
266,266,133245
267,267,131043
268,268,125535
269,269,119052
270,270,111669
271,271,104418
272,272,97077
273,273,88713
274,274,82080
275,275,75747
276,276,70074
277,277,64842
278,278,59346
279,279,55548
280,280,51816
281,281,48348
282,282,45555
283,283,40836
284,284,37521
285,285,34629
286,286,31869
287,287,29712
288,288,26295
289,289,22932
290,290,20667
291,291,18564
292,292,16641
293,293,14892
294,294,13134
295,295,11217
296,296,9177
297,297,8403
298,298,7425
299,299,5907
300,300,5106
301,301,4344
302,302,3765
303,303,3246
304,304,2691
305,305,2319
306,306,1980
307,307,1701
308,308,1326
309,309,918
310,310,720
311,311,531
312,312,207
313,313,114
314,314,66
315,315,18
316,316,12
