,rank,count
0,0,165
1,1,6
2,2,6
3,3,12
4,4,12
5,5,15
6,6,24
7,7,27
8,8,24
9,9,33
10,10,48
11,11,48
12,12,48
13,13,57
14,14,69
15,15,69
16,16,72
17,17,78
18,18,102
19,19,108
20,20,108
21,21,111
22,22,147
23,23,159
24,24,159
25,25,183
26,26,225
27,27,231
28,28,234
29,29,267
30,30,312
31,31,330
32,32,351
33,33,387
34,34,438
35,35,462
36,36,477
37,37,543
38,38,621
39,39,672
40,40,699
41,41,783
42,42,849
43,43,912
44,44,978
45,45,1071
46,46,1152
47,47,1242
48,48,1293
49,49,1329
50,50,1368
51,51,1470
52,52,1527
53,53,1629
54,54,1689
55,55,1770
56,56,1839
57,57,1986
58,58,2046
59,59,2169
60,60,2289
61,61,2454
62,62,2520
63,63,2739
64,64,2889
65,65,3096
66,66,3192
67,67,3465
68,68,3633
69,69,3831
70,70,3876
71,71,4137
72,72,4272
73,73,4380
74,74,4356
75,75,4599
76,76,4698
77,77,4761
78,78,4755
79,79,5079
80,80,5232
81,81,5577
82,82,5775
83,83,6087
84,84,6177
85,85,6537
86,86,6684
87,87,6819
88,88,6996
89,89,7326
90,90,7392
91,91,7536
92,92,7704
93,93,8007
94,94,8046
95,95,8262
96,96,8385
97,97,8655
98,98,8835
99,99,9258
100,100,9474
101,101,9783
102,102,10107
103,103,10521
104,104,10611
105,105,10824
106,106,11166
107,107,11628
108,108,11793
109,109,12075
110,110,12207
111,111,12390
112,112,12453
113,113,12912
114,114,13137
115,115,13446
116,116,13863
117,117,14529
118,118,14862
119,119,15384
120,120,15966
121,121,16536
122,122,17148
123,123,17790
124,124,18339
125,125,18897
126,126,19677
127,127,20463
128,128,20796
129,129,21183
130,130,21780
131,131,22290
132,132,22611
133,133,23190
134,134,23958
135,135,24762
136,136,25638
137,137,26718
138,138,27921
139,139,29283
140,140,30693
141,141,32130
142,142,33381
143,143,34464
144,144,35628
145,145,36726
146,146,37782
147,147,38634
148,148,39669
149,149,40584
150,150,41562
151,151,42378
152,152,43416
153,153,44367
154,154,45522
155,155,46797
156,156,48258
157,157,49650
158,158,51321
159,159,52647
160,160,53775
161,161,54849
162,162,56304
163,163,57456
164,164,58860
165,165,59955
166,166,60969
167,167,61524
168,168,62337
169,169,63240
170,170,64344
171,171,65403
172,172,66738
173,173,68304
174,174,69624
175,175,70341
176,176,71148
177,177,72366
178,178,73521
179,179,73932
180,180,74844
181,181,76254
182,182,77529
183,183,78543
184,184,80133
185,185,81213
186,186,81957
187,187,82440
188,188,83820
189,189,85365
190,190,86757
191,191,87657
192,192,88974
193,193,90651
194,194,92478
195,195,94131
196,196,96138
197,197,97305
198,198,98109
199,199,98859
200,200,99906
201,201,100041
202,202,100317
203,203,101433
204,204,103275
205,205,105426
206,206,107961
207,207,110439
208,208,112464
209,209,114228
210,210,115551
211,211,116880
212,212,118539
213,213,120279
214,214,121080
215,215,121599
216,216,121866
217,217,122688
218,218,124218
219,219,126618
220,220,128964
221,221,131232
222,222,133398
223,223,134988
224,224,136194
225,225,137091
226,226,137316
227,227,137385
228,228,137388
229,229,137391
230,230,137328
231,231,138012
232,232,139509
233,233,141012
234,234,141978
235,235,142173
236,236,141759
237,237,141546
238,238,141696
239,239,141492
240,240,141072
241,241,140538
242,242,139812
243,243,138411
244,244,137013
245,245,135408
246,246,134313
247,247,133095
248,248,131274
249,249,128715
250,250,126510
251,251,124230
252,252,121914
253,253,119685
254,254,117696
255,255,115218
256,256,112464
257,257,109338
258,258,105972
259,259,102228
260,260,98511
261,261,94578
262,262,90639
263,263,86757
264,264,83250
265,265,79737
266,266,76170
267,267,72390
268,268,68682
269,269,64938
270,270,61185
271,271,57522
272,272,54225
273,273,50922
274,274,47658
275,275,44589
276,276,42057
277,277,39612
278,278,37560
279,279,35892
280,280,34467
281,281,33234
282,282,32349
283,283,31794
284,284,31476
285,285,31518
286,286,31578
287,287,31323
288,288,30978
289,289,30681
290,290,30231
291,291,29721
292,292,29385
293,293,28902
294,294,28200
295,295,27294
296,296,26232
297,297,24870
298,298,23316
299,299,21711
300,300,19881
301,301,17868
302,302,15927
303,303,14175
304,304,12474
305,305,10857
306,306,9324
307,307,7926
308,308,6612
309,309,5496
310,310,4611
311,311,3894
312,312,3321
313,313,2841
314,314,2571
315,315,2328
316,316,2100
317,317,1905
318,318,1710
319,319,1515
320,320,1323
321,321,1152
322,322,1026
323,323,924
324,324,891
325,325,834
326,326,744
327,327,660
328,328,591
329,329,522
330,330,420
331,331,324
332,332,264
333,333,231
334,334,183
335,335,120
336,336,57
337,337,30
338,338,27
339,339,30
340,340,30
341,341,21
342,342,12
343,343,6
344,344,6
345,345,6
346,346,6
347,347,6
348,348,6
