node,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
0,192,2688,17856,70056,175224,285852,301560,315780,1913112,315780,301560,285852,175224,70056,17856,2688,192
1,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
2,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
3,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
4,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
5,192,2688,17856,70056,175224,285852,301560,315780,1913112,315780,301560,285852,175224,70056,17856,2688,192
6,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
7,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
8,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
9,0,0,0,0,0,0,768,196062,669222,196062,768,0,0,0,0,0,0
