,rank effect,count
0,-23,122399
1,-22,8675
2,-21,20478
3,-20,49
4,-19,70035
5,-18,192
6,-17,94756
7,-16,224042
8,-15,1356525
9,-14,314551
10,-13,1424029
11,-12,327991
12,-11,1337950
13,-10,428267
14,-9,2159772
15,-8,315751
16,-7,2150541
17,-6,200761
18,-5,2845894
19,-4,292977
20,-3,2100406
21,-2,1483516
22,-1,45082062
23,0,2772377
24,1,71396277
25,2,2271221
26,3,2486879
27,4,355435
28,5,3117431
29,6,216284
30,7,1940963
31,8,247217
32,9,1232361
33,10,114435
34,11,157977
35,12,132378
36,13,669524
37,14,74666
38,15,42376
39,16,579
40,17,48609
41,18,48
42,19,35327
43,20,1
44,21,10240
