,rank effect,count
0,-19,69
1,-18,2230
2,-17,23033
3,-16,100753
4,-15,361963
5,-14,882014
6,-13,1711301
7,-12,2443276
8,-11,2800913
9,-10,2993826
10,-9,4089514
11,-8,4980169
12,-7,6035890
13,-6,6278506
14,-5,7880417
15,-4,8452721
16,-3,12104567
17,-2,23735114
18,-1,154057363
19,0,50409650
20,1,223285553
21,2,30944612
22,3,13003351
23,4,9692648
24,5,8082745
25,6,5029594
26,7,3522981
27,8,2349615
28,9,1734775
29,10,1049895
30,11,830151
31,12,385280
32,13,216560
33,14,74246
34,15,15014
35,16,1507
36,17,40
