,rank,count
0,0,24
1,1,396
2,2,3078
3,3,14976
4,4,51129
5,5,130226
6,6,257198
7,7,406371
8,8,533667
9,9,621566
10,10,714790
11,11,887579
12,12,1177710
13,13,1564771
14,14,1899628
15,15,2241855
16,16,2378362
17,17,2514389
18,18,2586580
19,19,2895068
20,20,3063600
21,21,3392308
22,22,3630620
23,23,3709999
24,24,3646216
25,25,3435457
26,26,3147868
27,27,2903243
28,28,2739641
29,29,2610737
30,30,2526685
31,31,2374789
32,32,2123705
33,33,1780342
34,34,1378249
35,35,989488
36,36,638640
37,37,349747
38,38,150270
39,39,50324
40,40,12344
41,41,2130
42,42,224
43,43,11
