,rank,count
0,0,33
1,1,430
2,2,2515
3,3,8881
4,4,21755
5,5,41131
6,6,67865
7,7,108123
8,8,178402
9,9,281910
10,10,405834
11,11,534074
12,12,668335
13,13,853117
14,14,1125782
15,15,1450873
16,16,1749412
17,17,1970957
18,18,2101310
19,19,2138378
20,20,2122673
21,21,2085475
22,22,2045557
23,23,2008454
24,24,1999152
25,25,2019032
26,26,2028712
27,27,1960551
28,28,1813227
29,29,1593516
30,30,1293036
31,31,929369
32,32,576672
33,33,306235
34,34,137669
35,35,51616
36,36,15547
37,37,3835
38,38,652
39,39,63
