,rank,count
0,0,47
1,1,640
2,2,3956
3,3,14333
4,4,34015
5,5,57440
6,6,79344
7,7,106649
8,8,161474
9,9,243683
10,10,350327
11,11,507626
12,12,761066
13,13,1134244
14,14,1606684
15,15,2139585
16,16,2645043
17,17,3058810
18,18,3583368
19,19,4362018
20,20,5293785
21,21,6112842
22,22,6653409
23,23,6840197
24,24,6575640
25,25,6016809
26,26,5449904
27,27,5083226
28,28,4924181
29,29,4862507
30,30,4787539
31,31,4588147
32,32,4150347
33,33,3384149
34,34,2358674
35,35,1316916
36,36,553265
37,37,163149
38,38,31391
39,39,3422
40,40,149
