,rank,count
0,0,24
1,1,396
2,2,3078
3,3,14976
4,4,51129
5,5,130208
6,6,257156
7,7,406359
8,8,533478
9,9,620468
10,10,709420
11,11,875265
12,12,1153086
13,13,1497789
14,14,1824279
15,15,2081604
16,16,2275103
17,17,2423831
18,18,2528696
19,19,2599349
20,20,2682964
21,21,2825901
22,22,3010512
23,23,3164426
24,24,3238419
25,25,3244622
26,26,3203193
27,27,3082698
28,28,2835020
29,29,2487876
30,30,2160682
31,31,1961782
32,32,1883936
33,33,1820882
34,34,1680795
35,35,1466292
36,36,1243534
37,37,1055304
38,38,883639
39,39,690598
40,40,473548
41,41,271141
42,42,124566
43,43,44160
44,44,11519
45,45,2062
46,46,224
47,47,11
