,rank,count
0,0,33
1,1,430
2,2,2515
3,3,8881
4,4,21725
5,5,41034
6,6,67262
7,7,106807
8,8,171455
9,9,267033
10,10,379246
11,11,480087
12,12,562080
13,13,654167
14,14,788319
15,15,969249
16,16,1184109
17,17,1411719
18,18,1613403
19,19,1740849
20,20,1768962
21,21,1717200
22,22,1637612
23,23,1583219
24,24,1577181
25,25,1599879
26,26,1609240
27,27,1584105
28,28,1540149
29,29,1502714
30,30,1483568
31,31,1468855
32,32,1417639
33,33,1300777
34,34,1137493
35,35,970912
36,36,815199
37,37,648269
38,38,456506
39,39,263316
40,40,112528
41,41,30578
42,42,3856
