,rank,count
0,0,47
1,1,640
2,2,3956
3,3,14333
4,4,33957
5,5,57353
6,6,78549
7,7,105822
8,8,154706
9,9,224925
10,10,306976
11,11,411275
12,12,560934
13,13,760969
14,14,1009246
15,15,1318249
16,16,1675801
17,17,2004193
18,18,2225163
19,19,2367128
20,20,2542886
21,21,2823440
22,22,3198837
23,23,3629486
24,24,4075167
25,25,4503517
26,26,4877989
27,27,5131267
28,28,5182261
29,29,4983465
30,30,4568259
31,31,4078256
32,32,3699453
33,33,3520731
34,34,3489160
35,35,3524415
36,36,3597214
37,37,3671945
38,38,3656954
39,39,3452915
40,40,3022499
41,41,2395228
42,42,1648382
43,43,920741
44,44,379304
45,45,99707
46,46,12300
