node,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
0,18,144,594,1344,2088,2016,1512,576,396,28704,396,576,1512,2016,2088,1344,594,144,18
1,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,512,4096,512,0,0,0,0,0,0,0,0
