Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-20,0,0,3,0
A,-19,0,0,3,0
A,-18,0,0,0,0
A,-17,0,0,3,0
A,-16,0,0,9,0
A,-15,0,0,6,0
A,-14,0,0,0,0
A,-13,0,0,24,6
A,-12,0,0,6,15
A,-11,0,0,3,0
A,-10,0,0,9,18
A,-9,0,0,9,9
A,-8,0,0,36,15
A,-7,0,0,21,15
A,-6,0,0,15,18
A,-5,0,0,12,45
A,-4,0,0,9,18
A,-3,0,0,6,12
A,-2,0,0,6,9
A,-1,0,0,45,27
A,0,36,36,0,36
A,1,0,0,45,27
A,2,3,3,3,6
A,3,3,3,3,9
A,4,0,6,9,12
A,5,0,12,12,33
A,6,6,12,9,6
A,7,12,6,9,9
A,8,9,0,27,15
A,9,6,0,3,9
A,10,3,3,6,15
A,11,0,0,3,0
A,12,0,9,6,6
A,13,0,0,24,6
A,14,0,0,0,0
A,15,6,0,0,0
A,16,6,0,3,0
A,17,0,0,3,0
A,18,0,0,0,0
A,19,0,0,3,0
A,20,0,0,3,0
B,-20,0,0,0,0
B,-19,0,0,3,0
B,-18,0,0,6,0
B,-17,0,0,0,0
B,-16,0,0,6,0
B,-15,0,0,3,0
B,-14,0,0,15,3
B,-13,0,0,3,3
B,-12,0,0,3,9
B,-11,0,0,15,3
B,-10,0,0,30,15
B,-9,0,0,0,3
B,-8,0,0,0,30
B,-7,0,0,24,15
B,-6,0,0,15,3
B,-5,0,0,6,21
B,-4,0,0,24,18
B,-3,0,0,6,18
B,-2,0,0,21,24
B,-1,0,0,48,51
B,0,24,24,6,30
B,1,0,0,48,51
B,2,0,0,21,24
B,3,6,9,0,9
B,4,3,12,21,6
B,5,3,15,3,6
B,6,9,0,6,3
B,7,15,6,9,9
B,8,0,9,0,21
B,9,0,0,0,3
B,10,6,0,24,15
B,11,9,3,6,0
B,12,0,9,3,0
B,13,0,3,3,0
B,14,0,0,15,3
B,15,3,0,0,0
B,16,6,0,0,0
B,17,0,0,0,0
B,18,6,0,0,0
B,19,0,0,3,0
B,20,0,0,0,0
C,-20,0,0,0,0
C,-19,0,0,6,0
C,-18,0,0,0,0
C,-17,0,0,0,0
C,-16,0,0,9,0
C,-15,0,0,3,0
C,-14,0,0,3,6
C,-13,0,0,15,3
C,-12,0,0,0,6
C,-11,0,0,21,3
C,-10,0,0,21,9
C,-9,0,0,12,6
C,-8,0,0,9,33
C,-7,0,0,3,21
C,-6,0,0,3,6
C,-5,0,0,9,6
C,-4,0,0,3,18
C,-3,0,0,15,12
C,-2,0,0,27,21
C,-1,0,0,72,57
C,0,24,24,0,48
C,1,6,6,66,51
C,2,3,3,24,18
C,3,6,6,9,6
C,4,0,9,3,9
C,5,6,6,3,0
C,6,3,0,0,6
C,7,3,12,0,9
C,8,3,12,6,21
C,9,12,0,0,6
C,10,6,0,15,9
C,11,6,3,15,0
C,12,0,3,0,3
C,13,0,3,15,0
C,14,0,3,3,3
C,15,3,0,0,0
C,16,6,0,3,0
C,17,0,0,0,0
C,18,0,0,0,0
C,19,3,0,3,0
C,20,0,0,0,0
D,-20,0,0,3,0
D,-19,0,0,3,0
D,-18,0,0,0,0
D,-17,0,0,0,0
D,-16,0,0,3,0
D,-15,0,0,6,3
D,-14,0,0,3,3
D,-13,0,0,6,3
D,-12,0,0,3,6
D,-11,0,0,9,3
D,-10,0,0,3,6
D,-9,0,0,15,9
D,-8,0,0,9,3
D,-7,0,0,24,18
D,-6,0,0,24,12
D,-5,0,0,6,18
D,-4,0,0,27,24
D,-3,0,0,12,21
D,-2,0,0,21,27
D,-1,0,0,51,57
D,0,30,30,0,30
D,1,9,9,42,48
D,2,6,6,15,21
D,3,3,3,9,18
D,4,0,3,27,21
D,5,0,3,6,15
D,6,3,3,21,9
D,7,3,3,21,15
D,8,3,0,6,3
D,9,3,6,12,3
D,10,0,6,3,0
D,11,6,3,3,0
D,12,3,6,0,0
D,13,3,3,3,0
D,14,3,3,0,0
D,15,6,3,0,0
D,16,3,0,0,0
D,17,0,0,0,0
D,18,0,0,0,0
D,19,3,0,0,0
D,20,3,0,0,0
E,-20,0,0,0,0
E,-19,0,0,0,0
E,-18,0,0,0,0
E,-17,0,0,0,0
E,-16,0,0,0,0
E,-15,0,0,0,0
E,-14,0,0,0,0
E,-13,0,0,0,0
E,-12,0,0,0,0
E,-11,0,0,51,0
E,-10,0,0,6,0
E,-9,0,0,6,12
E,-8,0,0,6,27
E,-7,0,0,12,24
E,-6,0,0,3,12
E,-5,0,0,3,3
E,-4,0,0,18,9
E,-3,0,0,0,18
E,-2,0,0,6,12
E,-1,0,0,60,57
E,0,54,54,90,84
E,1,6,6,54,51
E,2,0,0,6,12
E,3,0,6,0,12
E,4,6,0,12,9
E,5,0,0,3,3
E,6,0,6,3,6
E,7,0,6,12,18
E,8,6,6,0,21
E,9,6,6,0,6
E,10,6,0,0,0
E,11,6,0,45,0
E,12,0,0,0,0
E,13,0,0,0,0
E,14,0,0,0,0
E,15,0,0,0,0
E,16,0,0,0,0
E,17,0,0,0,0
E,18,0,0,0,0
E,19,0,0,0,0
E,20,0,0,0,0
