Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-76,0,0,0,0,60,0
-73,0,0,0,0,99,0
-70,0,0,0,0,81,0
-69,12,0,0,0,12,0
-68,0,0,0,0,0,15
-67,0,0,0,0,156,33
-66,12,0,0,0,24,18
-65,0,0,0,0,0,36
-64,0,0,0,0,171,24
-63,99,3,0,0,123,24
-62,0,9,0,0,0,42
-61,0,0,0,0,384,54
-60,75,0,0,0,108,45
-59,3,18,0,0,27,84
-58,0,0,0,0,267,57
-57,96,24,0,0,198,48
-56,6,18,0,0,39,117
-55,0,9,0,0,285,81
-54,126,15,0,0,372,72
-53,48,24,0,0,51,81
-52,0,39,0,0,558,135
-51,225,30,0,0,414,162
-50,81,33,0,0,87,141
-49,0,57,0,0,672,186
-48,327,24,0,0,816,210
-47,81,54,0,0,105,228
-46,0,48,0,0,789,270
-45,360,63,0,0,1014,288
-44,207,81,0,0,276,339
-43,6,93,0,0,864,345
-42,333,81,0,0,1218,327
-41,426,132,0,0,483,537
-40,6,132,0,0,558,516
-39,270,159,0,0,1617,528
-38,558,153,0,0,651,582
-37,21,165,0,0,510,576
-36,219,168,0,0,1527,699
-35,1146,210,0,0,1467,762
-34,42,189,0,0,660,837
-33,705,225,0,0,2697,807
-32,1365,318,0,0,1854,939
-31,78,462,0,0,3012,1158
-30,108,498,0,0,2334,1368
-29,1788,486,0,0,2472,1350
-28,432,642,0,0,1011,1743
-27,426,624,0,0,2871,1797
-26,1536,588,0,0,2337,2907
-25,195,771,0,0,1302,3108
-24,87,978,0,0,2778,3198
-23,1695,1134,0,0,3324,3006
-22,498,1356,0,0,1344,3324
-21,81,1053,0,0,2727,3027
-20,1995,891,0,0,3492,2985
-19,954,1041,0,0,2070,3321
-18,96,1020,0,0,1830,2982
-17,1008,1047,0,0,2202,3087
-16,2823,1359,0,0,3711,3219
-15,27,1197,0,0,1893,2973
-14,792,1032,0,0,3600,3042
-13,1980,1014,0,0,3351,2889
-12,75,1071,0,0,1695,3195
-11,852,1077,0,0,5520,3231
-10,4590,1050,0,0,5784,3093
-9,57,1119,0,0,1581,3360
-8,633,1239,0,0,7509,3966
-7,6879,1365,0,0,7881,4074
-6,33,1851,0,0,1188,4998
-5,312,2370,0,0,8478,5916
-4,11178,4065,0,0,11946,8421
-3,138,5619,0,0,1044,11121
-2,177,9441,0,0,9903,17142
-1,39009,23088,0,0,41682,32316
0,0,10071,312,312,7650,30858
1,0,2400,21,21,41661,32295
2,0,762,9,9,9894,17133
3,0,354,18,30,1026,11091
4,0,150,12,39,11934,8382
5,0,168,18,12,8460,5904
6,0,198,24,21,1164,4977
7,0,99,21,36,7860,4038
8,0,57,15,36,7494,3930
9,0,6,21,9,1560,3351
10,0,0,30,24,5754,3069
11,0,0,30,39,5490,3192
12,0,0,21,24,1674,3171
13,0,0,12,18,3339,2871
14,0,0,24,15,3576,3027
15,0,0,33,33,1860,2940
16,0,0,18,21,3693,3198
17,0,0,12,36,2190,3051
18,0,0,36,57,1794,2925
19,0,0,48,69,2022,3252
20,0,0,30,57,3462,2928
21,0,0,33,54,2694,2973
22,0,0,45,42,1299,3282
23,0,0,60,42,3264,2964
24,0,0,39,57,2739,3141
25,0,0,51,27,1251,3081
26,0,0,36,42,2301,2865
27,0,0,57,39,2814,1758
28,0,0,30,30,981,1713
29,0,0,39,18,2433,1332
30,0,0,33,27,2301,1341
31,0,0,51,21,2961,1137
32,0,0,18,21,1836,918
33,0,0,18,15,2679,792
34,0,0,18,24,642,813
35,0,0,42,24,1425,738
36,0,0,9,30,1518,669
37,0,0,9,27,501,549
38,0,0,9,27,642,555
39,0,0,48,27,1569,501
40,0,0,12,9,546,507
41,0,0,12,24,471,513
42,0,0,12,3,1206,324
43,0,0,30,12,834,333
44,0,0,45,6,231,333
45,0,0,0,12,1014,276
46,0,0,0,9,789,261
47,0,0,0,21,105,207
48,0,0,0,24,816,186
49,0,0,0,21,672,165
50,0,0,0,12,87,129
51,0,0,0,6,414,156
52,0,0,0,3,558,132
53,0,0,0,0,51,81
54,0,0,30,0,342,72
55,0,0,42,0,243,81
56,0,0,33,0,6,117
57,0,0,24,0,174,48
58,0,0,15,0,252,57
59,0,0,6,0,21,84
60,0,0,3,0,105,45
61,0,0,0,0,384,54
62,0,0,0,0,0,42
63,0,0,0,0,123,24
64,0,0,0,0,171,24
65,0,0,0,0,0,36
66,0,0,0,0,24,18
67,0,0,0,0,156,33
68,0,0,0,0,0,15
69,0,0,0,0,12,0
70,0,0,0,0,81,0
73,0,0,0,0,99,0
76,0,0,0,0,60,0
