Rank,Count (Max),Count (Avg)
0,93,93
1,6,6
2,6,6
3,12,21
4,12,30
5,15,27
6,24,24
7,24,48
8,18,45
9,24,24
10,36,36
11,33,81
12,30,66
13,39,51
14,51,66
15,51,87
16,51,78
17,57,99
18,75,138
19,87,165
20,81,153
21,87,129
22,117,126
23,138,150
24,117,141
25,117,144
26,123,183
27,123,171
28,102,168
29,114,189
30,126,189
31,129,210
32,138,216
33,165,204
34,162,210
35,165,222
36,132,222
37,147,309
38,174,312
39,225,243
40,180,249
41,171,294
42,183,303
43,216,357
44,177,429
45,174,522
46,192,525
47,213,546
48,183,576
49,207,633
50,222,564
51,252,552
52,258,492
53,300,426
54,327,435
55,303,366
56,288,282
57,300,255
58,351,330
59,366,363
60,387,276
61,390,267
62,402,291
63,408,345
64,447,330
65,450,345
66,411,405
67,387,420
68,378,390
69,396,489
70,399,396
71,354,417
72,318,375
73,294,312
74,309,219
75,273,198
76,255,168
77,255,132
78,279,123
79,240,57
80,216,57
81,207,39
82,213,15
83,234,12
84,270,24
85,288,0
86,318,0
87,342,0
88,327,0
89,291,0
90,279,0
91,285,0
92,258,0
93,198,0
94,177,0
95,150,0
96,105,0
97,63,0
98,30,0
99,18,0
100,21,0
101,18,0
102,15,0
103,6,0
104,6,0
105,3,0
106,6,0
107,6,0
108,6,0
109,6,0
