epoch,accuracy
1,97.432834
2,98.291951
3,98.589802
4,98.741466
5,98.841506
6,98.90151
7,98.942739
8,98.975897
9,99.014801
10,99.035686
11,99.061489
12,99.11412
13,99.163342
14,99.207598
15,99.248016
16,99.282748
17,99.316239
18,99.346387
19,99.37343
20,99.396038
21,99.415827
22,99.438691
23,99.459928
24,99.479222
25,99.493396
26,99.508196
27,99.519819
28,99.53391
29,99.545878
30,99.554855
31,99.566758
32,99.57664
33,99.584687
34,99.592257
35,99.598044
36,99.602669
37,99.60357
38,99.604183
39,99.597961
40,99.589086
41,99.580663
42,99.572754
43,99.565524
44,99.561524
45,99.557841
46,99.554372
47,99.552256
48,99.548948
49,99.545807
50,99.542797
