params,avg loss (3)
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",6.868161678314209
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",4.917850494384766
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",6.868161678314209
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",2.9682769775390625
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",4.918477535247803
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0174245834350586
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.0147559642791748
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.013274908065796
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0156841278076172
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0161662101745605
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.0185545682907104
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0133028030395508
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",4.917922019958496
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",2.967257261276245
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",4.9174418449401855
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0172169208526611
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",4.917691230773926
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",2.968202590942383
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.0121358633041382
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.008609652519226
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0124742984771729
"{'lr': 0.01, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0125678777694702
