epoch,accuracy
1,0
2,0
3,0
4,0
5,0.1832
6,8.3921
7,15.9489
8,22.3025
9,27.9894
10,32.8295
11,36.978
12,40.5161
13,43.517
14,46.1352
15,48.4471
16,50.4698
17,52.2803
18,53.9199
19,55.386
20,56.7272
21,57.9663
22,59.0975
23,60.1394
24,61.1129
25,62.017
26,62.8563
27,63.6393
28,64.3754
29,65.0684
30,65.7201
31,66.3337
32,66.9128
33,67.462
34,67.9853
35,68.4845
36,68.9584
37,69.4087
38,69.8393
39,70.2537
40,70.6521
41,71.0326
42,71.3951
43,71.7437
44,72.0826
45,72.4124
46,72.7291
47,73.0327
48,73.3253
49,73.6122
50,73.893
