Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-12,0,0,0,0
A,-11,0,0,0,0
A,-10,0,0,0,0
A,-9,0,0,0,0
A,-8,0,0,0,0
A,-7,0,0,24,9
A,-6,0,0,0,16
A,-5,0,0,28,16
A,-4,0,0,0,7
A,-3,0,0,36,28
A,-2,0,0,0,12
A,-1,0,0,200,189
A,0,0,0,0,22
A,1,1,1,199,188
A,2,0,0,0,12
A,3,0,0,36,28
A,4,0,0,0,7
A,5,0,0,28,16
A,6,0,1,0,15
A,7,1,0,23,9
A,8,0,0,0,0
A,9,0,0,0,0
A,10,0,0,0,0
A,11,0,0,0,0
A,12,0,0,0,0
B,-12,0,0,4,0
B,-11,0,0,16,14
B,-10,0,0,6,9
B,-9,0,0,8,16
B,-8,0,0,28,21
B,-7,0,0,40,37
B,-6,0,0,46,46
B,-5,0,0,56,47
B,-4,0,0,32,38
B,-3,0,0,40,35
B,-2,0,0,40,57
B,-1,0,0,224,207
B,0,0,0,72,98
B,1,0,0,224,207
B,2,0,0,40,57
B,3,0,0,40,35
B,4,0,0,32,38
B,5,0,0,56,47
B,6,0,1,46,45
B,7,1,0,39,37
B,8,1,1,27,20
B,9,0,0,8,16
B,10,1,1,5,8
B,11,1,1,15,13
B,12,0,0,4,0
C,-12,0,0,8,8
C,-11,0,0,16,16
C,-10,0,0,16,16
C,-9,0,0,24,22
C,-8,0,0,19,11
C,-7,0,0,40,43
C,-6,0,0,30,33
C,-5,0,0,44,47
C,-4,0,0,30,31
C,-3,0,0,28,41
C,-2,0,0,38,44
C,-1,0,0,232,203
C,0,0,0,102,122
C,1,0,0,232,203
C,2,0,0,38,44
C,3,0,0,28,41
C,4,0,0,30,31
C,5,0,0,44,47
C,6,0,1,30,32
C,7,1,1,39,42
C,8,1,0,18,11
C,9,0,0,24,22
C,10,0,0,16,16
C,11,1,1,15,15
C,12,1,1,7,7
D,-12,0,0,0,0
D,-11,0,0,0,0
D,-10,0,0,0,0
D,-9,0,0,0,0
D,-8,0,0,0,5
D,-7,0,0,24,18
D,-6,0,0,0,3
D,-5,0,0,48,43
D,-4,0,0,0,3
D,-3,0,0,24,23
D,-2,0,0,0,3
D,-1,0,0,192,156
D,0,0,0,0,68
D,1,1,1,191,155
D,2,0,0,0,3
D,3,0,0,24,23
D,4,0,0,0,3
D,5,0,0,48,43
D,6,0,1,0,2
D,7,1,0,23,18
D,8,0,0,0,5
D,9,0,0,0,0
D,10,0,0,0,0
D,11,0,0,0,0
D,12,0,0,0,0
