Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-21,0,0,0,0
A,-20,0,0,0,0
A,-19,0,0,2816,2816
A,-18,0,0,0,9
A,-17,0,0,29952,29943
A,-16,0,0,0,36
A,-15,0,0,138240,138204
A,-14,0,0,0,0
A,-13,0,0,365568,365568
A,-12,0,0,0,0
A,-11,0,0,612864,612864
A,-10,0,0,0,0
A,-9,0,0,677376,677376
A,-8,0,0,0,0
A,-7,0,0,494592,479640
A,-6,0,0,0,14952
A,-5,0,0,230400,207612
A,-4,0,0,0,22788
A,-3,0,0,62208,49563
A,-2,0,0,0,12726
A,-1,0,0,3546368,3528647
A,0,0,0,0,17640
A,1,9,9,2366199,2366118
A,2,0,0,0,11889
A,3,0,0,57600,45792
A,4,0,0,0,20412
A,5,0,0,211968,191556
A,6,0,0,0,14112
A,7,0,0,451584,437472
A,8,0,0,0,0
A,9,0,0,612864,612864
A,10,0,0,0,0
A,11,0,0,548352,548352
A,12,0,0,0,0
A,13,0,0,322560,322560
A,14,0,0,0,0
A,15,0,0,119808,119808
A,16,0,0,0,0
A,17,0,0,25344,25344
A,18,0,0,0,0
A,19,0,0,2304,2304
A,20,0,0,0,324
A,21,0,0,589824,589500
A,22,0,9,0,7776
A,23,9,0,589815,582039
B,-21,0,0,65536,61832
B,-20,0,0,0,3704
B,-19,0,0,256,256
B,-18,0,0,0,0
B,-17,0,0,2048,2048
B,-16,0,0,0,0
B,-15,0,0,7168,7168
B,-14,0,0,0,0
B,-13,0,0,14336,14336
B,-12,0,0,0,0
B,-11,0,0,17920,17920
B,-10,0,0,0,0
B,-9,0,0,14336,14336
B,-8,0,0,0,0
B,-7,0,0,7168,7168
B,-6,0,0,0,0
B,-5,0,0,2048,2048
B,-4,0,0,0,0
B,-3,0,0,256,256
B,-2,0,0,0,43024
B,-1,0,0,4653056,4597749
B,0,0,0,0,20361
B,1,9,9,2818039,2787629
B,2,0,0,0,22332
B,3,0,0,256,256
B,4,0,0,0,0
B,5,0,0,2304,2304
B,6,0,0,0,0
B,7,0,0,9216,9216
B,8,0,0,0,0
B,9,0,0,21504,21504
B,10,0,0,0,0
B,11,0,0,32256,32256
B,12,0,0,0,0
B,13,0,0,32256,32256
B,14,0,0,0,0
B,15,0,0,21504,21504
B,16,0,0,0,0
B,17,0,0,9216,9216
B,18,0,0,0,0
B,19,0,0,2304,2304
B,20,0,0,0,3704
B,21,0,0,65792,62088
B,22,0,0,0,1408
B,23,1,1,65535,64127
C,-21,0,0,65536,61832
C,-20,0,0,0,3704
C,-19,0,0,256,256
C,-18,0,0,0,0
C,-17,0,0,2048,2048
C,-16,0,0,0,0
C,-15,0,0,7168,7168
C,-14,0,0,0,0
C,-13,0,0,14336,14336
C,-12,0,0,0,0
C,-11,0,0,17920,17920
C,-10,0,0,0,0
C,-9,0,0,14336,14336
C,-8,0,0,0,0
C,-7,0,0,7168,7168
C,-6,0,0,0,0
C,-5,0,0,2048,2048
C,-4,0,0,0,0
C,-3,0,0,256,256
C,-2,0,0,0,43024
C,-1,0,0,4653056,4597749
C,0,0,0,0,20361
C,1,9,9,2818039,2787629
C,2,0,0,0,22332
C,3,0,0,256,256
C,4,0,0,0,0
C,5,0,0,2304,2304
C,6,0,0,0,0
C,7,0,0,9216,9216
C,8,0,0,0,0
C,9,0,0,21504,21504
C,10,0,0,0,0
C,11,0,0,32256,32256
C,12,0,0,0,0
C,13,0,0,32256,32256
C,14,0,0,0,0
C,15,0,0,21504,21504
C,16,0,0,0,0
C,17,0,0,9216,9216
C,18,0,0,0,0
C,19,0,0,2304,2304
C,20,0,0,0,3704
C,21,0,0,65792,62088
C,22,0,0,0,1408
C,23,1,1,65535,64127
D,-21,0,0,65536,61832
D,-20,0,0,0,3704
D,-19,0,0,256,256
D,-18,0,0,0,0
D,-17,0,0,2048,2048
D,-16,0,0,0,0
D,-15,0,0,7168,7168
D,-14,0,0,0,0
D,-13,0,0,14336,14336
D,-12,0,0,0,0
D,-11,0,0,17920,17920
D,-10,0,0,0,0
D,-9,0,0,14336,14336
D,-8,0,0,0,0
D,-7,0,0,7168,7168
D,-6,0,0,0,0
D,-5,0,0,2048,2048
D,-4,0,0,0,0
D,-3,0,0,256,256
D,-2,0,0,0,43024
D,-1,0,0,4653056,4597749
D,0,0,0,0,20361
D,1,9,9,2818039,2787629
D,2,0,0,0,22332
D,3,0,0,256,256
D,4,0,0,0,0
D,5,0,0,2304,2304
D,6,0,0,0,0
D,7,0,0,9216,9216
D,8,0,0,0,0
D,9,0,0,21504,21504
D,10,0,0,0,0
D,11,0,0,32256,32256
D,12,0,0,0,0
D,13,0,0,32256,32256
D,14,0,0,0,0
D,15,0,0,21504,21504
D,16,0,0,0,0
D,17,0,0,9216,9216
D,18,0,0,0,0
D,19,0,0,2304,2304
D,20,0,0,0,3704
D,21,0,0,65792,62088
D,22,0,0,0,1408
D,23,1,1,65535,64127
E,-21,0,0,65536,61832
E,-20,0,0,0,3704
E,-19,0,0,256,256
E,-18,0,0,0,0
E,-17,0,0,2048,2048
E,-16,0,0,0,0
E,-15,0,0,7168,7168
E,-14,0,0,0,0
E,-13,0,0,14336,14336
E,-12,0,0,0,0
E,-11,0,0,17920,17920
E,-10,0,0,0,0
E,-9,0,0,14336,14336
E,-8,0,0,0,0
E,-7,0,0,7168,7168
E,-6,0,0,0,0
E,-5,0,0,2048,2048
E,-4,0,0,0,0
E,-3,0,0,256,256
E,-2,0,0,0,43024
E,-1,0,0,4653056,4597749
E,0,0,0,0,20361
E,1,9,9,2818039,2787629
E,2,0,0,0,22332
E,3,0,0,256,256
E,4,0,0,0,0
E,5,0,0,2304,2304
E,6,0,0,0,0
E,7,0,0,9216,9216
E,8,0,0,0,0
E,9,0,0,21504,21504
E,10,0,0,0,0
E,11,0,0,32256,32256
E,12,0,0,0,0
E,13,0,0,32256,32256
E,14,0,0,0,0
E,15,0,0,21504,21504
E,16,0,0,0,0
E,17,0,0,9216,9216
E,18,0,0,0,0
E,19,0,0,2304,2304
E,20,0,0,0,3704
E,21,0,0,65792,62088
E,22,0,0,0,1408
E,23,1,1,65535,64127
F,-21,0,0,65536,61832
F,-20,0,0,0,3704
F,-19,0,0,256,256
F,-18,0,0,0,0
F,-17,0,0,2048,2048
F,-16,0,0,0,0
F,-15,0,0,7168,7168
F,-14,0,0,0,0
F,-13,0,0,14336,14336
F,-12,0,0,0,0
F,-11,0,0,17920,17920
F,-10,0,0,0,0
F,-9,0,0,14336,14336
F,-8,0,0,0,0
F,-7,0,0,7168,7168
F,-6,0,0,0,0
F,-5,0,0,2048,2048
F,-4,0,0,0,0
F,-3,0,0,256,256
F,-2,0,0,0,43024
F,-1,0,0,4653056,4597749
F,0,0,0,0,20361
F,1,9,9,2818039,2787629
F,2,0,0,0,22332
F,3,0,0,256,256
F,4,0,0,0,0
F,5,0,0,2304,2304
F,6,0,0,0,0
F,7,0,0,9216,9216
F,8,0,0,0,0
F,9,0,0,21504,21504
F,10,0,0,0,0
F,11,0,0,32256,32256
F,12,0,0,0,0
F,13,0,0,32256,32256
F,14,0,0,0,0
F,15,0,0,21504,21504
F,16,0,0,0,0
F,17,0,0,9216,9216
F,18,0,0,0,0
F,19,0,0,2304,2304
F,20,0,0,0,3704
F,21,0,0,65792,62088
F,22,0,0,0,1408
F,23,1,1,65535,64127
G,-21,0,0,65536,61832
G,-20,0,0,0,3704
G,-19,0,0,256,256
G,-18,0,0,0,0
G,-17,0,0,2048,2048
G,-16,0,0,0,0
G,-15,0,0,7168,7168
G,-14,0,0,0,0
G,-13,0,0,14336,14336
G,-12,0,0,0,0
G,-11,0,0,17920,17920
G,-10,0,0,0,0
G,-9,0,0,14336,14336
G,-8,0,0,0,0
G,-7,0,0,7168,7168
G,-6,0,0,0,0
G,-5,0,0,2048,2048
G,-4,0,0,0,0
G,-3,0,0,256,256
G,-2,0,0,0,43024
G,-1,0,0,4653056,4597749
G,0,0,0,0,20361
G,1,9,9,2818039,2787629
G,2,0,0,0,22332
G,3,0,0,256,256
G,4,0,0,0,0
G,5,0,0,2304,2304
G,6,0,0,0,0
G,7,0,0,9216,9216
G,8,0,0,0,0
G,9,0,0,21504,21504
G,10,0,0,0,0
G,11,0,0,32256,32256
G,12,0,0,0,0
G,13,0,0,32256,32256
G,14,0,0,0,0
G,15,0,0,21504,21504
G,16,0,0,0,0
G,17,0,0,9216,9216
G,18,0,0,0,0
G,19,0,0,2304,2304
G,20,0,0,0,3704
G,21,0,0,65792,62088
G,22,0,0,0,1408
G,23,1,1,65535,64127
H,-21,0,0,65536,61832
H,-20,0,0,0,3704
H,-19,0,0,256,256
H,-18,0,0,0,0
H,-17,0,0,2048,2048
H,-16,0,0,0,0
H,-15,0,0,7168,7168
H,-14,0,0,0,0
H,-13,0,0,14336,14336
H,-12,0,0,0,0
H,-11,0,0,17920,17920
H,-10,0,0,0,0
H,-9,0,0,14336,14336
H,-8,0,0,0,0
H,-7,0,0,7168,7168
H,-6,0,0,0,0
H,-5,0,0,2048,2048
H,-4,0,0,0,0
H,-3,0,0,256,256
H,-2,0,0,0,43024
H,-1,0,0,4653056,4597749
H,0,0,0,0,20361
H,1,9,9,2818039,2787629
H,2,0,0,0,22332
H,3,0,0,256,256
H,4,0,0,0,0
H,5,0,0,2304,2304
H,6,0,0,0,0
H,7,0,0,9216,9216
H,8,0,0,0,0
H,9,0,0,21504,21504
H,10,0,0,0,0
H,11,0,0,32256,32256
H,12,0,0,0,0
H,13,0,0,32256,32256
H,14,0,0,0,0
H,15,0,0,21504,21504
H,16,0,0,0,0
H,17,0,0,9216,9216
H,18,0,0,0,0
H,19,0,0,2304,2304
H,20,0,0,0,3704
H,21,0,0,65792,62088
H,22,0,0,0,1408
H,23,1,1,65535,64127
I,-21,0,0,65536,61832
I,-20,0,0,0,3704
I,-19,0,0,256,256
I,-18,0,0,0,0
I,-17,0,0,2048,2048
I,-16,0,0,0,0
I,-15,0,0,7168,7168
I,-14,0,0,0,0
I,-13,0,0,14336,14336
I,-12,0,0,0,0
I,-11,0,0,17920,17920
I,-10,0,0,0,0
I,-9,0,0,14336,14336
I,-8,0,0,0,0
I,-7,0,0,7168,7168
I,-6,0,0,0,0
I,-5,0,0,2048,2048
I,-4,0,0,0,0
I,-3,0,0,256,256
I,-2,0,0,0,43024
I,-1,0,0,4653056,4597749
I,0,0,0,0,20361
I,1,9,9,2818039,2787629
I,2,0,0,0,22332
I,3,0,0,256,256
I,4,0,0,0,0
I,5,0,0,2304,2304
I,6,0,0,0,0
I,7,0,0,9216,9216
I,8,0,0,0,0
I,9,0,0,21504,21504
I,10,0,0,0,0
I,11,0,0,32256,32256
I,12,0,0,0,0
I,13,0,0,32256,32256
I,14,0,0,0,0
I,15,0,0,21504,21504
I,16,0,0,0,0
I,17,0,0,9216,9216
I,18,0,0,0,0
I,19,0,0,2304,2304
I,20,0,0,0,3704
I,21,0,0,65792,62088
I,22,0,0,0,1408
I,23,1,1,65535,64127
J,-21,0,0,65536,61832
J,-20,0,0,0,3704
J,-19,0,0,256,256
J,-18,0,0,0,0
J,-17,0,0,2048,2048
J,-16,0,0,0,0
J,-15,0,0,7168,7168
J,-14,0,0,0,0
J,-13,0,0,14336,14336
J,-12,0,0,0,0
J,-11,0,0,17920,17920
J,-10,0,0,0,0
J,-9,0,0,14336,14336
J,-8,0,0,0,0
J,-7,0,0,7168,7168
J,-6,0,0,0,0
J,-5,0,0,2048,2048
J,-4,0,0,0,0
J,-3,0,0,256,256
J,-2,0,0,0,43024
J,-1,0,0,4653056,4597749
