Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-10,0,0,8,0
A,-9,0,0,12,0
A,-8,0,0,6,6
A,-7,0,0,10,13
A,-6,0,0,8,19
A,-5,0,0,8,12
A,-4,0,0,8,6
A,-3,0,0,12,12
A,-2,0,0,6,10
A,-1,0,0,102,87
A,0,0,0,72,102
A,1,2,2,100,85
A,2,0,0,6,10
A,3,0,0,12,12
A,4,0,0,8,6
A,5,0,0,8,12
A,6,0,0,8,19
A,7,0,2,10,11
A,8,0,2,6,4
A,9,2,0,10,0
A,10,2,0,6,0
B,-10,0,0,6,0
B,-9,0,0,12,1
B,-8,0,0,10,9
B,-7,0,0,14,12
B,-6,0,0,6,17
B,-5,0,0,4,10
B,-4,0,0,6,8
B,-3,0,0,10,11
B,-2,0,0,20,11
B,-1,0,0,104,84
B,0,0,0,48,106
B,1,2,2,102,82
B,2,0,0,20,11
B,3,0,0,10,11
B,4,0,0,6,8
B,5,0,0,4,10
B,6,0,0,6,17
B,7,0,1,14,11
B,8,1,3,9,6
B,9,2,0,10,1
B,10,1,0,5,0
C,-10,0,0,4,0
C,-9,0,0,12,0
C,-8,0,0,9,13
C,-7,0,0,22,6
C,-6,0,0,10,23
C,-5,0,0,12,14
C,-4,0,0,13,13
C,-3,0,0,18,12
C,-2,0,0,16,30
C,-1,0,0,80,54
C,0,0,0,40,102
C,1,2,2,78,52
C,2,0,0,16,30
C,3,0,0,18,12
C,4,0,0,13,13
C,5,0,0,12,14
C,6,1,1,9,22
C,7,0,1,22,5
C,8,1,2,8,11
C,9,2,0,10,0
C,10,0,0,4,0
