Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-9,0,0,0,0
A,-8,0,0,0,0
A,-7,0,0,0,0
A,-6,0,0,0,0
A,-5,0,0,12,2
A,-4,0,0,0,6
A,-3,0,0,68,48
A,-2,0,0,0,28
A,-1,0,0,448,415
A,0,0,0,0,42
A,1,2,2,254,236
A,2,0,0,0,15
A,3,0,0,34,24
A,4,0,0,0,5
A,5,0,0,22,16
A,6,0,1,0,15
A,7,1,0,23,9
A,8,0,0,0,0
A,9,0,0,0,0
A,10,0,0,0,0
A,11,0,0,0,0
B,-9,0,0,0,0
B,-8,0,0,0,0
B,-7,0,0,20,12
B,-6,0,0,0,6
B,-5,0,0,36,27
B,-4,0,0,0,22
B,-3,0,0,64,37
B,-2,0,0,0,31
B,-1,0,0,448,395
B,0,0,0,0,55
B,1,2,2,318,291
B,2,0,0,0,26
B,3,0,0,48,35
B,4,0,0,0,11
B,5,0,0,56,42
B,6,0,1,0,6
B,7,1,0,39,28
B,8,0,0,0,5
B,9,0,0,8,8
B,10,0,0,0,4
B,11,1,1,15,11
C,-9,0,0,8,8
C,-8,0,0,0,0
C,-7,0,0,16,16
C,-6,0,0,0,0
C,-5,0,0,12,12
C,-4,0,0,0,1
C,-3,0,0,104,75
C,-2,0,0,0,49
C,-1,0,0,432,390
C,0,0,0,0,29
C,1,2,2,302,263
C,2,0,0,0,45
C,3,0,0,56,41
C,4,0,0,0,2
C,5,0,0,44,42
C,6,0,1,0,7
C,7,1,0,39,33
C,8,0,0,0,2
C,9,0,0,24,22
C,10,0,0,0,0
C,11,1,1,15,15
D,-9,0,0,0,0
D,-8,0,0,0,0
D,-7,0,0,0,0
D,-6,0,0,0,1
D,-5,0,0,24,20
D,-4,0,0,0,3
D,-3,0,0,24,23
D,-2,0,0,0,10
D,-1,0,0,442,377
D,0,0,0,0,85
D,1,2,2,276,240
D,2,0,0,0,8
D,3,0,0,24,23
D,4,0,0,0,3
D,5,0,0,48,43
D,6,0,1,0,2
D,7,1,0,23,18
D,8,0,0,0,5
D,9,0,0,0,0
D,10,0,0,0,0
D,11,0,0,0,0
