Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-12,0,0,0,0,12,8
-11,0,0,0,0,32,30
-10,0,0,0,0,22,25
-9,8,8,0,0,32,38
-8,0,0,0,0,47,37
-7,36,28,0,0,128,107
-6,0,7,0,0,76,98
-5,72,56,0,0,176,153
-4,0,29,0,0,62,79
-3,252,173,0,0,128,127
-2,0,106,0,0,78,116
-1,1400,1286,0,0,848,755
0,0,75,0,0,174,310
1,0,0,2,2,846,753
2,0,0,0,0,78,116
3,0,0,0,0,128,127
4,0,0,0,0,62,79
5,0,0,0,0,176,153
6,0,0,0,4,76,94
7,0,0,4,1,124,106
8,0,0,2,1,45,36
9,0,0,0,0,32,38
10,0,0,1,1,21,24
11,0,0,2,2,30,28
12,0,0,1,1,11,7
