Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-13,0,96,0,0,0,96
-12,0,11934,0,0,0,11934
-11,162304,107933,0,0,162304,107933
-10,0,65777,0,0,0,65777
-9,279808,195559,0,0,279808,195559
-8,0,90234,0,0,0,90358
-7,428544,355497,0,0,429824,356653
-6,0,81939,0,0,0,82701
-5,818176,659786,0,0,832512,673360
-4,0,131766,0,0,0,131985
-3,787968,629602,0,0,812544,653851
-2,0,498987,0,0,0,560028
-1,10495232,9866294,0,0,14247936,13227815
0,0,276628,0,0,0,882703
1,0,0,117,117,9014667,8465403
2,0,0,0,0,0,389636
3,0,0,0,0,659456,532725
4,0,0,0,0,0,109574
5,0,0,0,0,753152,616989
6,0,0,0,0,0,62329
7,0,0,0,0,517376,451073
8,0,0,0,0,0,112033
9,0,0,0,0,550144,425423
10,0,0,0,12,0,198296
11,0,0,30,18,739810,526629
12,0,0,0,9,0,139874
13,0,0,18,9,360430,252111
14,0,0,0,0,0,36536
15,0,0,0,0,0,579
