Rank,Count (Max),Count (Avg)
0,12,12
1,177,177
2,1209,1209
3,5073,5073
4,14628,14628
5,30736,30736
6,48773,48785
7,60091,60103
8,59666,59753
9,52022,52037
10,47893,48193
11,55053,55804
12,72696,74617
13,93572,96938
14,110547,118274
15,121062,133795
16,125856,133496
17,125165,128095
18,117962,114081
19,104633,89985
20,89092,82142
21,77504,73242
22,74049,73945
23,77077,77139
24,80014,79262
25,77336,76962
26,69199,69855
27,58941,61606
28,47704,47933
29,34540,32506
30,20591,16231
31,9394,7059
32,3068,1941
33,660,432
34,81,34
35,4,0
