+ cd gnn
+ graphs=("star_graph_n6" "star_graph_n7" "graph_powerlaw_cluster_graph_n6" "graph_random_regular_graph_n6_d3")
+ joined_graphs_args='star_graph_n6 star_graph_n7 graph_powerlaw_cluster_graph_n6 graph_random_regular_graph_n6_d3'
+ epochs=50
+ batch_size=256
+ hidden_size=32
+ python lstm_scratch.py --program maximal_matching --epochs 50 --batch-size 256 --hidden-size 32 --num-layers 2 --graph-names star_graph_n6 star_graph_n7 graph_powerlaw_cluster_graph_n6 graph_random_regular_graph_n6_d3
Timestamp: 1750811080.22278 | Program: maximal_matching | Training with Graphs: star_graph_n6, star_graph_n7, graph_powerlaw_cluster_graph_n6, graph_random_regular_graph_n6_d3 | Batch size: 256 | Epochs: 50 | Hidden size: 32 | Num layers: 2.


Train dataset size: 517,815, Subset size: 200,000 | Test dataset size: 10,569


Model SimpleLSTM(
  (lstm): GRU(3, 32, num_layers=2, batch_first=True)
  (norm): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
  (h2o): Linear(in_features=32, out_features=1, bias=True)
)
Total parameters: 9,985


Training set | Epoch: 1/50 | MSE Loss: 8.032 | Time taken: 207.4482s
Training set | Epoch: 2/50 | MSE Loss: 6.3624 | Time taken: 207.7318s
Training set | Epoch: 3/50 | MSE Loss: 4.9227 | Time taken: 207.8401s
Training set | Epoch: 4/50 | MSE Loss: 3.2497 | Time taken: 207.7475s
Training set | Epoch: 5/50 | MSE Loss: 2.8376 | Time taken: 207.6313s
Training set | Epoch: 6/50 | MSE Loss: 2.6174 | Time taken: 208.0085s
Training set | Epoch: 7/50 | MSE Loss: 2.9548 | Time taken: 207.8027s
Training set | Epoch: 8/50 | MSE Loss: 2.4717 | Time taken: 207.7685s
Training set | Epoch: 9/50 | MSE Loss: 2.5339 | Time taken: 207.5631s
Training set | Epoch: 10/50 | MSE Loss: 2.8651 | Time taken: 207.7825s
Training set | Epoch: 11/50 | MSE Loss: 3.0625 | Time taken: 207.5622s
Training set | Epoch: 12/50 | MSE Loss: 2.5908 | Time taken: 207.6032s
Training set | Epoch: 13/50 | MSE Loss: 2.4707 | Time taken: 208.3739s
Training set | Epoch: 14/50 | MSE Loss: 2.2558 | Time taken: 208.0092s
Training set | Epoch: 15/50 | MSE Loss: 1.9474 | Time taken: 207.3673s
Training set | Epoch: 16/50 | MSE Loss: 2.0103 | Time taken: 207.5464s
Training set | Epoch: 17/50 | MSE Loss: 2.0848 | Time taken: 207.4749s
Training set | Epoch: 18/50 | MSE Loss: 2.0022 | Time taken: 207.7291s
Training set | Epoch: 19/50 | MSE Loss: 2.0212 | Time taken: 207.5056s
Training set | Epoch: 20/50 | MSE Loss: 2.1243 | Time taken: 207.8738s
Training set | Epoch: 21/50 | MSE Loss: 2.0941 | Time taken: 207.6304s
Training set | Epoch: 22/50 | MSE Loss: 1.9281 | Time taken: 208.1159s
Training set | Epoch: 23/50 | MSE Loss: 1.9342 | Time taken: 207.6909s
Training set | Epoch: 24/50 | MSE Loss: 1.768 | Time taken: 207.9126s
Training set | Epoch: 25/50 | MSE Loss: 1.7028 | Time taken: 207.8047s
Training set | Epoch: 26/50 | MSE Loss: 1.9018 | Time taken: 207.9899s
Training set | Epoch: 27/50 | MSE Loss: 1.9542 | Time taken: 207.8742s
Training set | Epoch: 28/50 | MSE Loss: 1.7245 | Time taken: 207.8679s
Training set | Epoch: 29/50 | MSE Loss: 1.7194 | Time taken: 207.5452s
Training set | Epoch: 30/50 | MSE Loss: 1.659 | Time taken: 207.7947s
Training set | Epoch: 31/50 | MSE Loss: 1.4927 | Time taken: 207.7978s
Training set | Epoch: 32/50 | MSE Loss: 1.4396 | Time taken: 207.6548s
Training set | Epoch: 33/50 | MSE Loss: 1.2484 | Time taken: 207.8365s
Training set | Epoch: 34/50 | MSE Loss: 1.3712 | Time taken: 207.4651s
Training set | Epoch: 35/50 | MSE Loss: 1.4322 | Time taken: 208.2939s
Training set | Epoch: 36/50 | MSE Loss: 1.1661 | Time taken: 208.0211s
Training set | Epoch: 37/50 | MSE Loss: 1.2346 | Time taken: 207.7792s
Training set | Epoch: 38/50 | MSE Loss: 1.4002 | Time taken: 207.9848s
Training set | Epoch: 39/50 | MSE Loss: 1.1598 | Time taken: 207.5547s
Training set | Epoch: 40/50 | MSE Loss: 1.1947 | Time taken: 207.7605s
Training set | Epoch: 41/50 | MSE Loss: 1.0929 | Time taken: 207.8033s
Training set | Epoch: 42/50 | MSE Loss: 1.2239 | Time taken: 207.6726s
Training set | Epoch: 43/50 | MSE Loss: 1.1672 | Time taken: 208.2788s
Training set | Epoch: 44/50 | MSE Loss: 1.1935 | Time taken: 208.1392s
Training set | Epoch: 45/50 | MSE Loss: 1.1482 | Time taken: 207.833s
Training set | Epoch: 46/50 | MSE Loss: 1.0563 | Time taken: 208.032s
Training set | Epoch: 47/50 | MSE Loss: 1.0691 | Time taken: 207.8405s
Training set | Epoch: 48/50 | MSE Loss: 1.2199 | Time taken: 207.9157s
Training set | Epoch: 49/50 | MSE Loss: 1.1274 | Time taken: 207.8545s
Training set | Epoch: 50/50 | MSE Loss: 1.182 | Time taken: 207.7987s


End Training | Total training time taken 10389.9246s


Saving model trained_models/lstm_trained_at_2025_06_24_21_17.pt


Testing model...
Test set | MSE loss: 10.8826 | Total matched: 4,388 out of 10,569 (Accuracy: 41.52%)
