+ cd gnn
+ graphs=("star_graph_n7")
+ joined_graphs_args=star_graph_n7
+ epochs=50
+ batch_size=256
+ hidden_size=32
+ python lstm_scratch.py --program maximal_matching --epochs 50 --batch-size 256 --hidden-size 32 --num-layers 2 --graph-names star_graph_n7
Timestamp: 1750861470.754739 | Program: maximal_matching | Training with Graphs: star_graph_n7 | Batch size: 256 | Epochs: 50 | Hidden size: 32 | Num layers: 2.


Train dataset size: 56,197, Subset size: 200,000 | Test dataset size: 1,147


Model SimpleLSTM(
  (lstm): GRU(3, 32, num_layers=2, batch_first=True)
  (norm): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
  (h2o): Linear(in_features=32, out_features=1, bias=True)
)
Total parameters: 9,985


Training set | Epoch: 1/50 | MSE Loss: 4.7157 | Time taken: 29.7693s
Training set | Epoch: 2/50 | MSE Loss: 1.4875 | Time taken: 29.7877s
Training set | Epoch: 3/50 | MSE Loss: 0.5019 | Time taken: 29.9125s
Training set | Epoch: 4/50 | MSE Loss: 0.2196 | Time taken: 29.9092s
Training set | Epoch: 5/50 | MSE Loss: 0.1307 | Time taken: 30.0175s
Training set | Epoch: 6/50 | MSE Loss: 0.108 | Time taken: 29.9931s
Training set | Epoch: 7/50 | MSE Loss: 0.0917 | Time taken: 30.0336s
Training set | Epoch: 8/50 | MSE Loss: 0.0696 | Time taken: 29.917s
Training set | Epoch: 9/50 | MSE Loss: 0.0644 | Time taken: 29.9638s
Training set | Epoch: 10/50 | MSE Loss: 0.0555 | Time taken: 30.0009s
Training set | Epoch: 11/50 | MSE Loss: 0.0512 | Time taken: 29.866s
Training set | Epoch: 12/50 | MSE Loss: 0.0442 | Time taken: 29.9685s
Training set | Epoch: 13/50 | MSE Loss: 0.0409 | Time taken: 29.8671s
Training set | Epoch: 14/50 | MSE Loss: 0.0408 | Time taken: 29.8442s
Training set | Epoch: 15/50 | MSE Loss: 0.0348 | Time taken: 29.7313s
Training set | Epoch: 16/50 | MSE Loss: 0.034 | Time taken: 29.7293s
Training set | Epoch: 17/50 | MSE Loss: 0.0315 | Time taken: 29.8828s
Training set | Epoch: 18/50 | MSE Loss: 0.0289 | Time taken: 30.0253s
Training set | Epoch: 19/50 | MSE Loss: 0.0275 | Time taken: 30.034s
Training set | Epoch: 20/50 | MSE Loss: 0.0276 | Time taken: 29.9521s
Training set | Epoch: 21/50 | MSE Loss: 0.0249 | Time taken: 29.7805s
Training set | Epoch: 22/50 | MSE Loss: 0.0236 | Time taken: 29.8983s
Training set | Epoch: 23/50 | MSE Loss: 0.0219 | Time taken: 30.0545s
Training set | Epoch: 24/50 | MSE Loss: 0.0242 | Time taken: 30.0147s
Training set | Epoch: 25/50 | MSE Loss: 0.0211 | Time taken: 29.7625s
Training set | Epoch: 26/50 | MSE Loss: 0.0194 | Time taken: 29.9193s
Training set | Epoch: 27/50 | MSE Loss: 0.0185 | Time taken: 29.7982s
Training set | Epoch: 28/50 | MSE Loss: 0.0188 | Time taken: 29.9314s
Training set | Epoch: 29/50 | MSE Loss: 0.0175 | Time taken: 29.8676s
Training set | Epoch: 30/50 | MSE Loss: 0.0167 | Time taken: 29.852s
Training set | Epoch: 31/50 | MSE Loss: 0.0178 | Time taken: 29.9343s
Training set | Epoch: 32/50 | MSE Loss: 0.0163 | Time taken: 29.922s
Training set | Epoch: 33/50 | MSE Loss: 0.0158 | Time taken: 29.9732s
Training set | Epoch: 34/50 | MSE Loss: 0.0182 | Time taken: 29.9987s
Training set | Epoch: 35/50 | MSE Loss: 0.0144 | Time taken: 30.0202s
Training set | Epoch: 36/50 | MSE Loss: 0.015 | Time taken: 29.959s
Training set | Epoch: 37/50 | MSE Loss: 0.0147 | Time taken: 29.951s
Training set | Epoch: 38/50 | MSE Loss: 0.0149 | Time taken: 29.9087s
Training set | Epoch: 39/50 | MSE Loss: 0.0142 | Time taken: 29.8746s
Training set | Epoch: 40/50 | MSE Loss: 0.0141 | Time taken: 29.6814s
Training set | Epoch: 41/50 | MSE Loss: 0.4397 | Time taken: 29.9099s
Training set | Epoch: 42/50 | MSE Loss: 0.0574 | Time taken: 29.9214s
Training set | Epoch: 43/50 | MSE Loss: 0.0371 | Time taken: 29.944s
Training set | Epoch: 44/50 | MSE Loss: 0.0296 | Time taken: 29.9292s
Training set | Epoch: 45/50 | MSE Loss: 0.0251 | Time taken: 30.0477s
Training set | Epoch: 46/50 | MSE Loss: 0.0232 | Time taken: 29.8217s
Training set | Epoch: 47/50 | MSE Loss: 0.0209 | Time taken: 29.9129s
Training set | Epoch: 48/50 | MSE Loss: 0.0201 | Time taken: 29.8738s
Training set | Epoch: 49/50 | MSE Loss: 0.0189 | Time taken: 29.9284s
Training set | Epoch: 50/50 | MSE Loss: 0.0181 | Time taken: 29.9142s


End Training | Total training time taken 1495.5137s


Saving model trained_models/lstm_trained_at_2025_06_25_08_49.pt


Testing model...
Test set | MSE loss: 0.0102 | Total matched: 1,144 out of 1,147 (Accuracy: 99.74%)
