+ cd gnn
+ graphs=("graph_random_regular_graph_n4_d2" "graph_random_regular_graph_n5_d4" "graph_random_regular_graph_n6_d3")
+ joined_graphs_args='graph_random_regular_graph_n4_d2 graph_random_regular_graph_n5_d4 graph_random_regular_graph_n6_d3'
+ epochs=50
+ batch_size=256
+ hidden_size=32
+ python lstm_scratch.py --program maximal_matching --epochs 50 --batch-size 256 --hidden-size 32 --num-layers 2 --graph-names graph_random_regular_graph_n4_d2 graph_random_regular_graph_n5_d4 graph_random_regular_graph_n6_d3
Timestamp: 1750988306.835411 | Program: maximal_matching | Training with Graphs: graph_random_regular_graph_n4_d2, graph_random_regular_graph_n5_d4, graph_random_regular_graph_n6_d3 | Batch size: 256 | Epochs: 50 | Hidden size: 32 | Num layers: 2.


Train dataset size: 356,171, Subset size: 200,000 | Test dataset size: 7,269


Model SimpleLSTM(
  (lstm): GRU(3, 32, num_layers=2, batch_first=True)
  (norm): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
  (h2o): Linear(in_features=32, out_features=1, bias=True)
)
Total parameters: 9,985


Training set | Epoch: 1/50 | MSE Loss: 10.6599 | Time taken: 64.6611s
Training set | Epoch: 2/50 | MSE Loss: 2.3128 | Time taken: 64.5303s
Training set | Epoch: 3/50 | MSE Loss: 1.3359 | Time taken: 64.4966s
Training set | Epoch: 4/50 | MSE Loss: 0.9481 | Time taken: 64.6204s
Training set | Epoch: 5/50 | MSE Loss: 0.7222 | Time taken: 64.5782s
Training set | Epoch: 6/50 | MSE Loss: 0.6984 | Time taken: 64.6197s
Training set | Epoch: 7/50 | MSE Loss: 0.5396 | Time taken: 64.5516s
Training set | Epoch: 8/50 | MSE Loss: 1.9806 | Time taken: 64.6503s
Training set | Epoch: 9/50 | MSE Loss: 0.9607 | Time taken: 64.5195s
Training set | Epoch: 10/50 | MSE Loss: 0.7184 | Time taken: 64.4686s
Training set | Epoch: 11/50 | MSE Loss: 0.5663 | Time taken: 64.4757s
Training set | Epoch: 12/50 | MSE Loss: 0.4847 | Time taken: 64.6904s
Training set | Epoch: 13/50 | MSE Loss: 0.5788 | Time taken: 64.7318s
Training set | Epoch: 14/50 | MSE Loss: 0.3762 | Time taken: 64.7985s
Training set | Epoch: 15/50 | MSE Loss: 0.4614 | Time taken: 64.4961s
Training set | Epoch: 16/50 | MSE Loss: 0.431 | Time taken: 64.6061s
Training set | Epoch: 17/50 | MSE Loss: 0.3307 | Time taken: 64.596s
Training set | Epoch: 18/50 | MSE Loss: 0.4145 | Time taken: 64.5045s
Training set | Epoch: 19/50 | MSE Loss: 0.3059 | Time taken: 64.6203s
Training set | Epoch: 20/50 | MSE Loss: 0.6169 | Time taken: 64.5656s
Training set | Epoch: 21/50 | MSE Loss: 0.28 | Time taken: 64.5699s
Training set | Epoch: 22/50 | MSE Loss: 0.3676 | Time taken: 64.6123s
Training set | Epoch: 23/50 | MSE Loss: 0.2769 | Time taken: 64.7686s
Training set | Epoch: 24/50 | MSE Loss: 0.3069 | Time taken: 64.4847s
Training set | Epoch: 25/50 | MSE Loss: 0.2765 | Time taken: 64.6034s
Training set | Epoch: 26/50 | MSE Loss: 0.2825 | Time taken: 64.5823s
Training set | Epoch: 27/50 | MSE Loss: 0.258 | Time taken: 64.6077s
Training set | Epoch: 28/50 | MSE Loss: 0.4707 | Time taken: 64.6295s
Training set | Epoch: 29/50 | MSE Loss: 0.2295 | Time taken: 64.6779s
Training set | Epoch: 30/50 | MSE Loss: 0.3707 | Time taken: 64.6474s
Training set | Epoch: 31/50 | MSE Loss: 0.2239 | Time taken: 64.5872s
Training set | Epoch: 32/50 | MSE Loss: 0.2677 | Time taken: 64.5493s
Training set | Epoch: 33/50 | MSE Loss: 0.2355 | Time taken: 64.579s
Training set | Epoch: 34/50 | MSE Loss: 0.3035 | Time taken: 64.5885s
Training set | Epoch: 35/50 | MSE Loss: 0.1964 | Time taken: 64.5173s
Training set | Epoch: 36/50 | MSE Loss: 0.4084 | Time taken: 64.7113s
Training set | Epoch: 37/50 | MSE Loss: 0.2492 | Time taken: 64.8395s
Training set | Epoch: 38/50 | MSE Loss: 0.2105 | Time taken: 64.7892s
Training set | Epoch: 39/50 | MSE Loss: 0.2212 | Time taken: 64.6399s
Training set | Epoch: 40/50 | MSE Loss: 0.2419 | Time taken: 64.6787s
Training set | Epoch: 41/50 | MSE Loss: 0.1919 | Time taken: 64.5573s
Training set | Epoch: 42/50 | MSE Loss: 0.3063 | Time taken: 64.8075s
Training set | Epoch: 43/50 | MSE Loss: 0.2067 | Time taken: 64.5078s
Training set | Epoch: 44/50 | MSE Loss: 0.242 | Time taken: 64.5179s
Training set | Epoch: 45/50 | MSE Loss: 0.1806 | Time taken: 64.6479s
Training set | Epoch: 46/50 | MSE Loss: 0.2359 | Time taken: 64.6987s
Training set | Epoch: 47/50 | MSE Loss: 0.2853 | Time taken: 64.7324s
Training set | Epoch: 48/50 | MSE Loss: 0.1818 | Time taken: 64.5839s
Training set | Epoch: 49/50 | MSE Loss: 0.8808 | Time taken: 64.5177s
Training set | Epoch: 50/50 | MSE Loss: 0.3003 | Time taken: 64.626s


End Training | Total training time taken 3230.6519s


Saving model trained_models/lstm_trained_at_2025_06_26_20_32.pt


Testing model...
Test set | MSE loss: 0.3594 | Total matched: 4,834 out of 7,269 (Accuracy: 66.5%)
