State,L,C,A,Ar,M
"(3, 0, 1, 1)",0,1,0,0,0
"(3, 1, 1, 1)",0,1,0,0,0
"(2, 1, 1, 0)",0,1,0,0,0
"(0, 1, 1, 1)",0,1,0,0,0
"(2, 0, 0, 1)",0,1,0,0,0
"(3, 1, 1, 0)",0,1,0,0,0
"(3, 0, 0, 1)",0,1,0,0,0
"(2, 0, 0, 0)",0,1,0,0,0
"(3, 0, 1, 0)",0,1,0,0,0
"(3, 1, 0, 1)",0,1,0,0,0
"(2, 0, 1, 1)",0,1,0,0,0
"(2, 1, 0, 1)",0,1,0,0,0
"(2, 1, 0, 0)",0,1,0,0,0
"(3, 0, 0, 0)",0,1,0,0,0
"(3, 1, 0, 0)",0,1,0,0,0
"(1, 0, 0, 0)",0,1,0,0,0
"(2, 1, 1, 1)",0,1,0,0,0
"(2, 0, 1, 0)",0,1,0,0,0
"(0, 1, 0, 1)",2,2,1.0,1,1
"(1, 1, 0, 0)",2,2,1.0,1,1
"(0, 1, 1, 0)",2,2,1.0,1,1
"(1, 0, 1, 0)",2,2,1.0,1,1
"(1, 0, 0, 1)",2,2,1.0,1,1
"(0, 0, 1, 1)",2,2,1.0,1,1
"(0, 0, 0, 1)",9,5,1.8,2,2
"(0, 0, 1, 0)",9,5,1.8,2,2
"(1, 0, 1, 1)",9,5,1.8,2,2
"(0, 1, 0, 0)",9,5,1.8,2,2
"(1, 1, 1, 0)",9,5,1.8,2,2
"(1, 1, 0, 1)",9,5,1.8,2,2
"(1, 1, 1, 1)",43,16,2.6875,3,3
"(0, 0, 0, 0)",43,16,2.6875,3,3
