Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10
1,6,6,6,4,4,4,4,4,5,6,4
2,21,19,20,16,18,12,16,15,14,19,17
3,36,40,46,37,50,40,50,46,48,47,47
4,122,158,156,181,120,144,165,118,163,162,161
5,159,301,331,320,163,295,293,159,304,313,318
6,388,699,772,731,428,691,726,374,725,743,706
7,874,1530,1510,1524,844,1518,1546,811,1553,1492,1484
8,1355,2414,2507,2448,1554,2481,2440,1367,2542,2615,2506
9,1972,3776,3693,3791,2249,3672,3731,2057,3553,3767,3663
10,2683,5255,4977,5230,3128,5335,5298,2775,5192,5127,5120
11,4230,7786,7761,7696,4982,7981,8086,4164,7867,7728,7865
12,5816,11037,11047,10929,7004,11211,11264,5935,11232,11006,11159
13,7389,13776,13709,13651,8838,14233,14422,7526,13929,13759,13741
14,9046,16637,16584,16510,10966,17331,17293,9210,16576,16641,16836
15,10275,19196,19372,19171,12900,20149,19966,10516,19378,19297,19561
16,12825,22996,22874,22733,15362,23880,23884,12784,23381,23165,23363
17,14696,25738,25835,26003,17482,26690,26682,14960,26064,26322,26204
18,16020,27793,28041,27761,19227,28485,28403,16534,28139,27980,28036
19,17005,28893,28836,28917,20187,29213,29266,17291,29446,29244,29259
20,18012,30011,30148,30146,21308,30232,30301,18567,30527,30578,30486
21,19446,30416,30615,30034,22087,30460,29911,19639,30591,30402,30393
22,20143,29422,29667,29661,22531,29606,29302,20668,29864,29995,29839
23,20251,28050,28068,28024,22276,27669,27559,20641,28208,28669,28165
24,20616,27113,26818,27001,22291,26184,26008,21043,26721,26943,26721
25,20625,25023,24861,25212,21906,24241,24506,20987,24850,25062,25322
26,20314,22321,22459,22410,21157,21655,21864,20555,22216,22296,22256
27,19700,19412,19366,19288,19961,18979,18748,20048,19137,19253,19198
28,18768,17180,17161,16956,19308,16613,16678,19566,16927,16922,16878
29,17834,15018,14980,15014,17765,14402,14717,18804,14716,14880,14888
30,17732,13200,13008,13279,17059,12606,12602,18095,12687,12810,12784
31,16616,10529,10527,10557,15573,10301,10330,16874,10404,10208,10255
32,15494,8342,8426,8599,14176,8253,8508,15708,8421,8340,8342
33,14329,7090,7082,7091,12906,7038,6841,14539,6849,6840,6956
34,13551,6052,5973,5963,11969,5990,5886,13412,5904,5775,5932
35,12722,4808,4892,4975,11295,4782,4933,12633,4833,4683,4770
36,11426,3767,3749,3829,9927,3804,3856,11361,3642,3742,3709
37,10552,2862,2858,2985,8507,2890,2874,9966,2794,2754,2675
38,9532,2435,2426,2427,7618,2364,2424,9395,2349,2257,2299
39,8698,1995,1907,2005,7044,1905,1915,8495,1914,1834,1801
40,8021,1547,1602,1618,6443,1652,1607,7783,1476,1545,1515
41,7116,1199,1157,1177,5354,1093,1155,6866,1167,1091,1051
42,6318,882,899,883,4636,841,871,5960,785,803,823
43,5448,732,750,704,4136,738,746,5312,648,666,686
44,5302,586,601,613,3688,600,592,4741,545,562,504
45,4694,456,470,451,3370,421,405,4198,452,423,418
46,4075,342,336,323,2870,354,313,3640,300,323,314
47,3283,241,257,257,2361,208,235,3117,233,204,211
48,3077,227,203,222,2048,209,199,2745,182,168,211
49,2713,163,175,157,1922,150,141,2467,126,136,120
50,2480,120,137,127,1670,105,116,2191,95,98,96
51,2136,96,80,68,1429,81,81,1910,80,72,79
52,1764,82,58,64,1120,50,53,1608,57,49,58
53,1589,48,52,60,982,42,48,1300,39,41,53
54,1453,46,47,39,862,33,38,1318,42,40,35
55,1307,34,31,38,826,26,25,1076,34,25,27
56,1077,23,21,21,650,16,18,862,15,21,14
57,865,16,12,19,515,12,15,741,9,15,15
58,818,23,17,16,475,5,8,641,14,13,16
59,711,8,4,7,378,11,13,558,13,12,11
60,650,8,4,4,315,5,9,485,7,3,8
61,493,5,4,7,279,3,2,414,2,4,7
62,469,7,3,6,236,0,5,344,6,1,2
63,388,5,1,2,176,3,1,287,2,1,0
64,362,1,4,2,156,2,2,253,1,4,3
65,293,2,3,2,147,0,1,255,2,1,0
66,254,1,2,1,118,0,0,180,1,2,0
67,202,1,0,1,97,0,1,163,0,0,1
68,212,2,2,0,83,0,0,142,1,1,0
69,169,0,0,1,78,0,0,111,1,0,1
70,135,1,0,0,67,0,0,102,0,0,0
71,114,0,0,0,49,1,1,85,0,0,2
72,111,0,0,0,53,0,0,71,0,0,0
73,87,0,0,1,40,0,1,64,0,0,0
74,85,0,0,0,34,0,0,54,0,0,0
75,80,0,0,0,25,0,0,45,0,0,0
76,59,0,0,0,22,0,0,38,0,0,0
77,38,0,0,0,15,0,0,28,0,0,0
78,50,0,0,0,17,0,0,29,0,0,0
79,29,0,0,0,19,0,0,27,0,0,0
80,35,0,0,0,11,0,0,26,0,0,0
81,23,0,0,0,9,0,0,12,0,0,0
82,27,0,0,0,8,0,0,17,0,0,0
83,15,0,0,0,8,0,0,18,0,0,0
84,8,0,0,0,2,0,0,16,0,0,0
85,16,0,0,0,3,0,0,9,0,0,0
86,11,0,0,0,5,0,0,4,0,0,0
87,6,0,0,0,3,0,0,9,0,0,0
88,4,0,0,0,3,0,0,5,0,0,0
89,8,0,0,0,4,0,0,9,0,0,0
90,6,0,0,0,2,0,0,3,0,0,0
91,3,0,0,0,2,0,0,2,0,0,0
92,9,0,0,0,0,0,0,2,0,0,0
93,4,0,0,0,1,0,0,2,0,0,0
94,3,0,0,0,3,0,0,2,0,0,0
95,0,0,0,0,0,0,0,2,0,0,0
96,4,0,0,0,0,0,0,3,0,0,0
97,3,0,0,0,1,0,0,1,0,0,0
98,1,0,0,0,0,0,0,1,0,0,0
99,1,0,0,0,2,0,0,0,0,0,0
100,1,0,0,0,1,0,0,1,0,0,0
101,0,0,0,0,1,0,0,1,0,0,0
103,0,0,0,0,0,0,0,1,0,0,0
104,2,0,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0
109,1,0,0,0,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0,0,0,0,0
112,1,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,1,0,0,0
