Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,171025,108494,108146,108107,132347,160320,103353,102998,103087,103703
2,102305,100686,101073,100999,83436,116306,101623,101872,102076,101165
3,55685,66045,66601,66031,60300,64119,69746,70100,70213,69832
4,46391,67650,67341,67614,60904,55443,72466,72530,71922,72245
5,32164,44973,44995,45056,41758,33271,43092,43287,43188,43315
6,28537,40755,41201,41199,38507,27958,41666,41314,41406,41704
7,18433,22210,22071,22397,23028,15316,20164,20120,20125,20592
8,15824,20133,19757,19855,20104,12111,18601,18492,18480,18560
9,9547,9781,9845,9792,12052,5871,9544,9570,9652,9576
10,7724,8256,8169,8194,9946,4469,8093,7989,8120,7810
11,4354,3958,3984,3830,5733,1996,4136,4192,4188,4110
12,3366,3132,2980,3137,4558,1437,3160,3181,3227,3128
13,1708,1535,1506,1495,2532,553,1683,1690,1672,1645
14,1277,1102,1088,1027,1953,432,1209,1219,1183,1185
15,603,558,521,515,992,193,598,609,595,572
16,498,347,313,355,756,110,409,380,388,402
17,203,168,163,182,405,42,215,188,202,200
18,165,103,101,99,275,27,105,130,144,117
19,92,58,66,54,165,7,61,51,58,52
20,42,28,35,23,115,10,36,42,33,42
21,27,8,23,18,55,4,13,21,18,24
22,19,9,12,8,37,3,12,12,9,10
23,3,4,6,8,14,2,5,7,10,5
24,1,3,1,2,14,0,3,3,1,3
25,4,4,1,1,5,0,4,0,0,2
26,0,0,0,1,3,0,2,3,1,1
27,2,0,0,0,2,0,0,0,1,0
28,0,0,1,0,2,0,0,0,1,0
29,0,0,0,0,2,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0,0
31,1,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,0,0,0,0,0
