Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29
1,1783,1774,1762,1765,1761,1780,1772,1747,1765,1791,1771,1763,1769,1795,1771,1776,1777,1760,1784,1778,1751,1799,1757,1793,1791,1777,1759,1791,1747,1756
2,7957,7991,8023,8019,7933,7981,7909,8047,7967,7925,7988,7981,7992,7922,7908,8003,7997,7955,8025,8003,8014,8000,7968,7963,7925,7994,8012,8014,7977,7961
3,22264,22224,22227,22311,22589,22433,22368,22334,22399,22387,22399,22413,22437,22447,22437,22392,22387,22356,22332,22341,22440,22275,22418,22313,22332,22478,22361,22347,22439,22300
4,44804,44987,44793,45007,44758,44721,44783,44874,44804,44762,44800,44623,44821,44776,44844,44575,45003,44764,44907,44752,44822,44703,44726,44742,44894,44592,44756,44878,44809,44841
5,69126,68753,68976,68622,68733,68892,68772,69016,68864,69082,68786,69011,68741,69193,68897,68922,68660,68889,68684,69059,68680,68816,68683,68891,68687,68881,69102,68647,69037,68805
6,5040,4596,5055,3503,4156,4633,3486,3526,4291,4067,2649,2590,1942,3550,3450,3266,4662,3438,1257,3543,1405,3170,2895,2836,3660,3474,3151,3326,3458,3086
7,53217,43744,47986,45272,41433,47167,43198,41796,43833,39532,56257,56457,63216,46687,48237,50642,43388,41510,72991,41489,70635,49849,54437,56015,44170,46931,51689,48922,46714,55264
8,75914,76997,75309,83764,79003,76274,82217,81732,77752,80088,86272,84614,84818,82973,83738,83528,76945,84448,84465,84134,84548,85707,86921,85337,83752,87414,85155,84491,84137,84765
9,74171,78138,75900,79143,79874,77034,80294,80084,78356,80648,76626,77192,75504,79110,78699,77897,78554,80863,72956,80599,74030,78061,76958,76844,79879,78177,77677,78265,79240,76879
10,58934,62706,61809,60653,62817,61600,61626,62416,63137,63017,57503,57627,56079,60041,59795,59521,62921,61387,53758,61237,53992,59326,57513,57487,60941,59358,58956,59613,60198,57851
11,40127,42166,41604,40023,42091,41723,40517,41150,41761,41766,37113,37419,35682,39684,39297,38907,42149,40359,34193,40591,34786,38381,37416,37281,39903,38790,37907,39227,39252,37517
12,4965,3043,3908,1779,2399,3758,1711,1809,2678,2158,1385,1529,1396,1799,1708,1794,2929,1557,1121,1697,1092,1517,1410,1553,1816,1619,1640,1622,1752,1631
13,15414,12357,13889,10730,11717,13737,10588,10527,12145,10788,12422,12611,13936,11015,11404,11626,12377,9925,14774,10315,14438,11213,11704,12422,10603,10546,11671,11046,11263,12057
14,12010,14296,13112,15636,14929,13036,15956,15683,14578,15957,13878,13558,12306,15333,15093,14613,14236,16486,10893,16567,11199,15346,14668,13601,15833,16077,14749,15400,15232,14198
15,7179,9069,8396,8568,9174,8298,9148,9295,8953,9617,6374,6615,5937,8477,7839,7660,9000,8882,4972,8652,5098,7440,6631,6885,8595,7489,7142,7697,7969,6886
16,3796,4454,4284,3491,4250,4088,3735,3969,4194,4263,2531,2664,2277,3432,3234,3213,4359,3596,1953,3444,2036,2956,2566,2690,3488,2946,2854,3202,3171,2826
17,1956,1820,1917,1210,1633,1816,1331,1402,1738,1450,914,933,844,1198,1183,1174,1803,1268,658,1257,741,1022,957,958,1215,1013,999,1054,1134,967
18,428,142,261,52,126,242,45,48,108,60,27,27,21,41,44,36,125,32,17,28,27,27,26,23,30,31,28,26,42,27
19,480,327,321,133,228,347,173,193,278,209,126,166,152,185,159,182,282,158,131,174,141,151,142,145,166,136,162,149,138,145
20,212,237,251,215,232,246,249,217,248,282,139,139,97,221,184,192,257,269,94,237,98,179,153,173,224,197,168,206,212,173
21,118,110,130,77,130,133,93,99,102,110,31,55,29,97,61,69,127,80,28,85,22,49,40,36,78,66,52,60,61,54
22,55,55,62,24,25,36,24,28,36,34,6,10,3,17,16,9,47,18,6,14,4,9,8,10,12,10,9,13,16,10
23,30,7,21,3,6,18,4,6,11,6,3,3,1,7,2,3,14,0,0,4,1,4,3,2,5,3,1,2,2,1
24,8,3,3,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,8,3,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
