Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
3,2,5,3,2,4,5,6,4,5
4,7,7,5,2,5,2,4,7,5
5,9,18,7,4,9,14,13,18,8
6,21,22,19,20,16,25,19,25,23
7,43,61,46,52,36,47,44,54,51
8,70,74,65,48,63,75,70,91,73
9,135,135,117,97,115,132,106,144,151
10,190,182,170,150,141,184,164,208,186
11,302,322,298,255,246,296,242,365,332
12,458,504,423,364,340,504,380,537,567
13,656,738,605,506,522,659,543,711,732
14,870,953,767,701,701,895,722,1011,940
15,1124,1192,1067,858,893,1121,958,1297,1259
16,1491,1632,1380,1187,1214,1490,1364,1764,1673
17,1922,2116,1666,1458,1499,1981,1748,2217,2225
18,2414,2562,1988,1769,1886,2341,2132,2704,2654
19,2731,3032,2373,2097,2197,2779,2503,3144,3135
20,3197,3490,2792,2380,2620,3278,2832,3593,3626
21,3906,4117,3322,2870,3147,3575,3302,4289,4152
22,4274,4673,3722,3290,3531,4033,3848,4713,4763
23,4538,4995,3961,3467,3899,4468,4241,5044,5117
24,4996,5265,4194,3774,4122,4809,4542,5270,5313
25,5164,5553,4328,3942,4335,4913,4688,5292,5390
26,5258,5666,4610,4216,4769,5023,4861,5464,5509
27,5283,5530,4614,4254,4669,5065,4940,5301,5281
28,5315,5576,4621,4373,4635,4964,5020,5222,5210
29,4980,5180,4513,4455,4792,4767,5001,4899,4907
30,5008,5075,4278,4257,4815,4819,4819,4640,4803
31,4568,4599,4054,4237,4591,4418,4462,4258,4340
32,4208,3996,3881,4110,4342,4085,4324,3909,3817
33,3769,3494,3650,3939,4089,3670,3951,3449,3512
34,3396,3122,3603,3761,3878,3465,3694,3159,3177
35,3114,2879,3197,3507,3481,3147,3447,2822,2746
36,2690,2469,3003,3282,3203,2764,3037,2378,2364
37,2270,1927,2579,2862,2807,2386,2619,2052,1997
38,1934,1653,2392,2755,2618,2159,2474,1745,1830
39,1718,1419,2077,2481,2194,1867,2013,1456,1447
40,1448,1210,2027,2334,2008,1599,1861,1341,1270
41,1203,926,1748,2007,1659,1393,1592,1031,1082
42,979,760,1487,1787,1467,1187,1223,899,888
43,806,586,1399,1663,1352,1019,1095,698,697
44,680,522,1258,1438,1190,864,947,569,575
45,557,391,1086,1218,1012,717,792,449,501
46,484,320,923,1087,845,564,652,395,357
47,348,206,752,919,671,461,536,298,278
48,298,205,681,849,564,386,457,246,230
49,218,144,649,715,525,340,353,216,181
50,201,115,564,626,417,282,310,121,161
51,151,81,494,520,365,209,230,95,112
52,119,65,370,440,266,160,163,104,84
53,99,51,346,407,220,123,131,71,57
54,64,44,270,353,184,95,125,48,53
55,54,37,257,286,168,84,91,51,35
56,56,28,209,265,120,67,63,34,30
57,42,18,168,202,83,40,46,27,19
58,27,18,135,177,93,34,43,10,20
59,32,12,120,134,66,34,41,11,17
60,25,6,116,124,59,26,26,6,13
61,10,2,87,125,34,21,21,3,2
62,14,3,81,88,45,14,19,4,3
63,9,5,50,71,24,9,11,6,5
64,13,1,58,65,27,10,8,2,1
65,9,4,52,55,24,6,6,5,5
66,5,1,31,47,12,8,6,1,1
67,5,1,30,29,20,3,2,3,2
68,4,1,36,29,5,6,6,0,0
69,2,2,17,32,10,4,1,0,0
70,3,0,25,31,10,2,2,0,1
71,1,0,21,11,6,1,3,0,0
72,2,0,4,13,5,1,2,0,0
73,0,1,3,9,5,3,0,0,0
74,1,0,10,10,1,0,1,0,0
75,0,1,11,9,3,2,1,0,0
76,0,0,3,8,1,0,0,0,0
77,0,0,4,12,3,1,0,0,0
78,0,0,9,3,2,0,0,0,0
79,0,0,3,0,0,0,1,0,0
80,0,0,5,1,0,0,0,0,0
81,0,0,2,4,2,0,0,0,0
82,0,0,1,3,0,0,0,0,0
83,0,0,2,4,2,0,0,0,0
84,0,0,2,0,0,0,0,0,0
85,0,0,0,2,0,0,0,0,0
87,0,0,2,2,0,0,0,0,0
88,0,0,1,1,0,0,0,0,0
90,0,0,1,0,0,0,0,0,0
93,0,0,0,1,1,0,0,0,0
94,0,0,0,1,0,0,0,0,0
112,0,0,0,1,0,0,0,0,0
