Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
3,2,1,0,0,1,2,0,1,1,0
4,1,2,0,0,4,2,1,0,1,1
5,0,2,3,3,1,3,5,3,2,1
6,4,8,3,3,5,5,3,3,2,3
7,9,13,8,9,13,10,10,10,8,9
8,10,9,17,19,16,14,23,24,14,14
9,31,29,32,27,22,30,28,22,28,30
10,29,47,49,24,32,49,45,44,35,38
11,58,56,73,73,68,70,58,74,71,64
12,102,96,89,111,110,104,115,109,120,123
13,151,172,168,189,174,163,169,165,170,158
14,239,232,215,214,222,242,264,208,237,222
15,296,312,309,318,305,324,311,334,324,328
16,417,457,472,445,471,475,471,513,480,471
17,668,638,666,644,680,673,709,677,708,732
18,798,850,827,882,916,844,872,920,867,967
19,1083,1083,1127,1105,1177,1075,1079,1170,1157,1116
20,1282,1255,1282,1340,1230,1364,1408,1303,1408,1407
21,1607,1636,1577,1643,1705,1741,1787,1812,1769,1800
22,2050,2044,2000,2068,2040,2122,2108,2219,2146,2225
23,2303,2388,2409,2394,2395,2549,2520,2596,2624,2588
24,2568,2647,2723,2749,2721,2720,2801,2818,2989,2924
25,2954,2910,3023,2936,3018,3130,3236,3206,3342,3307
26,3387,3399,3360,3352,3480,3538,3523,3576,3657,3667
27,3698,3855,3748,3745,3886,3884,3985,4093,3936,4145
28,3952,3984,4005,3922,4059,4129,4219,4110,4217,4351
29,4267,4168,4129,4208,4136,4426,4506,4567,4541,4455
30,4152,4282,4339,4259,4385,4534,4464,4709,4643,4582
31,4400,4552,4585,4589,4420,4569,4804,4567,4714,4896
32,4526,4542,4480,4387,4472,4584,4693,4541,4782,4747
33,4425,4441,4489,4359,4489,4614,4554,4548,4534,4676
34,4307,4338,4488,4347,4437,4361,4551,4526,4344,4544
35,4378,4400,4408,4375,4251,4294,4349,4367,4337,4452
36,4156,4037,4055,4126,3968,4042,4103,3960,4055,3979
37,3852,3825,3917,3831,3936,3897,3894,3788,3951,3824
38,3567,3654,3670,3496,3621,3539,3560,3610,3554,3487
39,3470,3498,3418,3359,3378,3416,3397,3449,3390,3327
40,3244,3225,3229,3239,3156,3188,3123,3137,3067,3072
41,2936,2871,2884,2833,2896,2808,2768,2737,2740,2627
42,2582,2532,2699,2507,2461,2448,2478,2423,2429,2396
43,2352,2305,2365,2307,2316,2253,2201,2097,2177,2203
44,2229,2053,2012,2128,2052,2008,1971,2010,1890,1906
45,1923,1868,1903,1920,1852,1767,1705,1784,1751,1668
46,1689,1637,1614,1646,1510,1513,1489,1447,1473,1437
47,1461,1405,1418,1469,1421,1264,1280,1227,1197,1104
48,1213,1314,1181,1194,1255,1209,1048,1076,1064,1055
49,1125,1098,1073,1130,1060,999,957,963,916,919
50,1013,940,908,999,949,874,855,832,777,733
51,827,789,751,868,753,706,628,654,630,619
52,666,677,659,708,633,575,507,533,540,485
53,609,567,557,564,569,492,428,442,393,422
54,464,481,486,524,455,438,377,429,342,331
55,408,407,376,400,413,369,320,300,286,280
56,351,343,303,381,356,308,249,234,232,222
57,302,298,272,278,277,224,192,182,215,162
58,239,215,206,242,217,174,177,182,155,145
59,198,196,192,204,189,174,129,154,116,116
60,154,167,152,162,182,141,108,100,112,96
61,128,161,107,145,133,112,83,83,73,72
62,126,111,89,107,122,69,68,63,52,59
63,98,83,81,98,93,53,46,50,48,46
64,91,68,65,78,76,68,44,54,37,31
65,60,70,45,61,62,47,30,25,24,24
66,58,51,39,48,59,37,25,29,24,30
67,40,39,35,40,44,23,19,20,22,17
68,40,36,22,26,48,25,17,22,14,18
69,31,30,21,29,24,14,11,18,12,11
70,27,14,16,19,16,20,11,4,15,6
71,29,12,14,23,18,22,7,9,4,11
72,20,17,12,11,14,9,5,7,5,4
73,9,20,12,18,16,5,3,2,0,0
74,8,7,11,10,13,7,4,3,5,4
75,10,6,8,7,8,5,2,10,0,2
76,10,5,2,3,5,5,1,1,1,3
77,4,2,4,6,5,2,2,2,2,1
78,6,2,5,3,8,0,0,3,1,0
79,4,2,5,1,0,3,0,0,0,1
80,5,1,0,2,6,1,3,1,0,1
81,1,1,2,1,5,1,1,3,0,1
82,2,2,1,0,0,1,0,1,0,0
83,3,2,0,1,2,0,1,2,1,0
84,1,2,1,1,0,0,0,1,0,0
85,1,3,0,2,1,1,0,0,0,0
86,0,2,0,2,1,0,1,1,0,0
87,3,0,0,0,0,0,0,1,0,0
88,0,1,0,1,1,0,1,0,0,0
89,0,0,0,1,0,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,0
91,0,0,0,0,1,0,0,0,0,0
95,0,0,0,1,1,0,0,0,0,0
96,0,0,0,0,1,0,0,0,0,0
98,1,0,0,1,0,0,0,0,0,0
