Steps,Node_0,Node_1,Node_2,Node_3,Node_4
1,119298,124580,124611,121988,112446
2,106137,94901,85658,95842,101083
3,73640,66890,70736,71800,78620
4,54709,50009,52573,51455,59798
5,39429,39180,41252,40115,46571
6,28952,31819,34158,31852,35228
7,20331,23457,25072,24018,23264
8,15251,17426,18533,17803,16207
9,11172,13768,13644,13410,10174
10,8340,9828,9555,9240,6118
11,6054,7190,6795,6678,4022
12,4402,5636,5060,4974,2629
13,3327,4067,3569,3295,1507
14,2372,2863,2449,2301,854
15,1717,2203,1857,1669,609
16,1259,1551,1232,1133,343
17,1007,1227,881,748,194
18,689,931,701,550,133
19,515,630,501,376,80
20,394,461,308,223,55
21,252,401,249,171,24
22,191,262,190,115,15
23,145,188,116,82,12
24,101,153,93,55,5
25,69,87,70,37,4
26,56,76,39,22,2
27,45,51,33,8,2
28,38,42,16,16,1
29,32,35,10,5,0
30,18,30,14,5,0
31,19,16,5,5,0
32,8,13,4,2,0
33,8,8,2,3,0
34,9,7,2,1,0
35,4,3,3,1,0
36,4,6,3,0,0
37,2,2,2,0,0
38,2,2,0,1,0
39,0,0,1,0,0
40,2,0,1,0,0
41,0,0,1,0,0
42,0,0,1,0,0
43,0,0,0,1,0
44,0,1,0,0,0
