Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6
1,39014,38870,39027,38981,39011,38847,38934
2,7932,9195,7036,8519,6843,6340,3412
3,21147,19822,21279,22444,20065,22479,31010
4,9174,7071,5457,5733,5206,7007,5108
5,9277,10608,12476,11399,12648,11532,13186
6,4848,3494,3005,2876,2782,3649,2598
7,2811,4744,5649,5092,6283,4794,2958
8,2297,1607,1250,1254,1377,1500,1040
9,870,1976,2383,1914,2741,1850,747
10,1174,698,575,437,611,593,420
11,266,815,936,689,1167,667,244
12,547,291,192,158,246,221,175
13,106,352,380,252,521,256,62
14,250,122,76,65,107,75,51
15,23,149,131,97,197,84,13
16,128,51,32,22,40,33,22
17,13,48,60,34,74,29,4
18,48,29,14,4,18,13,9
19,5,24,23,14,23,15,1
20,33,7,4,3,9,6,4
21,1,14,7,7,17,5,0
22,20,2,2,1,1,4,1
23,0,4,2,2,6,1,0
24,8,2,0,0,2,0,1
25,0,2,2,2,2,0,0
26,6,0,0,1,1,0,0
27,0,3,1,0,0,0,0
28,2,0,0,0,0,0,0
29,0,0,1,0,1,0,0
33,0,0,0,0,1,0,0
