Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16
1,8430,8470,8473,8404,8472,8455,8473,8436,8465,8458,8451,8434,8448,8427,8431,8491,8429
2,37422,37442,37566,37310,37300,37487,37258,37340,37306,37388,37314,37462,37403,37375,37506,37385,37386
3,88897,88727,88530,88922,88970,88861,88932,88822,88967,89053,88975,88709,88848,88695,88680,88837,88830
4,128131,128353,128138,128095,128279,127829,128038,128248,128023,127936,128160,128325,128138,128353,128016,127883,128415
5,8368,9061,7631,6539,6586,6107,5912,5725,6664,6873,5959,5912,5910,6659,5023,4758,4010
6,55259,47180,51090,48096,47532,47320,45961,44428,48375,48466,45592,45772,48228,56123,77184,74449,83179
7,98968,93809,94132,99973,97786,100304,99435,98359,94480,94170,98965,99444,100756,95496,91405,92654,88080
8,51224,58148,57282,56665,58230,57415,58931,60684,58113,58466,58265,58442,56502,53840,44559,45797,42880
9,17932,22061,20814,19984,20687,20374,20900,21675,22539,22174,21708,21175,20045,19409,15041,15432,14508
10,755,851,682,494,499,434,429,485,791,737,604,484,363,547,395,420,469
11,1322,1865,1919,1793,1833,1787,1848,1930,2376,2512,2180,1990,1756,1896,1949,1806,1604
12,2866,3071,2901,2987,3015,2899,3019,2908,2823,2742,2932,3032,2961,2598,1584,1813,1898
13,385,841,756,658,718,659,764,880,884,864,745,735,589,529,208,249,277
14,39,116,83,74,89,56,93,75,170,147,140,76,51,47,18,25,30
15,1,0,0,1,0,1,0,0,4,5,2,0,0,1,1,0,0
16,1,2,2,1,2,4,4,2,14,5,4,4,1,3,0,1,1
17,0,3,1,4,2,6,3,3,5,3,3,4,1,2,0,0,4
18,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
