Iteration,0,1,2,3,4,5,6,7,8,9
1,3,4,4,4,4,3,3,4,4,3
2,2,2,2,2,1,2,1,2,2,1
3,2,2,3,1,2,3,2,3,3,1
4,2,1,2,2,2,1,2,2,2,2
5,1,2,1,2,2,1,1,1,2,2
6,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1
9,3,3,3,3,3,3,2,3,3,3
10,3,2,3,3,1,3,2,2,3,1
11,2,1,1,1,1,2,2,1,2,2
12,2,2,2,2,2,2,2,2,2,2
13,2,3,3,2,3,3,1,2,1,2
14,1,1,1,1,1,1,1,1,1,1
15,2,2,2,2,2,2,2,2,2,2
16,1,1,1,1,1,1,1,1,1,1
17,2,2,2,3,3,2,3,2,3,2
18,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
21,3,1,2,1,1,3,2,3,1,1
22,1,1,2,2,1,2,2,2,2,2
23,1,1,1,1,1,1,1,1,1,1
24,3,3,1,1,2,3,3,1,3,3
25,1,1,1,1,1,1,1,1,1,1
26,3,3,3,3,3,3,2,3,2,3
27,1,2,2,1,2,1,2,2,2,1
28,3,3,2,3,3,1,3,3,3,2
29,2,1,1,2,1,1,1,2,2,1
30,2,2,3,1,2,1,3,3,2,3
31,2,3,1,3,3,2,1,3,3,2
32,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1
35,1,2,2,3,3,1,3,2,3,2
36,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1
39,2,2,4,2,4,1,4,3,2,2
40,1,3,3,3,3,2,3,3,3,1
41,1,1,1,1,1,1,1,1,1,1
42,1,3,2,3,3,2,3,3,3,2
43,2,2,2,2,2,2,1,1,2,2
44,2,2,3,3,3,2,2,3,1,3
45,2,2,2,2,2,2,2,1,1,2
46,2,3,2,3,4,4,4,3,4,4
47,2,2,2,1,2,2,1,2,2,1
48,3,7,4,4,3,5,7,5,3,6
49,2,2,2,2,2,1,2,2,2,2
50,1,2,1,2,1,2,2,2,2,1
51,1,2,2,2,2,2,1,2,1,2
52,3,3,3,2,2,3,3,3,3,3
53,1,1,1,1,1,1,1,1,1,1
54,1,2,2,2,1,2,2,1,1,1
55,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1
58,4,4,3,4,4,3,4,3,3,2
59,1,1,1,1,1,1,1,1,1,1
60,5,2,3,5,4,6,5,7,3,3
61,1,1,1,1,1,1,1,1,1,1
62,1,1,2,2,1,2,2,1,1,2
63,2,1,2,2,2,1,2,1,2,2
64,3,2,3,1,3,2,3,1,3,3
65,2,1,2,2,2,1,2,2,1,2
66,2,1,2,2,2,2,1,1,2,1
67,4,4,3,2,4,4,4,4,3,2
68,1,1,1,1,1,1,1,1,1,1
69,4,4,4,4,2,4,4,3,4,2
70,6,3,5,7,5,6,4,3,8,4
71,3,4,4,1,3,1,4,3,1,4
72,2,2,1,2,2,1,2,2,2,2
73,2,2,2,2,2,2,2,2,1,2
74,2,2,2,2,1,2,2,2,1,2
75,2,1,3,2,1,3,3,2,1,3
76,2,2,2,2,2,2,2,2,2,2
77,2,3,3,1,3,1,1,3,3,3
78,5,5,3,5,5,6,4,3,5,3
79,1,2,1,2,1,2,2,1,2,1
80,1,2,3,3,3,1,1,1,2,3
81,1,1,1,1,1,1,1,1,1,1
82,2,2,1,1,2,2,2,2,1,1
83,1,1,1,1,1,1,1,1,1,1
84,2,2,1,2,2,1,2,2,2,2
85,1,1,1,1,1,1,1,1,1,1
86,1,2,2,1,1,1,1,2,2,2
87,1,1,1,1,1,1,1,1,1,1
88,2,3,3,3,3,1,3,3,1,3
89,5,4,4,3,5,2,5,3,3,4
90,2,2,2,2,2,2,1,2,2,2
91,1,1,1,1,1,1,1,1,1,1
92,2,4,4,3,2,5,4,5,3,4
93,1,2,2,1,2,1,1,1,1,1
94,2,1,1,1,2,2,2,1,2,2
95,1,1,1,1,1,1,1,1,1,1
96,3,3,3,2,3,1,2,3,2,3
97,3,2,4,2,4,3,3,3,3,3
98,3,3,1,3,3,3,1,1,3,3
99,2,2,2,1,2,2,1,2,2,2
100,2,2,2,2,2,1,2,1,1,2
101,3,2,4,3,2,4,3,2,4,4
102,3,2,1,1,3,1,3,3,2,3
103,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1
105,2,2,3,4,3,4,4,1,1,3
106,2,2,1,1,1,1,2,1,2,2
107,2,2,1,1,2,1,1,2,2,2
108,1,3,2,1,2,3,3,2,2,1
109,1,1,1,1,1,1,1,1,1,1
110,1,1,1,2,2,2,1,2,1,2
111,2,2,2,2,2,2,2,2,2,2
112,2,3,3,3,2,3,3,3,3,2
113,1,2,3,1,2,1,3,3,3,3
114,3,3,1,3,3,2,3,3,3,3
115,3,3,4,4,4,3,4,3,2,3
116,4,4,4,4,2,2,5,4,5,5
117,2,2,2,2,1,2,2,2,2,1
118,3,2,1,2,2,1,2,2,1,1
119,2,6,4,5,3,3,2,4,7,5
120,1,1,1,1,1,1,1,1,1,1
121,1,2,3,3,3,3,2,3,3,3
122,3,1,2,2,3,3,1,2,3,3
123,7,7,2,8,5,5,3,5,3,6
124,1,1,1,1,1,1,1,1,1,1
125,3,3,3,2,3,3,2,1,3,1
126,4,2,3,3,4,4,4,4,3,3
127,2,2,2,2,2,2,2,2,2,2
128,1,1,1,1,1,1,1,1,1,1
129,2,3,3,3,2,3,3,3,3,2
130,1,1,1,1,1,1,1,1,1,1
131,4,3,4,3,3,4,3,3,3,4
132,1,1,1,3,3,2,2,3,3,2
133,3,4,4,5,3,5,8,3,5,2
134,3,3,3,3,2,2,2,3,2,3
135,2,2,2,1,2,1,2,1,2,1
136,1,1,1,1,1,1,1,1,1,1
137,2,1,1,2,1,1,1,2,2,2
138,1,1,1,1,1,1,1,1,1,1
139,1,2,2,2,2,1,2,1,2,1
140,1,1,1,1,1,1,1,1,1,1
141,2,2,1,1,2,1,2,2,2,1
142,2,3,3,2,2,3,3,1,3,3
143,2,2,3,3,3,2,3,3,2,3
144,2,2,2,3,3,3,3,2,1,2
145,5,5,5,5,5,2,5,2,5,5
146,1,1,1,1,1,1,1,1,1,1
147,3,4,8,4,5,5,2,5,8,4
148,7,3,4,5,8,5,4,3,5,8
149,2,1,3,2,1,3,2,2,3,3
150,1,2,2,1,2,1,2,2,2,2
151,2,2,2,2,1,2,2,2,1,1
152,1,3,1,1,3,1,3,3,1,3
153,1,1,1,1,1,1,1,1,1,1
154,3,4,4,3,4,4,5,2,5,5
155,2,1,2,1,2,1,2,2,2,2
156,4,3,2,8,5,6,5,4,3,5
157,4,1,3,2,3,3,4,4,2,4
158,1,1,1,1,1,1,1,1,1,1
159,2,1,2,2,1,1,2,2,2,1
160,1,1,1,1,1,1,1,1,1,1
161,3,1,2,2,4,2,1,1,1,4
162,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,1
164,2,2,2,2,2,2,2,2,2,2
165,2,2,2,2,2,2,2,2,2,2
166,4,2,4,4,3,2,3,3,2,2
167,1,3,2,2,3,3,2,3,3,1
168,2,2,1,2,2,2,2,2,1,2
169,2,1,1,2,2,2,2,2,2,2
170,2,1,2,2,1,2,2,2,2,2
171,2,2,1,2,2,2,1,1,2,1
172,1,1,1,1,1,1,1,1,1,1
173,4,4,4,3,3,4,5,5,5,4
174,2,3,1,2,1,3,3,1,1,2
175,1,2,1,2,1,2,2,2,2,2
176,2,2,2,1,2,2,1,2,1,2
177,1,1,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1,1,1
179,5,3,4,4,3,4,3,3,3,4
180,2,2,1,1,2,2,2,1,2,2
181,3,1,3,3,3,2,1,3,1,3
182,3,4,3,5,3,3,4,5,4,4
183,3,3,1,3,3,2,2,1,2,2
184,2,2,2,2,2,2,2,2,1,1
185,1,1,1,1,1,1,1,1,1,1
186,3,3,2,3,3,2,3,3,3,2
187,2,2,2,2,1,2,2,2,2,2
188,1,1,1,1,1,1,1,1,1,1
189,4,2,2,3,3,4,2,4,4,2
190,2,2,2,1,2,1,2,2,2,2
191,2,2,2,2,2,2,2,2,2,2
192,1,1,1,1,1,1,1,1,1,1
193,2,2,2,1,1,1,1,2,1,1
194,5,5,4,2,5,4,4,5,4,5
195,1,1,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1,1,1
197,2,2,2,2,2,2,2,1,1,1
198,3,3,3,2,3,2,2,3,3,3
199,2,3,2,3,3,3,3,3,2,2
200,3,4,3,3,3,2,3,3,4,2
