Iteration,0,1,2,3,4,5,6
1,3,5,2,4,4,5,5
2,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1
4,2,1,1,2,1,2,1
5,5,5,4,5,6,5,5
6,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1
8,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2
10,5,2,6,2,4,2,4
11,1,1,1,1,1,1,1
12,5,3,5,2,5,3,2
13,1,1,1,1,1,1,1
14,2,2,2,2,2,2,2
15,6,8,7,4,5,2,4
16,1,1,1,1,1,1,1
17,5,4,4,8,5,5,4
18,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2
20,2,3,4,2,2,4,4
21,2,2,2,2,2,2,2
22,1,1,1,1,1,1,1
23,2,2,2,2,2,2,2
24,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1
27,4,4,5,2,5,2,3
28,8,5,6,8,4,4,3
29,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2
31,4,5,2,2,2,4,2
32,2,2,3,2,2,2,2
33,1,1,1,1,1,1,1
34,2,2,2,2,2,2,2
35,4,2,5,2,2,5,2
36,2,2,2,2,2,2,2
37,1,1,1,1,1,1,1
38,4,8,5,3,5,5,5
39,4,5,5,4,5,5,2
40,2,2,2,2,2,2,2
41,1,1,1,1,1,1,1
42,1,1,1,2,2,1,2
43,3,4,5,4,4,4,4
44,1,1,1,1,1,1,1
45,2,2,2,2,2,2,2
46,3,2,2,3,2,4,3
47,2,2,2,2,2,2,2
48,2,2,1,2,1,2,2
49,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1
51,2,1,2,2,1,1,1
52,5,8,7,3,5,5,7
53,5,5,3,4,5,5,4
54,2,2,2,2,2,2,2
55,3,3,4,6,5,5,3
56,3,4,5,4,5,4,5
57,2,2,2,2,2,2,2
58,3,2,2,4,5,4,5
59,4,2,4,2,6,5,4
60,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1
63,2,2,2,1,2,1,2
64,1,1,1,1,1,1,1
65,1,2,2,2,1,2,2
66,2,4,3,2,2,3,4
67,1,1,1,1,1,1,1
68,5,4,4,4,4,5,5
69,2,2,2,2,2,2,2
70,2,2,2,2,1,1,2
71,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1
73,2,2,2,2,2,2,2
74,4,7,5,5,5,3,5
75,2,2,2,1,2,1,1
76,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1
78,3,6,2,3,5,5,4
79,2,2,2,2,2,2,2
80,5,3,3,8,4,6,5
81,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1
83,2,2,1,1,2,2,1
84,4,5,5,5,5,4,4
85,2,2,2,2,2,2,2
86,4,5,3,4,4,4,4
87,1,1,1,1,1,1,1
88,3,4,5,4,5,5,4
89,2,2,2,2,2,2,2
90,2,2,2,2,2,2,2
91,4,4,5,4,4,5,5
92,1,1,1,1,1,1,1
93,2,2,2,2,2,2,2
94,1,6,2,4,2,5,2
95,1,1,1,1,1,1,1
96,2,2,2,2,2,2,2
97,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1
99,1,2,2,2,1,2,2
100,2,2,2,2,2,2,2
101,2,2,2,1,1,2,2
102,1,1,1,1,1,1,1
103,2,2,2,2,2,2,2
104,4,2,3,2,3,5,5
105,1,1,1,1,1,1,1
106,2,2,2,2,2,2,2
107,1,2,2,2,2,1,2
108,2,2,2,2,2,2,2
109,1,1,1,1,1,1,1
110,2,2,2,2,2,2,2
111,2,2,2,2,2,2,2
112,2,2,2,2,2,2,2
113,2,2,2,2,2,2,2
114,2,2,2,2,2,2,2
115,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1
117,2,3,4,2,2,4,4
118,2,2,2,2,2,2,2
119,2,2,2,2,2,2,2
120,1,2,1,2,2,2,1
121,2,2,2,2,2,2,2
122,1,1,1,1,1,1,1
123,2,5,5,7,3,4,4
124,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1
127,2,2,2,2,2,2,2
128,1,1,1,1,1,1,1
129,2,5,2,3,4,4,4
130,2,2,2,2,2,2,2
131,5,5,3,2,2,5,2
132,1,2,1,1,1,1,2
133,2,2,2,2,2,2,2
134,2,5,1,5,4,3,3
135,1,1,1,1,1,1,1
136,5,5,2,4,4,3,5
137,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1
140,2,2,2,2,2,2,2
141,2,3,6,4,5,5,5
142,2,2,2,2,2,2,2
143,1,1,1,1,1,1,1
144,2,2,2,2,2,2,2
145,2,2,5,4,3,4,2
146,1,1,1,1,1,1,1
147,5,2,4,4,5,4,4
148,2,2,2,1,1,1,2
149,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1
152,2,2,2,2,2,4,2
153,2,2,1,2,2,2,2
154,1,1,1,1,1,1,1
155,2,2,2,2,2,2,2
156,2,2,2,2,2,2,2
157,1,1,1,1,1,1,1
158,1,1,1,1,1,1,1
159,2,2,1,2,2,1,2
160,2,2,2,2,2,2,2
161,2,2,2,2,2,2,2
162,2,4,4,7,5,5,3
163,1,1,1,1,1,1,1
164,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1
167,5,5,5,3,4,4,4
168,2,2,1,2,2,2,2
169,5,4,5,5,3,5,4
170,1,1,1,1,1,1,1
171,2,2,2,2,2,2,2
172,1,2,1,2,2,2,2
173,4,8,5,5,7,5,4
174,5,5,5,4,4,4,4
175,1,1,1,1,1,1,1
176,2,2,2,2,2,2,2
177,1,1,1,1,1,1,1
178,2,2,2,1,1,2,1
179,1,1,1,1,1,1,1
180,2,2,2,2,2,2,2
181,2,5,5,2,4,5,3
182,1,1,1,1,1,1,1
183,2,2,1,2,2,1,2
184,2,2,2,2,2,2,2
185,2,2,2,2,2,2,2
186,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1
189,5,5,5,4,5,2,2
190,1,1,1,1,1,1,1
191,5,4,5,5,5,4,5
192,2,2,2,2,2,2,2
193,2,2,2,2,2,2,2
194,2,1,1,2,1,2,2
195,3,2,2,5,2,5,2
196,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1
198,2,2,2,2,2,2,2
199,1,2,5,3,1,1,5
200,1,2,1,2,1,2,2
201,2,2,2,2,2,2,2
202,1,1,1,1,1,1,1
203,2,2,2,2,2,2,2
204,2,2,2,2,2,2,2
205,3,4,4,4,2,2,3
206,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1
209,2,1,2,2,2,1,2
210,2,2,2,2,2,2,2
211,2,5,5,2,4,4,5
212,2,1,1,2,2,2,1
213,4,5,2,2,5,5,4
214,1,1,1,1,1,1,1
215,1,1,1,1,1,1,1
216,4,5,5,2,5,4,2
217,1,1,1,1,1,1,1
218,2,2,2,2,2,2,2
219,2,2,2,2,2,2,2
220,3,5,7,5,4,5,5
221,1,2,2,1,2,2,1
222,2,2,2,2,2,2,2
223,2,2,2,2,2,2,2
224,2,2,2,2,2,2,2
225,2,2,2,2,2,2,2
226,2,2,2,2,2,2,2
227,2,2,2,1,2,1,2
228,4,5,3,5,5,5,4
229,1,2,1,2,2,2,2
230,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1
232,2,2,2,2,2,2,2
233,2,2,2,2,2,2,2
234,1,1,1,1,1,1,1
235,1,1,1,1,1,1,1
236,3,5,8,3,4,5,5
237,1,1,1,1,1,1,1
238,1,2,2,1,2,2,2
239,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1
241,5,4,4,4,5,5,2
242,2,2,2,2,2,2,2
243,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1
246,2,2,2,2,2,2,2
247,3,5,5,3,3,4,4
248,2,2,2,2,2,2,2
249,1,2,2,2,1,2,2
250,2,2,2,2,2,2,2
251,1,1,1,1,1,1,1
252,2,2,2,2,2,2,2
253,4,5,2,2,5,2,3
254,1,1,1,1,1,1,1
255,1,1,1,1,1,1,1
256,2,2,2,2,2,2,2
257,1,1,1,1,1,1,1
258,2,2,2,2,2,2,2
259,5,2,5,5,4,5,5
260,1,1,1,1,1,1,1
261,4,2,5,5,4,5,4
262,4,5,5,4,2,4,3
263,2,2,2,2,2,2,2
264,4,5,3,4,2,4,3
265,2,2,2,2,2,2,2
266,2,2,2,2,2,2,2
267,2,2,2,2,2,2,2
268,1,1,1,1,1,1,1
269,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1
272,1,1,1,1,1,1,1
273,2,2,1,1,1,2,2
274,1,1,1,1,1,1,1
275,5,5,5,4,4,4,4
276,1,1,1,1,1,1,1
277,5,5,2,2,5,5,2
278,2,2,2,2,2,2,2
279,2,2,2,2,2,2,2
280,1,1,1,1,1,1,1
281,1,1,1,1,1,1,1
282,6,8,9,4,4,2,7
283,2,2,2,2,2,2,2
284,1,1,1,1,1,1,1
285,2,2,2,2,2,2,2
286,2,2,2,4,5,5,2
287,3,4,2,4,3,2,4
288,1,1,1,1,1,1,1
289,2,2,2,2,2,2,2
290,1,1,1,1,1,1,1
291,3,4,5,3,5,5,4
292,5,4,3,4,3,5,5
293,2,2,2,2,2,2,2
294,2,2,2,2,2,2,2
295,2,2,1,1,1,2,2
296,2,5,2,2,3,2,4
297,1,1,1,1,1,1,1
298,2,2,2,2,2,2,2
299,1,1,1,1,1,1,1
300,2,2,2,2,2,2,2
301,2,2,2,2,2,2,2
302,2,2,2,2,2,2,2
303,1,1,1,1,1,1,1
304,5,4,2,3,5,5,4
305,4,4,2,2,2,2,5
306,2,2,2,2,2,2,2
307,1,1,1,1,1,1,1
308,1,1,1,1,1,1,1
309,5,7,7,4,5,5,4
310,4,2,2,5,2,2,2
311,1,1,1,1,1,1,1
312,5,2,4,2,5,2,4
313,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1
315,2,3,2,5,5,2,2
316,1,1,1,1,1,1,1
317,2,2,1,1,2,2,1
318,1,1,1,1,1,1,1
319,8,4,8,11,3,5,5
320,1,2,2,1,1,1,1
321,1,1,1,1,1,1,1
322,3,5,4,3,4,4,5
323,2,2,2,2,2,2,2
324,1,1,1,1,1,1,1
325,5,2,5,2,2,3,4
326,1,2,2,2,2,1,2
327,2,2,2,2,2,2,2
328,1,1,1,1,1,1,1
329,2,2,2,2,2,2,2
330,2,2,3,2,5,2,2
331,1,1,1,1,1,1,1
332,2,2,2,2,2,2,2
333,2,2,4,2,2,2,2
334,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1
336,2,3,4,2,2,2,2
337,2,3,5,4,5,2,4
338,5,4,5,5,5,5,5
339,1,1,1,1,1,1,1
340,5,5,2,4,5,2,2
341,5,5,5,2,5,3,4
342,1,1,1,1,1,1,1
343,2,2,2,2,2,2,1
344,4,4,2,5,2,4,2
345,2,2,2,2,2,2,2
346,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1
348,2,2,1,2,1,2,2
349,1,1,1,1,1,1,1
350,2,2,2,2,1,2,2
351,1,1,1,1,1,1,1
352,3,3,5,5,7,5,7
353,1,2,1,1,2,2,1
354,2,2,2,2,2,2,2
355,2,2,2,2,2,2,2
356,1,1,1,1,1,1,1
357,2,4,3,4,2,4,2
358,2,2,2,2,2,2,2
359,2,5,2,2,2,4,4
360,2,3,2,3,2,2,5
361,1,2,2,1,1,1,2
362,1,1,1,1,1,1,1
363,2,2,2,4,3,4,2
364,1,1,1,1,1,1,1
365,1,1,1,1,1,1,1
366,5,4,5,3,4,5,7
367,3,2,4,5,6,2,4
368,2,2,2,2,3,5,4
369,1,2,1,1,2,1,2
370,2,2,2,2,2,2,2
371,1,1,1,1,1,1,1
372,2,2,2,1,2,2,2
373,2,2,4,4,5,2,2
374,5,5,4,5,4,5,4
375,2,5,5,4,5,3,4
376,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1
378,2,2,2,2,2,2,2
379,1,1,1,1,1,1,1
380,1,1,1,1,1,1,1
381,2,2,2,2,2,2,2
382,4,2,2,5,4,2,2
383,2,2,2,2,2,2,2
384,2,2,2,2,2,2,2
385,2,2,2,2,2,2,2
386,2,4,2,5,4,5,3
387,4,6,4,5,4,5,4
388,1,1,1,1,1,1,1
389,1,1,1,1,1,1,1
390,5,5,5,4,5,5,5
391,2,2,2,2,2,2,2
392,1,1,1,1,1,1,1
393,2,2,2,2,2,2,2
394,2,2,2,2,2,2,2
395,1,1,1,1,1,1,1
396,3,5,7,5,5,5,4
397,5,3,5,4,5,4,4
398,3,5,2,2,7,2,2
399,1,2,2,2,1,2,2
400,2,2,2,1,2,2,1
401,5,4,5,5,5,4,5
402,1,1,1,1,1,1,1
403,1,1,1,1,1,1,1
404,2,2,2,2,2,2,2
405,2,2,5,2,3,4,2
406,5,4,5,3,4,3,5
407,2,2,2,2,2,2,2
408,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1
410,2,2,2,2,2,2,2
411,2,2,2,2,2,2,2
412,2,1,2,1,1,2,1
413,1,1,1,1,1,1,1
414,2,1,1,2,1,2,2
415,2,2,2,2,2,2,2
416,1,1,1,1,1,1,1
417,5,3,5,3,5,5,4
418,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1
420,7,5,7,4,4,5,4
421,5,2,4,2,2,5,2
422,1,1,1,1,1,1,1
423,2,2,2,2,2,2,2
424,5,7,5,7,5,5,5
425,2,2,2,2,2,2,2
426,3,5,5,5,2,5,4
427,2,5,2,3,5,5,4
428,2,2,2,1,2,2,2
429,2,2,2,2,2,2,2
430,2,2,2,2,2,2,2
431,4,5,4,6,4,8,7
432,2,2,2,2,2,2,2
433,2,1,2,2,2,2,2
434,1,1,1,1,1,1,1
435,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1
438,2,2,2,2,2,2,2
439,4,5,3,5,4,2,2
440,2,2,2,2,2,2,2
441,2,2,2,2,2,2,2
442,1,1,1,1,1,1,1
443,2,2,2,2,2,2,2
444,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1
448,2,2,2,1,1,2,2
449,1,1,1,1,1,1,1
450,2,2,2,2,2,2,2
451,8,4,5,4,4,9,5
452,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1
454,2,2,2,2,2,2,2
455,2,2,2,2,2,2,2
456,2,2,2,2,2,2,2
457,1,1,1,1,1,1,1
458,2,2,2,2,2,2,2
459,2,2,2,2,2,2,2
460,1,1,1,1,1,1,1
461,1,1,1,1,1,1,1
462,2,2,2,2,2,2,2
463,4,4,4,5,8,5,7
464,4,5,4,10,4,5,4
465,2,2,2,2,2,2,2
466,1,2,1,2,2,2,1
467,1,1,1,1,1,1,1
468,2,2,2,2,2,2,2
469,5,5,5,4,5,2,4
470,4,3,5,5,7,3,3
471,5,5,2,3,4,5,4
472,3,5,5,4,4,8,4
473,2,2,5,2,2,5,3
474,2,2,2,4,5,2,3
475,1,1,1,1,1,1,1
476,1,1,1,1,1,1,1
477,2,2,2,2,2,2,2
478,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1
480,2,2,2,4,4,4,4
481,1,1,1,1,1,1,1
482,1,1,1,1,1,1,1
483,2,2,2,2,2,2,2
484,2,2,2,2,2,2,2
485,1,1,1,1,1,1,1
486,2,2,2,2,2,2,2
487,3,3,2,2,5,2,2
488,1,1,1,1,1,1,1
489,1,1,1,1,1,1,1
490,1,1,2,2,2,2,1
491,1,1,1,1,1,1,1
492,4,4,3,5,2,2,4
493,3,2,5,2,5,2,3
494,1,1,1,1,1,1,1
495,3,2,4,4,2,4,4
496,1,1,1,1,1,1,1
497,3,4,5,2,2,2,4
498,1,2,2,2,2,2,1
499,2,1,2,2,1,1,2
500,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1
502,2,1,2,1,1,2,2
503,1,1,1,1,1,1,1
504,1,1,1,1,1,1,1
505,1,1,1,1,1,1,1
506,4,8,3,5,4,5,4
507,2,1,2,2,2,1,2
508,1,1,1,1,1,1,1
509,5,4,4,4,3,5,4
510,1,1,1,1,1,1,1
511,2,2,2,2,2,2,2
512,2,2,2,2,2,2,2
513,5,3,2,7,2,2,4
514,5,8,5,5,7,5,4
515,1,2,2,2,2,2,2
516,2,2,2,2,2,2,2
517,4,2,5,2,4,2,4
518,1,1,1,1,1,1,1
519,4,2,2,2,4,5,4
520,2,2,2,2,2,2,2
521,2,2,2,2,5,5,4
522,1,1,1,1,1,1,1
523,5,2,4,4,5,2,4
524,1,2,2,2,1,2,1
525,1,1,1,1,1,1,1
526,8,7,5,4,5,5,4
527,1,1,1,1,1,1,1
528,1,1,1,1,1,1,1
529,2,6,4,4,5,2,2
530,1,1,1,1,1,1,1
531,5,2,5,4,5,2,5
532,2,2,3,2,2,5,4
533,2,2,2,2,2,2,2
534,4,5,2,4,3,2,4
535,2,2,2,2,2,2,2
536,2,2,2,2,2,2,2
537,2,2,2,2,2,2,2
538,5,4,5,4,4,5,5
539,2,2,2,2,2,2,2
540,1,2,2,2,2,2,1
541,3,3,5,4,5,5,4
542,2,2,1,2,1,2,2
543,1,1,1,1,1,1,1
544,1,1,1,1,1,1,1
545,2,2,3,2,2,4,4
546,5,2,4,6,4,2,2
547,1,1,1,1,1,1,1
548,2,2,2,2,2,2,2
549,1,1,1,1,1,1,1
550,3,5,5,5,5,5,4
551,2,2,2,2,2,2,2
552,2,2,2,2,2,2,2
553,2,2,2,2,2,2,2
554,4,4,2,2,2,5,2
555,1,2,1,2,2,2,2
556,1,1,1,1,1,1,1
557,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1
559,2,2,2,2,2,2,2
560,2,3,5,2,3,5,4
561,2,2,2,2,2,2,2
562,1,1,1,1,1,1,1
563,1,1,1,1,1,1,1
564,4,2,2,4,2,5,2
565,2,1,1,2,2,2,2
566,1,1,1,1,1,1,1
567,3,4,2,2,3,4,2
568,2,2,1,2,2,1,2
569,3,4,3,4,3,2,5
570,5,5,5,3,4,4,4
571,2,1,1,2,2,2,1
572,2,2,2,2,2,2,2
573,1,1,1,1,1,1,1
574,2,3,4,5,4,5,3
575,2,2,2,5,4,4,3
576,2,1,2,2,2,2,2
577,5,2,2,8,4,2,4
578,2,2,2,2,2,2,2
579,1,1,1,1,1,1,1
580,1,1,1,1,1,1,1
581,1,1,1,1,1,1,1
582,2,2,2,2,2,2,2
583,2,2,4,4,2,2,2
584,4,4,5,4,3,3,5
585,1,1,1,1,1,1,1
586,2,2,2,2,2,2,2
587,2,2,2,2,2,2,2
588,2,2,2,2,2,2,2
589,3,5,4,3,3,4,4
590,2,1,2,1,2,2,1
591,2,2,2,2,2,2,2
592,2,2,1,1,1,1,1
593,2,2,2,2,2,2,2
594,1,1,1,1,1,1,1
595,2,2,2,2,2,2,2
596,1,1,1,1,1,1,1
597,2,2,5,5,2,2,2
598,2,2,2,2,2,2,2
599,2,2,2,2,2,2,2
600,1,1,1,1,1,1,1
601,2,2,2,2,2,2,2
602,4,5,3,6,5,3,4
603,1,1,1,1,1,1,1
604,2,2,2,2,2,2,2
605,2,2,2,2,2,2,2
606,2,2,2,2,2,2,2
607,5,5,4,2,5,5,4
608,5,2,3,5,4,4,4
609,1,1,1,1,1,1,1
610,2,5,2,2,2,3,3
611,1,1,1,1,1,1,1
612,2,4,2,2,2,4,2
613,1,1,2,2,1,2,2
614,2,2,2,2,2,2,2
615,5,6,2,5,8,5,4
616,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1
618,1,1,1,1,1,1,1
619,2,2,2,2,2,2,2
620,4,5,4,4,5,5,3
621,1,1,1,1,1,1,1
622,1,1,1,1,1,1,1
623,1,1,1,1,1,1,1
624,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1
626,1,1,1,1,1,1,1
627,2,2,2,2,2,2,2
628,5,5,4,4,5,4,4
629,2,2,2,2,2,2,2
