Iteration,0,1,2,3,4,5,6,7,8,9,10
1,22,20,16,18,16,32,30,32,32,30,38
2,11,21,15,13,19,17,17,21,11,15,19
3,16,16,16,18,28,32,22,26,20,24,20
4,20,26,32,28,18,18,30,32,18,14,26
5,16,32,36,24,22,18,22,38,28,26,26
6,19,23,19,19,21,23,23,21,19,15,17
7,25,23,21,25,29,23,25,27,25,19,19
8,27,13,19,19,17,17,15,29,21,15,23
9,42,14,24,34,24,20,20,12,28,26,24
10,35,9,17,9,7,7,7,21,7,7,9
11,25,23,25,27,23,17,15,27,21,21,23
12,24,14,18,12,16,16,18,26,22,16,20
13,18,14,10,30,12,20,12,10,12,14,14
14,22,32,16,18,12,22,24,36,28,26,20
15,25,23,23,27,21,21,27,29,23,15,25
16,28,20,34,30,60,24,22,42,34,46,20
17,33,29,25,31,25,15,21,11,21,19,43
18,28,22,14,24,24,14,22,14,16,10,12
19,28,22,22,22,34,28,16,16,16,26,22
20,16,22,18,14,22,20,18,26,24,22,20
21,33,27,23,27,53,25,27,43,31,29,33
22,38,26,30,22,24,24,36,48,18,18,16
23,34,18,24,30,18,32,22,24,28,24,20
24,26,20,20,22,28,30,22,24,36,18,30
25,42,30,22,22,34,18,24,14,18,16,16
26,32,20,14,36,14,16,14,28,24,14,14
27,16,10,16,26,22,8,16,16,12,10,16
28,16,28,28,28,34,16,14,30,60,14,26
29,23,19,23,19,19,21,35,43,17,19,17
30,20,24,24,20,22,18,14,20,18,14,18
31,42,22,28,22,18,22,10,20,20,16,22
32,42,22,18,22,16,38,18,32,16,18,26
33,17,19,23,17,61,19,21,21,21,29,27
34,24,16,20,12,14,20,12,12,6,22,22
35,22,20,12,12,32,24,34,12,16,14,12
36,24,28,26,34,48,18,26,34,24,18,24
37,22,14,22,26,24,32,26,20,32,18,16
38,57,41,31,27,29,27,27,41,17,19,35
39,42,18,26,24,28,22,16,32,36,14,18
40,31,27,25,31,25,21,27,39,29,29,31
41,25,27,35,23,23,19,23,27,25,19,17
42,46,22,12,38,16,24,28,40,24,10,26
43,61,33,29,17,39,21,29,19,21,21,29
44,28,24,22,26,18,30,22,20,24,26,36
45,31,21,27,27,25,33,27,29,15,27,25
46,56,22,28,20,30,18,22,26,24,30,18
47,48,10,16,18,24,12,20,14,10,14,20
48,13,29,19,29,19,17,23,23,25,19,13
49,60,22,24,26,24,20,20,26,22,24,20
50,38,14,14,20,34,18,22,46,20,12,26
51,28,38,36,30,44,26,22,24,28,20,22
52,25,27,27,21,29,27,17,21,21,27,27
53,22,28,24,28,32,34,16,22,24,20,22
54,21,17,23,25,57,13,11,25,11,27,13
55,29,23,23,19,31,19,25,43,37,21,21
56,32,28,22,18,26,28,20,28,16,26,24
57,20,14,24,18,40,26,20,20,16,24,18
58,15,35,31,21,21,19,27,19,35,23,19
59,55,25,29,27,29,23,25,27,23,23,31
60,25,13,23,23,23,15,13,21,23,31,19
61,29,27,19,19,29,35,23,45,17,31,27
62,17,19,19,13,25,17,19,21,17,13,25
63,32,28,18,26,34,22,28,28,26,22,18
64,24,44,16,34,26,32,22,32,24,20,24
65,24,30,24,20,24,20,20,22,20,30,20
66,40,32,26,26,40,32,32,34,26,30,28
67,18,18,14,14,22,12,14,40,14,12,10
68,15,29,17,17,17,19,25,21,37,29,21
69,30,22,34,32,38,24,20,32,22,18,26
70,31,23,21,15,15,25,17,25,21,17,19
71,23,33,33,19,19,21,15,29,21,19,21
72,43,17,25,31,11,15,17,33,33,21,15
73,30,24,24,26,20,20,20,22,28,22,22
74,25,19,29,27,23,31,25,37,19,43,21
75,10,12,10,14,18,12,20,14,14,8,12
76,9,7,17,7,7,5,7,7,9,5,7
77,34,28,30,22,22,26,18,24,16,20,24
78,18,16,16,26,24,20,22,30,16,24,14
79,41,27,17,31,17,15,11,17,21,17,21
80,18,18,10,14,16,12,12,20,12,22,14
81,43,39,23,19,51,31,31,25,31,21,23
82,32,30,22,24,22,14,18,16,24,18,22
83,37,29,33,25,41,23,25,37,25,23,29
84,16,18,16,26,24,16,20,30,28,22,16
85,22,12,18,16,40,16,20,46,20,10,16
86,16,12,20,18,42,18,14,26,16,16,18
87,27,17,27,27,27,23,15,37,23,23,25
88,20,22,26,30,38,52,20,28,30,42,22
89,30,16,14,16,28,20,14,28,14,12,26
90,43,15,21,17,37,13,21,19,19,11,15
91,30,26,32,24,36,20,26,22,24,24,50
92,26,26,16,26,28,24,24,16,20,24,20
93,27,21,25,23,43,23,13,41,31,23,21
94,19,19,31,27,17,19,21,23,23,25,27
95,15,15,13,11,9,9,9,19,11,13,7
96,29,19,21,25,27,19,19,29,27,27,25
97,20,16,24,34,16,20,24,38,32,18,20
98,52,16,20,14,30,30,18,22,18,18,14
99,13,17,21,33,13,15,15,23,15,23,19
100,36,20,32,20,48,24,30,24,24,22,18
101,30,24,34,30,26,24,24,34,44,26,32
102,35,23,21,23,19,21,21,25,15,21,17
103,38,24,24,28,26,18,22,28,20,28,24
104,14,24,22,16,34,20,26,18,24,16,18
105,26,28,32,26,24,20,22,22,26,24,24
106,52,34,28,32,32,28,32,34,36,42,22
