Iteration,0,1,2,3,4,5,6,7,8,9
1,53,30,43,30,28,30,38,31,47,38
2,282,24,36,43,22,40,55,28,20,29
3,918,18,23,33,24,30,20,22,24,23
4,97,25,34,40,20,24,23,27,34,28
5,217,30,32,27,29,18,23,25,29,22
6,790,24,46,36,31,34,34,25,37,31
7,155,23,25,25,24,28,17,25,24,27
8,187,17,28,32,21,28,24,29,29,22
9,666,15,22,29,16,22,18,24,21,22
10,578,21,35,18,21,16,21,22,16,19
11,223,20,17,25,50,22,20,21,17,29
12,72,24,18,25,23,15,22,30,31,28
13,60,23,29,30,18,19,19,20,29,20
14,542,32,22,26,31,28,24,32,22,20
15,27,37,30,49,46,26,28,28,25,50
16,965,18,21,17,13,16,32,26,18,14
17,43,23,30,24,24,23,44,23,24,17
18,205,22,17,17,20,25,17,18,17,22
19,84,44,44,28,39,34,40,29,42,34
20,214,19,11,18,18,11,37,16,17,22
21,287,28,23,21,14,24,22,21,25,19
22,116,25,28,32,29,29,28,33,24,29
23,276,15,15,19,11,11,18,26,15,12
24,66,26,29,19,29,26,29,27,36,31
25,227,25,23,25,35,30,23,25,29,24
26,306,31,24,36,33,35,25,31,33,23
27,16,32,35,18,51,19,24,29,38,18
28,148,25,19,18,29,44,21,63,24,21
29,71,35,20,18,18,22,21,19,17,18
30,81,42,29,36,39,31,32,38,48,34
31,64,17,17,17,11,19,17,18,17,37
32,80,16,24,17,26,18,19,29,16,19
33,273,24,19,15,20,28,18,15,26,14
34,34,22,20,21,26,22,19,20,19,14
35,226,17,11,13,8,29,26,18,8,15
36,296,40,30,27,26,35,34,27,27,23
37,439,45,42,37,41,36,39,49,39,48
38,323,22,30,18,21,27,19,26,20,35
39,178,28,24,21,32,25,20,25,21,22
40,154,41,40,44,29,27,38,31,34,36
41,61,32,10,20,11,18,32,29,14,20
42,35,27,23,27,16,22,30,21,20,27
43,80,19,33,17,21,16,20,43,35,27
44,174,29,18,38,22,24,23,23,32,27
45,193,19,24,25,77,21,26,28,21,23
46,228,29,27,31,55,21,24,37,35,33
47,69,16,18,24,19,31,16,14,15,12
48,39,20,28,25,25,18,53,18,43,32
49,285,23,36,24,34,30,28,35,33,28
50,458,21,28,28,28,23,24,42,18,25
51,168,22,32,37,35,28,27,29,20,26
52,226,19,23,18,25,17,11,18,15,70
53,27,19,20,13,13,14,23,21,12,14
54,311,33,29,26,48,39,39,28,33,45
55,292,53,30,25,41,24,38,36,36,45
56,171,21,27,26,24,19,26,28,22,21
57,83,27,43,29,23,35,42,48,40,34
58,412,14,26,11,17,19,11,19,23,15
59,135,24,31,18,30,37,19,16,17,18
60,1421,21,39,28,31,28,28,30,27,24
61,99,18,21,20,17,27,18,30,26,20
62,92,34,27,39,41,45,26,34,37,37
63,204,30,45,72,15,43,24,37,27,45
64,71,23,25,21,20,15,15,13,17,16
65,141,41,34,21,37,20,21,31,13,14
66,309,30,28,23,23,29,28,36,29,31
67,160,28,47,27,27,32,36,29,34,29
68,183,32,22,35,33,41,48,27,32,28
69,304,28,27,21,23,19,17,37,18,27
70,431,15,11,23,12,20,17,17,15,17
71,164,35,26,20,37,31,30,13,31,27
72,199,47,22,40,44,21,50,36,28,20
73,93,42,25,21,27,21,25,29,19,43
74,370,30,22,26,26,29,37,33,33,35
75,28,36,32,24,35,19,25,33,14,28
76,198,28,31,26,29,28,27,29,29,27
77,164,22,24,23,30,25,27,23,32,28
78,324,42,30,52,27,33,24,29,40,24
79,246,36,39,38,70,29,39,41,44,54
80,110,30,39,34,31,54,38,38,34,32
81,577,20,20,15,23,13,20,26,16,15
82,292,25,51,26,32,42,34,27,50,28
83,184,25,35,34,36,29,35,42,25,34
84,305,18,16,24,19,23,13,20,12,21
85,97,30,28,33,42,32,29,31,38,34
86,24,21,45,23,27,18,31,29,16,36
87,55,19,23,18,28,30,26,30,30,25
88,341,25,48,31,27,24,23,31,29,32
89,86,28,33,36,30,42,33,32,37,36
90,284,16,16,18,15,19,43,12,20,17
91,72,29,41,19,22,25,24,18,38,17
92,215,21,17,17,31,18,14,20,27,59
93,38,24,23,21,28,25,33,24,19,29
94,335,22,24,30,28,21,29,27,21,20
95,163,16,27,19,25,26,19,18,16,16
96,730,20,26,20,19,21,27,32,27,25
97,65,18,15,29,19,29,19,20,23,18
98,384,12,20,25,20,38,19,22,13,15
99,131,18,30,22,18,19,32,27,22,22
100,225,25,22,17,25,22,25,13,21,17
101,31,37,19,34,34,23,40,25,43,16
102,377,40,32,50,22,35,30,49,37,29
103,153,13,14,43,18,32,14,26,26,21
104,332,26,24,32,26,35,32,36,41,38
105,689,28,27,30,34,40,25,28,31,30
106,170,27,36,41,25,42,49,37,28,31
107,165,26,23,21,18,23,16,19,18,24
108,292,19,19,23,25,28,22,35,26,27
109,151,23,33,22,35,34,37,61,35,26
110,293,35,24,19,46,28,30,31,27,22
111,295,35,44,42,40,38,36,41,35,36
112,38,42,29,31,18,31,33,35,39,27
113,65,24,38,23,29,34,23,31,29,27
114,262,18,26,12,11,47,20,16,13,13
115,305,27,28,20,32,25,28,22,21,46
116,1193,23,20,26,25,21,28,29,24,27
117,152,14,18,11,16,20,23,20,12,21
118,157,40,29,46,32,37,31,29,34,33
119,56,20,20,23,20,34,29,25,16,32
120,29,22,22,26,20,17,18,19,20,20
121,19,29,34,17,31,21,30,22,44,27
122,237,23,26,41,29,18,22,28,21,21
123,277,37,31,26,25,32,35,23,18,23
124,372,35,35,30,32,45,31,23,38,37
125,58,35,32,18,55,28,27,24,31,41
126,243,33,46,23,19,28,32,34,27,57
127,61,30,27,18,23,29,24,21,23,28
128,105,23,23,19,17,18,16,20,19,24
129,374,41,28,42,32,22,27,23,40,27
130,180,21,21,25,22,29,20,20,19,24
131,200,19,28,28,46,28,37,33,24,42
132,308,21,34,49,25,28,19,21,35,31
133,96,35,42,23,33,23,29,25,27,33
134,222,25,22,38,20,30,20,31,32,27
135,71,44,27,30,38,34,25,25,44,36
136,307,30,29,27,25,33,29,37,40,26
137,906,25,39,24,39,35,40,38,26,28
138,707,30,28,26,29,27,30,21,25,32
139,63,37,18,20,14,23,20,18,21,35
140,152,17,19,22,28,13,16,18,29,21
141,243,20,16,15,27,29,70,16,16,23
142,364,30,27,26,23,31,30,36,33,30
143,37,9,9,16,13,10,12,9,9,12
144,212,12,11,18,12,9,11,17,17,11
145,457,31,26,26,29,26,33,24,24,31
146,667,23,21,19,19,27,21,23,19,19
147,251,28,28,27,18,31,28,20,17,31
148,323,33,31,51,30,35,27,27,36,27
149,91,17,18,22,24,17,18,16,28,15
150,316,22,21,31,33,26,25,25,33,24
151,74,26,26,34,23,25,24,19,29,39
152,660,19,19,34,15,16,19,12,21,20
153,771,27,37,32,29,26,34,40,20,26
154,84,23,21,21,19,29,28,22,60,17
155,73,31,34,20,31,18,32,21,20,30
156,199,34,20,23,17,29,23,46,30,30
157,654,21,23,21,22,28,22,22,17,26
158,164,8,16,16,17,17,21,18,20,15
159,144,26,23,30,27,19,20,27,22,28
