Iteration,0,1,2,3,4,5,6,7,8
1,49,47,95,159,49,45,57,57,39
2,61,65,55,33,37,47,37,49,39
3,60,44,40,96,50,44,98,28,94
4,41,45,59,89,61,53,75,53,51
5,89,57,135,59,89,51,73,47,73
6,117,47,71,57,107,41,41,73,31
7,37,29,37,61,49,33,45,39,47
8,41,39,45,95,115,45,43,67,81
9,36,48,56,48,64,64,92,54,48
10,64,58,94,48,136,68,156,42,50
11,89,63,129,189,69,63,71,69,87
12,69,47,75,101,119,95,65,57,37
13,81,45,43,69,71,57,69,65,69
14,41,45,149,35,65,47,57,43,63
15,94,36,78,52,92,48,62,48,72
16,17,19,75,61,13,37,53,25,43
17,62,62,84,262,78,68,54,60,64
18,32,28,40,34,38,32,56,60,38
19,41,51,43,427,63,85,103,33,37
20,113,49,37,135,113,37,51,39,41
21,56,68,58,114,144,66,72,52,40
22,31,25,59,161,65,109,37,67,23
23,70,46,86,100,58,48,38,54,32
24,28,44,42,38,32,114,66,58,58
25,51,31,83,131,35,67,43,43,31
26,25,53,95,233,137,57,35,27,41
27,65,37,89,99,31,33,51,71,63
28,54,44,48,102,48,52,74,36,28
29,62,40,62,100,96,68,42,60,46
30,45,37,41,123,73,63,47,39,65
31,68,84,56,86,36,60,56,52,60
32,37,45,103,47,19,25,33,45,31
33,50,96,38,108,70,76,48,58,48
34,54,86,60,62,74,64,42,32,56
35,60,20,30,78,36,26,34,12,26
36,62,72,80,50,128,36,100,56,30
37,56,44,118,58,104,74,58,56,72
38,39,41,71,43,79,131,29,35,51
39,57,45,57,41,67,45,79,77,93
40,74,62,110,68,64,60,108,68,38
41,98,40,62,54,58,82,52,46,104
42,54,56,88,142,66,52,64,52,54
43,40,30,104,96,54,106,48,36,46
44,85,57,23,49,61,55,31,25,71
45,77,49,61,53,39,39,63,45,53
46,43,67,67,123,73,59,71,49,65
47,43,31,53,147,49,47,55,31,49
48,61,43,43,61,103,37,45,33,57
49,42,54,42,90,40,108,40,54,56
50,53,47,51,25,107,55,93,55,37
51,55,39,111,83,37,57,35,35,55
52,61,37,73,51,101,47,61,25,27
53,33,47,27,107,77,65,83,53,29
54,75,73,89,145,53,103,43,45,65
55,32,34,76,126,138,128,34,38,38
56,52,42,56,56,70,88,44,42,42
57,44,68,84,40,50,62,120,66,42
58,60,74,152,52,106,76,74,64,48
59,110,76,134,116,56,54,76,110,44
60,52,38,66,68,62,150,48,54,106
61,102,44,52,102,42,58,28,48,50
62,60,46,56,76,122,100,56,40,58
63,49,75,59,137,65,43,71,51,43
64,66,54,96,60,50,76,54,64,36
65,59,43,37,89,41,41,43,35,41
66,38,50,38,104,66,26,100,34,78
67,26,40,48,44,28,42,48,26,48
68,63,29,61,63,113,31,41,75,71
69,54,26,42,162,38,48,26,36,32
70,64,56,46,54,54,50,88,66,126
71,64,38,92,50,46,36,62,38,60
72,69,41,85,85,53,61,47,47,49
73,35,29,61,73,157,29,41,31,57
74,29,35,63,75,67,35,41,29,31
75,41,31,135,23,85,79,115,43,53
76,47,43,77,79,59,57,99,65,53
77,50,32,48,118,94,28,30,48,108
78,90,50,54,304,144,48,34,48,46
79,59,47,121,81,53,45,91,69,67
80,59,77,67,99,69,53,91,39,59
81,50,38,142,46,62,126,74,40,52
82,65,51,103,75,49,35,69,41,61
83,53,43,73,103,71,67,49,135,47
84,24,36,24,26,50,62,50,34,24
85,36,50,64,74,40,48,48,52,80
86,41,41,59,75,43,55,89,51,51
87,39,49,79,163,87,55,87,57,55
88,53,81,39,65,111,33,53,65,43
89,29,49,69,103,183,71,25,47,15
90,158,44,36,46,206,56,72,136,48
91,75,109,129,93,85,73,61,41,29
92,29,41,45,77,39,43,49,35,27
93,80,56,58,58,106,54,70,70,66
94,41,71,65,81,73,79,73,53,43
95,48,38,48,70,168,66,32,70,62
96,54,32,68,30,74,40,46,120,30
97,39,33,79,125,165,29,75,25,29
98,25,35,71,185,41,43,53,45,25
99,42,72,124,40,48,48,48,52,38
100,43,21,13,39,49,21,29,39,37
101,37,33,191,153,83,53,49,61,41
102,39,59,83,123,47,47,77,73,53
103,45,57,43,77,41,137,161,31,61
104,33,55,41,157,75,61,79,57,65
105,64,90,86,100,138,68,38,76,42
106,69,53,47,75,57,47,45,63,39
107,35,49,53,61,83,81,55,63,49
108,66,50,44,58,54,84,80,34,28
109,35,33,95,55,65,51,65,57,39
110,42,56,76,80,76,54,66,42,62
111,75,101,227,97,45,63,53,47,83
112,46,58,36,90,88,50,54,36,82
113,19,41,39,97,95,53,35,37,29
114,69,79,53,39,79,149,71,55,41
115,42,42,78,80,60,28,134,62,52
116,83,117,61,57,47,67,71,47,49
117,153,49,161,87,65,45,103,79,57
118,35,45,57,23,35,39,59,55,61
119,56,70,60,74,54,86,46,34,88
120,41,31,83,131,71,51,55,27,73
121,54,48,62,66,66,44,50,48,44
122,41,33,33,217,55,41,31,15,43
123,65,49,43,143,57,71,175,47,65
124,36,38,70,60,46,56,52,50,46
125,46,32,36,38,40,52,30,26,68
126,69,63,69,73,85,95,71,59,59
127,58,98,70,70,114,104,82,54,72
128,72,58,76,70,66,52,98,40,50
129,47,45,47,73,39,127,49,75,55
130,72,44,40,68,46,66,102,50,34
131,49,59,189,73,81,119,73,57,237
132,73,57,47,89,57,39,63,93,59
133,56,88,38,154,94,128,82,76,54
134,46,38,228,40,120,58,64,52,60
135,56,22,76,102,34,24,26,24,28
136,25,67,71,47,65,29,45,35,37
137,52,50,90,80,46,56,70,48,42
138,69,45,77,115,57,71,39,41,43
139,87,49,79,53,41,97,69,51,57
140,58,38,56,28,34,84,66,72,58
141,44,50,30,112,160,38,104,54,84
142,68,56,64,72,104,48,82,56,40
143,37,65,83,89,53,49,47,69,41
144,61,57,135,45,59,63,63,77,25
145,26,28,14,54,32,36,58,16,206
146,32,46,60,54,98,86,90,58,58
147,89,43,51,51,37,71,151,43,37
148,211,79,51,47,45,31,63,51,129
